,keV,f1
0,2.080733,10.3896
1,2.224304,10.389
2,2.377781,10.383
3,2.541848,10.3731
4,2.717235,10.3599
5,2.904724,10.3456
6,3.10515,10.3349
7,3.319406,10.3186
8,3.548445,10.3011
9,3.793288,10.2822
10,4.055024,10.2628
11,4.334821,10.2434
12,4.633924,10.2247
13,4.953664,10.2067
14,5.295467,10.1896
15,5.660855,10.1736
16,6.051453,10.1586
17,6.469004,10.1447
18,6.915365,10.1319
19,7.392525,10.12
20,7.902609,10.1091
21,8.44789,10.0992
22,9.030794,10.0903
23,9.653919,10.0818
24,10.32004,10.074
25,11.03212,10.0668
26,11.79334,10.0602
27,12.60708,10.0542
28,13.47697,10.0487
29,14.40688,10.0438
30,15.40095,10.0393
31,16.46362,10.0353
32,17.59961,10.0316
33,18.81398,10.0283
34,20.11215,10.0253
35,21.49988,10.0226
36,22.98338,10.0202
37,24.56923,10.018
38,26.2645,10.0161
39,28.07676,10.0144
40,30.01405,10.0128
41,32.08502,10.0114
42,34.29889,10.0101
43,36.66551,10.009
44,39.19543,10.008
45,41.89992,10.0071
46,44.79101,10.0063
47,47.88159,10.0056
48,51.18542,10.005
49,54.71721,10.0044
50,58.4927,10.0039
51,62.5287,10.0034
52,66.84318,10.0031
53,71.45536,10.0027
54,76.38578,10.0024
55,81.6564,10.0021
56,87.29069,10.0019
57,93.31374,10.0016
58,99.75239,10.0015
59,106.6353,10.0013
60,113.9931,10.0011
61,121.8587,10.001
62,130.2669,10.0009
63,139.2553,10.0008
64,148.864,10.0007
65,159.1356,10.0006
66,170.1159,10.0005
67,181.8539,10.0005
68,194.4018,10.0004
69,207.8156,10.0004
70,222.1548,10.0003
71,237.4835,10.0003
72,253.8699,10.0003
73,271.3869,10.0002
74,290.1126,10.0002
75,310.1304,10.0002
76,331.5294,10.0002
77,354.4049,10.0001
78,378.8588,10.0001
79,405.0001,10.0001
80,432.9451,10.0001
