,keV,f1
0,2.080733,11.2505
1,2.224304,11.3511
2,2.377781,11.3777
3,2.541848,11.3894
4,2.717235,11.3918
5,2.904724,11.388
6,3.10515,11.3852
7,3.319406,11.3721
8,3.548445,11.3556
9,3.793288,11.3373
10,4.055024,11.3182
11,4.334821,11.2991
12,4.633924,11.2804
13,4.953664,11.2619
14,5.295467,11.243
15,5.660855,11.2245
16,6.051453,11.2068
17,6.469004,11.1899
18,6.915365,11.174
19,7.392525,11.1591
20,7.902609,11.1453
21,8.44789,11.1325
22,9.030794,11.1217
23,9.653919,11.1112
24,10.32004,11.1009
25,11.03212,11.0913
26,11.79334,11.0825
27,12.60708,11.0744
28,13.47697,11.0671
29,14.40688,11.0604
30,15.40095,11.0543
31,16.46362,11.0487
32,17.59961,11.0438
33,18.81398,11.0393
34,20.11215,11.0352
35,21.49988,11.0315
36,22.98338,11.0283
37,24.56923,11.0253
38,26.2645,11.0226
39,28.07676,11.0202
40,30.01405,11.0181
41,32.08502,11.0161
42,34.29889,11.0143
43,36.66551,11.0128
44,39.19543,11.0114
45,41.89992,11.0101
46,44.79101,11.009
47,47.88159,11.008
48,51.18542,11.0071
49,54.71721,11.0063
50,58.4927,11.0056
51,62.5287,11.0049
52,66.84318,11.0044
53,71.45536,11.0039
54,76.38578,11.0034
55,81.6564,11.003
56,87.29069,11.0027
57,93.31374,11.0024
58,99.75239,11.0021
59,106.6353,11.0019
60,113.9931,11.0016
61,121.8587,11.0015
62,130.2669,11.0013
63,139.2553,11.0011
64,148.864,11.001
65,159.1356,11.0009
66,170.1159,11.0008
67,181.8539,11.0007
68,194.4018,11.0006
69,207.8156,11.0005
70,222.1548,11.0005
71,237.4835,11.0004
72,253.8699,11.0004
73,271.3869,11.0003
74,290.1126,11.0003
75,310.1304,11.0002
76,331.5294,11.0002
77,354.4049,11.0002
78,378.8588,11.0002
79,405.0001,11.0001
80,432.9451,11.0001
