,keV,f1
0,2.080733,12.0708
1,2.224304,12.1624
2,2.377781,12.2323
3,2.541848,12.2852
4,2.717235,12.3707
5,2.904724,12.3918
6,3.10515,12.4049
7,3.319406,12.4053
8,3.548445,12.3973
9,3.793288,12.3843
10,4.055024,12.3682
11,4.334821,12.3501
12,4.633924,12.331
13,4.953664,12.3116
14,5.295467,12.2924
15,5.660855,12.274
16,6.051453,12.2558
17,6.469004,12.2374
18,6.915365,12.2194
19,7.392525,12.2022
20,7.902609,12.186
21,8.44789,12.171
22,9.030794,12.157
23,9.653919,12.1436
24,10.32004,12.1308
25,11.03212,12.1189
26,11.79334,12.1078
27,12.60708,12.0976
28,13.47697,12.0882
29,14.40688,12.0796
30,15.40095,12.0718
31,16.46362,12.0646
32,17.59961,12.0581
33,18.81398,12.0522
34,20.11215,12.0469
35,21.49988,12.0421
36,22.98338,12.0378
37,24.56923,12.0339
38,26.2645,12.0304
39,28.07676,12.0272
40,30.01405,12.0244
41,32.08502,12.0218
42,34.29889,12.0195
43,36.66551,12.0174
44,39.19543,12.0155
45,41.89992,12.0138
46,44.79101,12.0123
47,47.88159,12.0109
48,51.18542,12.0097
49,54.71721,12.0086
50,58.4927,12.0077
51,62.5287,12.0068
52,66.84318,12.006
53,71.45536,12.0053
54,76.38578,12.0047
55,81.6564,12.0042
56,87.29069,12.0037
57,93.31374,12.0033
58,99.75239,12.0029
59,106.6353,12.0026
60,113.9931,12.0023
61,121.8587,12.002
62,130.2669,12.0018
63,139.2553,12.0016
64,148.864,12.0014
65,159.1356,12.0012
66,170.1159,12.0011
67,181.8539,12.001
68,194.4018,12.0008
69,207.8156,12.0007
70,222.1548,12.0007
71,237.4835,12.0006
72,253.8699,12.0005
73,271.3869,12.0005
74,290.1126,12.0004
75,310.1304,12.0004
76,331.5294,12.0003
77,354.4049,12.0003
78,378.8588,12.0002
79,405.0001,12.0002
80,432.9451,12.0002
