,keV,f1
0,2.080733,12.6397
1,2.224304,12.8559
2,2.377781,13.0119
3,2.541848,13.1269
4,2.717235,13.2127
5,2.904724,13.2769
6,3.10515,13.3285
7,3.319406,13.4011
8,3.548445,13.4116
9,3.793288,13.4114
10,4.055024,13.4039
11,4.334821,13.3916
12,4.633924,13.3759
13,4.953664,13.3581
14,5.295467,13.3392
15,5.660855,13.3198
16,6.051453,13.3004
17,6.469004,13.2816
18,6.915365,13.2637
19,7.392525,13.2456
20,7.902609,13.2277
21,8.44789,13.2105
22,9.030794,13.1945
23,9.653919,13.1795
24,10.32004,13.1646
25,11.03212,13.1503
26,11.79334,13.1369
27,12.60708,13.1243
28,13.47697,13.1128
29,14.40688,13.1021
30,15.40095,13.0923
31,16.46362,13.0833
32,17.59961,13.0752
33,18.81398,13.0677
34,20.11215,13.061
35,21.49988,13.0548
36,22.98338,13.0493
37,24.56923,13.0443
38,26.2645,13.0397
39,28.07676,13.0358
40,30.01405,13.0321
41,32.08502,13.0288
42,34.29889,13.0258
43,36.66551,13.0231
44,39.19543,13.0206
45,41.89992,13.0184
46,44.79101,13.0164
47,47.88159,13.0146
48,51.18542,13.013
49,54.71721,13.0116
50,58.4927,13.0103
51,62.5287,13.0091
52,66.84318,13.0081
53,71.45536,13.0072
54,76.38578,13.0064
55,81.6564,13.0057
56,87.29069,13.005
57,93.31374,13.0045
58,99.75239,13.004
59,106.6353,13.0035
60,113.9931,13.0031
61,121.8587,13.0027
62,130.2669,13.0024
63,139.2553,13.0022
64,148.864,13.0019
65,159.1356,13.0017
66,170.1159,13.0015
67,181.8539,13.0013
68,194.4018,13.0012
69,207.8156,13.001
70,222.1548,13.0009
71,237.4835,13.0008
72,253.8699,13.0007
73,271.3869,13.0006
74,290.1126,13.0005
75,310.1304,13.0005
76,331.5294,13.0004
77,354.4049,13.0004
78,378.8588,13.0003
79,405.0001,13.0003
80,432.9451,13.0003
