,keV,f1
0,2.080733,12.5086
1,2.224304,13.132
2,2.377781,13.5165
3,2.541848,13.772
4,2.717235,13.9567
5,2.904724,14.0941
6,3.10515,14.1991
7,3.319406,14.2699
8,3.548445,14.3185
9,3.793288,14.3972
10,4.055024,14.4122
11,4.334821,14.4148
12,4.633924,14.4092
13,4.953664,14.398
14,5.295467,14.383
15,5.660855,14.3657
16,6.051453,14.347
17,6.469004,14.3275
18,6.915365,14.308
19,7.392525,14.289
20,7.902609,14.2709
21,8.44789,14.2537
22,9.030794,14.2373
23,9.653919,14.2193
24,10.32004,14.2018
25,11.03212,14.185
26,11.79334,14.1691
27,12.60708,14.1542
28,13.47697,14.1404
29,14.40688,14.1275
30,15.40095,14.1156
31,16.46362,14.1047
32,17.59961,14.0947
33,18.81398,14.0856
34,20.11215,14.0772
35,21.49988,14.0696
36,22.98338,14.0628
37,24.56923,14.0566
38,26.2645,14.0511
39,28.07676,14.0462
40,30.01405,14.0415
41,32.08502,14.0372
42,34.29889,14.0333
43,36.66551,14.0298
44,39.19543,14.0267
45,41.89992,14.0239
46,44.79101,14.0213
47,47.88159,14.0191
48,51.18542,14.017
49,54.71721,14.0151
50,58.4927,14.0135
51,62.5287,14.012
52,66.84318,14.0107
53,71.45536,14.0095
54,76.38578,14.0084
55,81.6564,14.0075
56,87.29069,14.0066
57,93.31374,14.0059
58,99.75239,14.0052
59,106.6353,14.0046
60,113.9931,14.0041
61,121.8587,14.0036
62,130.2669,14.0032
63,139.2553,14.0029
64,148.864,14.0025
65,159.1356,14.0022
66,170.1159,14.002
67,181.8539,14.0017
68,194.4018,14.0015
69,207.8156,14.0014
70,222.1548,14.0012
71,237.4835,14.0011
72,253.8699,14.0009
73,271.3869,14.0008
74,290.1126,14.0007
75,310.1304,14.0006
76,331.5294,14.0006
77,354.4049,14.0005
78,378.8588,14.0004
79,405.0001,14.0004
80,432.9451,14.0003
