,keV,f1
0,2.080733,11.3134
1,2.10259,10.8633
2,2.134772,9.28431
3,2.143354,7.39192
4,2.156227,9.29308
5,2.18841,11.0202
6,2.224304,11.8112
7,2.377781,13.2998
8,2.541848,14.0078
9,2.717235,14.4377
10,2.904724,14.725
11,3.10515,14.9354
12,3.319406,15.0821
13,3.548445,15.1854
14,3.793288,15.2583
15,4.055024,15.3093
16,4.334821,15.3912
17,4.633924,15.4105
18,4.953664,15.4155
19,5.295467,15.4114
20,5.660855,15.4013
21,6.051453,15.3871
22,6.469004,15.3703
23,6.915365,15.3519
24,7.392525,15.3326
25,7.902609,15.3133
26,8.44789,15.2943
27,9.030794,15.2766
28,9.653919,15.259
29,10.32004,15.2404
30,11.03212,15.222
31,11.79334,15.2041
32,12.60708,15.187
33,13.47697,15.171
34,14.40688,15.1559
35,15.40095,15.1419
36,16.46362,15.129
37,17.59961,15.117
38,18.81398,15.1061
39,20.11215,15.096
40,21.49988,15.0869
41,22.98338,15.0785
42,24.56923,15.071
43,26.2645,15.0642
44,28.07676,15.0579
45,30.01405,15.0521
46,32.08502,15.0469
47,34.29889,15.0421
48,36.66551,15.0377
49,39.19543,15.0338
50,41.89992,15.0303
51,44.79101,15.0271
52,47.88159,15.0242
53,51.18542,15.0216
54,54.71721,15.0193
55,58.4927,15.0172
56,62.5287,15.0154
57,66.84318,15.0137
58,71.45536,15.0122
59,76.38578,15.0108
60,81.6564,15.0096
61,87.29069,15.0085
62,93.31374,15.0076
63,99.75239,15.0067
64,106.6353,15.006
65,113.9931,15.0053
66,121.8587,15.0047
67,130.2669,15.0042
68,139.2553,15.0037
69,148.864,15.0033
70,159.1356,15.0029
71,170.1159,15.0026
72,181.8539,15.0023
73,194.4018,15.002
74,207.8156,15.0018
75,222.1548,15.0016
76,237.4835,15.0014
77,253.8699,15.0012
78,271.3869,15.0011
79,290.1126,15.001
80,310.1304,15.0008
81,331.5294,15.0007
82,354.4049,15.0007
83,378.8588,15.0006
84,405.0001,15.0005
85,432.9451,15.0005
