,keV,f1
0,2.080733,14.0245
1,2.224304,13.5997
2,2.377781,12.6322
3,2.42256,11.9404
4,2.45964,10.3757
5,2.469528,8.49659
6,2.48436,10.3922
7,2.52144,12.1135
8,2.541848,12.5569
9,2.717235,14.2376
10,2.904724,14.9741
11,3.10515,15.4198
12,3.319406,15.7231
13,3.548445,15.9311
14,3.793288,16.0769
15,4.055024,16.1802
16,4.334821,16.2533
17,4.633924,16.3047
18,4.953664,16.385
19,5.295467,16.4057
20,5.660855,16.4117
21,6.051453,16.4086
22,6.469004,16.3993
23,6.915365,16.3859
24,7.392525,16.3698
25,7.902609,16.3522
26,8.44789,16.3342
27,9.030794,16.318
28,9.653919,16.2986
29,10.32004,16.2792
30,11.03212,16.2603
31,11.79334,16.2413
32,12.60708,16.2226
33,13.47697,16.2045
34,14.40688,16.1874
35,15.40095,16.1713
36,16.46362,16.1562
37,17.59961,16.1422
38,18.81398,16.1293
39,20.11215,16.1174
40,21.49988,16.1064
41,22.98338,16.0964
42,24.56923,16.0873
43,26.2645,16.079
44,28.07676,16.0715
45,30.01405,16.0645
46,32.08502,16.0581
47,34.29889,16.0523
48,36.66551,16.047
49,39.19543,16.0421
50,41.89992,16.0378
51,44.79101,16.0338
52,47.88159,16.0303
53,51.18542,16.0271
54,54.71721,16.0242
55,58.4927,16.0216
56,62.5287,16.0193
57,66.84318,16.0172
58,71.45536,16.0153
59,76.38578,16.0137
60,81.6564,16.0122
61,87.29069,16.0108
62,93.31374,16.0096
63,99.75239,16.0086
64,106.6353,16.0076
65,113.9931,16.0067
66,121.8587,16.006
67,130.2669,16.0053
68,139.2553,16.0047
69,148.864,16.0042
70,159.1356,16.0037
71,170.1159,16.0033
72,181.8539,16.0029
73,194.4018,16.0026
74,207.8156,16.0023
75,222.1548,16.002
76,237.4835,16.0018
77,253.8699,16.0016
78,271.3869,16.0014
79,290.1126,16.0012
80,310.1304,16.0011
81,331.5294,16.001
82,354.4049,16.0009
83,378.8588,16.0008
84,405.0001,16.0007
85,432.9451,16.0006
