,keV,f1
0,2.080733,15.5299
1,2.224304,15.3369
2,2.377781,15.072
3,2.541848,14.649
4,2.717235,13.6771
5,2.765952,13.0165
6,2.808288,11.4668
7,2.819578,9.60284
8,2.836512,11.4882
9,2.878848,13.2
10,2.904724,13.6816
11,3.10515,15.3069
12,3.319406,16.0128
13,3.548445,16.443
14,3.793288,16.743
15,4.055024,16.9472
16,4.334821,17.0895
17,4.633924,17.1898
18,4.953664,17.2603
19,5.295467,17.3095
20,5.660855,17.3868
21,6.051453,17.4057
22,6.469004,17.411
23,6.915365,17.4076
24,7.392525,17.3984
25,7.902609,17.3854
26,8.44789,17.3702
27,9.030794,17.3541
28,9.653919,17.3362
29,10.32004,17.3166
30,11.03212,17.2966
31,11.79334,17.2769
32,12.60708,17.2579
33,13.47697,17.2389
34,14.40688,17.2202
35,15.40095,17.2023
36,16.46362,17.1853
37,17.59961,17.1694
38,18.81398,17.1545
39,20.11215,17.1407
40,21.49988,17.1279
41,22.98338,17.1161
42,24.56923,17.1054
43,26.2645,17.0955
44,28.07676,17.0867
45,30.01405,17.0785
46,32.08502,17.0709
47,34.29889,17.0639
48,36.66551,17.0575
49,39.19543,17.0517
50,41.89992,17.0464
51,44.79101,17.0416
52,47.88159,17.0373
53,51.18542,17.0334
54,54.71721,17.0299
55,58.4927,17.0267
56,62.5287,17.0239
57,66.84318,17.0214
58,71.45536,17.0191
59,76.38578,17.017
60,81.6564,17.0151
61,87.29069,17.0135
62,93.31374,17.012
63,99.75239,17.0107
64,106.6353,17.0095
65,113.9931,17.0084
66,121.8587,17.0075
67,130.2669,17.0067
68,139.2553,17.0059
69,148.864,17.0052
70,159.1356,17.0047
71,170.1159,17.0041
72,181.8539,17.0037
73,194.4018,17.0032
74,207.8156,17.0029
75,222.1548,17.0025
76,237.4835,17.0022
77,253.8699,17.002
78,271.3869,17.0018
79,290.1126,17.0016
80,310.1304,17.0014
81,331.5294,17.0012
82,354.4049,17.0011
83,378.8588,17.001
84,405.0001,17.0008
85,432.9451,17.0007
