,keV,f1
0,2.080733,16.8476
1,2.224304,16.7157
2,2.377781,16.5595
3,2.541848,16.3623
4,2.717235,16.0891
5,2.904724,15.644
6,3.10515,14.5379
7,3.138842,14.0901
8,3.186885,12.5541
9,3.199697,10.706
10,3.218914,12.5778
11,3.266958,14.2753
12,3.319406,15.0333
13,3.548445,16.4395
14,3.793288,17.1011
15,4.055024,17.5109
16,4.334821,17.7899
17,4.633924,17.9817
18,4.953664,18.1162
19,5.295467,18.2108
20,5.660855,18.2767
21,6.051453,18.322
22,6.469004,18.3939
23,6.915365,18.4089
24,7.392525,18.412
25,7.902609,18.4075
26,8.44789,18.3978
27,9.030794,18.3906
28,9.653919,18.3744
29,10.32004,18.3552
30,11.03212,18.3348
31,11.79334,18.3139
32,12.60708,18.2932
33,13.47697,18.2732
34,14.40688,18.2541
35,15.40095,18.235
36,16.46362,18.2165
37,17.59961,18.1987
38,18.81398,18.1819
39,20.11215,18.1662
40,21.49988,18.1516
41,22.98338,18.138
42,24.56923,18.1255
43,26.2645,18.114
44,28.07676,18.1044
45,30.01405,18.0947
46,32.08502,18.0856
47,34.29889,18.0773
48,36.66551,18.0696
49,39.19543,18.0627
50,41.89992,18.0563
51,44.79101,18.0506
52,47.88159,18.0454
53,51.18542,18.0407
54,54.71721,18.0365
55,58.4927,18.0326
56,62.5287,18.0292
57,66.84318,18.0261
58,71.45536,18.0234
59,76.38578,18.0209
60,81.6564,18.0186
61,87.29069,18.0166
62,93.31374,18.0148
63,99.75239,18.0132
64,106.6353,18.0117
65,113.9931,18.0104
66,121.8587,18.0093
67,130.2669,18.0083
68,139.2553,18.0073
69,148.864,18.0065
70,159.1356,18.0058
71,170.1159,18.0051
72,181.8539,18.0045
73,194.4018,18.004
74,207.8156,18.0036
75,222.1548,18.0032
76,237.4835,18.0028
77,253.8699,18.0025
78,271.3869,18.0022
79,290.1126,18.0019
80,310.1304,18.0017
81,331.5294,18.0015
82,354.4049,18.0013
83,378.8588,18.0012
84,405.0001,18.001
85,432.9451,18.0009
