,keV,f1
0,2.080733,18.094
1,2.224304,17.9866
2,2.377781,17.8682
3,2.541848,17.7332
4,2.717235,17.5716
5,2.904724,17.3645
6,3.10515,17.0762
7,3.319406,16.566
8,3.535252,15.1657
9,3.548445,14.9494
10,3.589363,13.642
11,3.603793,11.8067
12,3.625437,13.6705
13,3.679548,15.3599
14,3.793288,16.5531
15,4.055024,17.6584
16,4.334821,18.2298
17,4.633924,18.5966
18,4.953664,18.8512
19,5.295467,19.0266
20,5.660855,19.1497
21,6.051453,19.2357
22,6.469004,19.2949
23,6.915365,19.3348
24,7.392525,19.4018
25,7.902609,19.4134
26,8.44789,19.4155
27,9.030794,19.4122
28,9.653919,19.4018
29,10.32004,19.3862
30,11.03212,19.3677
31,11.79334,19.3476
32,12.60708,19.3268
33,13.47697,19.3059
34,14.40688,19.2855
35,15.40095,19.2659
36,16.46362,19.247
37,17.59961,19.2283
38,18.81398,19.2102
39,20.11215,19.1929
40,21.49988,19.1767
41,22.98338,19.1616
42,24.56923,19.1476
43,26.2645,19.135
44,28.07676,19.1233
45,30.01405,19.1119
46,32.08502,19.1014
47,34.29889,19.0917
48,36.66551,19.0827
49,39.19543,19.0746
50,41.89992,19.0671
51,44.79101,19.0603
52,47.88159,19.0542
53,51.18542,19.0486
54,54.71721,19.0436
55,58.4927,19.0391
56,62.5287,19.035
57,66.84318,19.0313
58,71.45536,19.028
59,76.38578,19.0251
60,81.6564,19.0224
61,87.29069,19.02
62,93.31374,19.0178
63,99.75239,19.0159
64,106.6353,19.0142
65,113.9931,19.0126
66,121.8587,19.0112
67,130.2669,19.01
68,139.2553,19.0089
69,148.864,19.0079
70,159.1356,19.007
71,170.1159,19.0062
72,181.8539,19.0055
73,194.4018,19.0049
74,207.8156,19.0044
75,222.1548,19.0039
76,237.4835,19.0034
77,253.8699,19.003
78,271.3869,19.0027
79,290.1126,19.0024
80,310.1304,19.0021
81,331.5294,19.0019
82,354.4049,19.0017
83,378.8588,19.0015
84,405.0001,19.0013
85,432.9451,19.0011
