,keV,f1
0,2.080733,1.00017
1,2.224304,1.00015
2,2.377781,1.00013
3,2.541848,1.00011
4,2.717235,1.0001
5,2.904724,1.00009
6,3.10515,1.00008
7,3.319406,1.00007
8,3.548445,1.00006
9,3.793288,1.00005
10,4.055024,1.00005
11,4.334821,1.00004
12,4.633924,1.00004
13,4.953664,1.00003
14,5.295467,1.00003
15,5.660855,1.00002
16,6.051453,1.00002
17,6.469004,1.00002
18,6.915365,1.00002
19,7.392525,1.00001
20,7.902609,1.00001
21,8.44789,1.00001
22,9.030794,1.00001
23,9.653919,1.00001
24,10.32004,1.00001
25,11.03212,1.00001
26,11.79334,1.00001
27,12.60708,1.00001
28,13.47697,1.0
29,14.40688,1.0
30,15.40095,1.0
31,16.46362,1.0
32,17.59961,1.0
33,18.81398,1.0
34,20.11215,1.0
35,21.49988,1.0
36,22.98338,1.0
37,24.56923,1.0
38,26.2645,1.0
39,28.07676,1.0
40,30.01405,1.0
41,32.08502,1.0
42,34.29889,1.0
43,36.66551,1.0
44,39.19543,1.0
45,41.89992,1.0
46,44.79101,1.0
47,47.88159,1.0
48,51.18542,1.0
49,54.71721,1.0
50,58.4927,1.0
51,62.5287,1.0
52,66.84318,1.0
53,71.45536,1.0
54,76.38578,1.0
55,81.6564,1.0
56,87.29069,1.0
57,93.31374,1.0
58,99.75239,1.0
59,106.6353,1.0
60,113.9931,1.0
61,121.8587,1.0
62,130.2669,1.0
63,139.2553,1.0
64,148.864,1.0
65,159.1356,1.0
66,170.1159,1.0
67,181.8539,1.0
68,194.4018,1.0
69,207.8156,1.0
70,222.1548,1.0
71,237.4835,1.0
72,253.8699,1.0
73,271.3869,1.0
74,290.1126,1.0
75,310.1304,1.0
76,331.5294,1.0
77,354.4049,1.0
78,378.8588,1.0
79,405.0001,1.0
80,432.9451,1.0
