,keV,f1
0,2.080733,19.3001
1,2.224304,19.2061
2,2.377781,19.1059
3,2.541848,18.9976
4,2.717235,18.8776
5,2.904724,18.7401
6,3.10515,18.5764
7,3.319406,18.3498
8,3.548445,18.008
9,3.793288,17.3592
10,3.957338,16.2338
11,4.017909,14.7223
12,4.034062,12.8987
13,4.055024,14.547
14,4.05829,14.7569
15,4.118862,16.44
16,4.334821,18.059
17,4.633924,18.8984
18,4.953664,19.3754
19,5.295467,19.6982
20,5.660855,19.9227
21,6.051453,20.0785
22,6.469004,20.1876
23,6.915365,20.2632
24,7.392525,20.3145
25,7.902609,20.3488
26,8.44789,20.409
27,9.030794,20.4237
28,9.653919,20.421
29,10.32004,20.4108
30,11.03212,20.396
31,11.79334,20.378
32,12.60708,20.3582
33,13.47697,20.3376
34,14.40688,20.3166
35,15.40095,20.2959
36,16.46362,20.2759
37,17.59961,20.2569
38,18.81398,20.2384
39,20.11215,20.2201
40,21.49988,20.2026
41,22.98338,20.186
42,24.56923,20.1706
43,26.2645,20.1564
44,28.07676,20.143
45,30.01405,20.1302
46,32.08502,20.1182
47,34.29889,20.1071
48,36.66551,20.0969
49,39.19543,20.0875
50,41.89992,20.0789
51,44.79101,20.0711
52,47.88159,20.0639
53,51.18542,20.0575
54,54.71721,20.0516
55,58.4927,20.0463
56,62.5287,20.0415
57,66.84318,20.0372
58,71.45536,20.0333
59,76.38578,20.0298
60,81.6564,20.0267
61,87.29069,20.0239
62,93.31374,20.0213
63,99.75239,20.019
64,106.6353,20.017
65,113.9931,20.0151
66,121.8587,20.0135
67,130.2669,20.012
68,139.2553,20.0107
69,148.864,20.0095
70,159.1356,20.0084
71,170.1159,20.0075
72,181.8539,20.0067
73,194.4018,20.0059
74,207.8156,20.0053
75,222.1548,20.0047
76,237.4835,20.0041
77,253.8699,20.0037
78,271.3869,20.0033
79,290.1126,20.0029
80,310.1304,20.0026
81,331.5294,20.0023
82,354.4049,20.002
83,378.8588,20.0018
84,405.0001,20.0016
85,432.9451,20.0014
