,keV,f1
0,2.080733,20.48
1,2.224304,20.3965
2,2.377781,20.3074
3,2.541848,20.2132
4,2.717235,20.1132
5,2.904724,20.0074
6,3.10515,19.8896
7,3.319406,19.7362
8,3.548445,19.5416
9,3.793288,19.2752
10,4.055024,18.852
11,4.334821,17.87
12,4.402944,17.2904
13,4.470336,15.7929
14,4.488307,13.9862
15,4.515264,15.8273
16,4.582656,17.4949
17,4.633924,18.0517
18,4.953664,19.4991
19,5.295467,20.1389
20,5.660855,20.5351
21,6.051453,20.813
22,6.469004,21.0038
23,6.915365,21.1368
24,7.392525,21.2296
25,7.902609,21.2935
26,8.44789,21.3369
27,9.030794,21.4081
28,9.653919,21.4223
29,10.32004,21.423
30,11.03212,21.4153
31,11.79334,21.4022
32,12.60708,21.3854
33,13.47697,21.3664
34,14.40688,21.3461
35,15.40095,21.3254
36,16.46362,21.3047
37,17.59961,21.2844
38,18.81398,21.2651
39,20.11215,21.2467
40,21.49988,21.2285
41,22.98338,21.2108
42,24.56923,21.194
43,26.2645,21.1783
44,28.07676,21.1637
45,30.01405,21.1496
46,32.08502,21.1362
47,34.29889,21.1237
48,36.66551,21.1122
49,39.19543,21.1015
50,41.89992,21.0917
51,44.79101,21.0827
52,47.88159,21.0746
53,51.18542,21.0671
54,54.71721,21.0604
55,58.4927,21.0543
56,62.5287,21.0487
57,66.84318,21.0437
58,71.45536,21.0392
59,76.38578,21.0351
60,81.6564,21.0315
61,87.29069,21.0282
62,93.31374,21.0252
63,99.75239,21.0225
64,106.6353,21.0201
65,113.9931,21.0179
66,121.8587,21.016
67,130.2669,21.0143
68,139.2553,21.0127
69,148.864,21.0113
70,159.1356,21.0101
71,170.1159,21.009
72,181.8539,21.008
73,194.4018,21.0071
74,207.8156,21.0063
75,222.1548,21.0056
76,237.4835,21.005
77,253.8699,21.0044
78,271.3869,21.0039
79,290.1126,21.0035
80,310.1304,21.0031
81,331.5294,21.0027
82,354.4049,21.0024
83,378.8588,21.0021
84,405.0001,21.0019
85,432.9451,21.0017
