,keV,f1
0,2.080733,21.6125
1,2.224304,21.5408
2,2.377781,21.4645
3,2.541848,21.3815
4,2.717235,21.2933
5,2.904724,21.2005
6,3.10515,21.1027
7,3.319406,20.9847
8,3.548445,20.8432
9,3.793288,20.6701
10,4.055024,20.4452
11,4.334821,20.1195
12,4.633924,19.5302
13,4.867072,18.3295
14,4.941568,16.8446
15,4.953664,16.1067
16,4.961434,15.0532
17,4.991232,16.8795
18,5.065728,18.5331
19,5.295467,19.9941
20,5.660855,20.8781
21,6.051453,21.3665
22,6.469004,21.6932
23,6.915365,21.9215
24,7.392525,22.0793
25,7.902609,22.1897
26,8.44789,22.2671
27,9.030794,22.3223
28,9.653919,22.3587
29,10.32004,22.4196
30,11.03212,22.425
31,11.79334,22.4203
32,12.60708,22.4091
33,13.47697,22.3936
34,14.40688,22.3754
35,15.40095,22.3555
36,16.46362,22.3348
37,17.59961,22.3139
38,18.81398,22.2934
39,20.11215,22.2735
40,21.49988,22.2547
41,22.98338,22.2365
42,24.56923,22.2186
43,26.2645,22.2014
44,28.07676,22.1864
45,30.01405,22.1708
46,32.08502,22.1559
47,34.29889,22.142
48,36.66551,22.1289
49,39.19543,22.1169
50,41.89992,22.1058
51,44.79101,22.0957
52,47.88159,22.0863
53,51.18542,22.0779
54,54.71721,22.0701
55,58.4927,22.0631
56,62.5287,22.0568
57,66.84318,22.051
58,71.45536,22.0458
59,76.38578,22.0411
60,81.6564,22.0369
61,87.29069,22.0331
62,93.31374,22.0297
63,99.75239,22.0266
64,106.6353,22.0237
65,113.9931,22.0212
66,121.8587,22.0189
67,130.2669,22.0169
68,139.2553,22.015
69,148.864,22.0134
70,159.1356,22.0119
71,170.1159,22.0106
72,181.8539,22.0094
73,194.4018,22.0084
74,207.8156,22.0075
75,222.1548,22.0066
76,237.4835,22.0059
77,253.8699,22.0052
78,271.3869,22.0046
79,290.1126,22.0041
80,310.1304,22.0037
81,331.5294,22.0032
82,354.4049,22.0029
83,378.8588,22.0025
84,405.0001,22.0023
85,432.9451,22.002
