,keV,f1
0,2.080733,22.7317
1,2.224304,22.672
2,2.377781,22.6035
3,2.541848,22.5308
4,2.717235,22.4528
5,2.904724,22.3715
6,3.10515,22.2923
7,3.319406,22.1901
8,3.548445,22.0721
9,3.793288,21.9364
10,4.055024,21.7762
11,4.334821,21.5764
12,4.633924,21.3044
13,4.953664,20.8694
14,5.295467,19.8136
15,5.355798,19.367
16,5.437774,17.8916
17,5.459635,16.1109
18,5.492425,17.9281
19,5.574402,19.5732
20,5.660855,20.2817
21,6.051453,21.5912
22,6.469004,22.1944
23,6.915365,22.5734
24,7.392525,22.8396
25,7.902609,23.0228
26,8.44789,23.1513
27,9.030794,23.2454
28,9.653919,23.309
29,10.32004,23.3493
30,11.03212,23.4148
31,11.79334,23.4254
32,12.60708,23.424
33,13.47697,23.4149
34,14.40688,23.4008
35,15.40095,23.3833
36,16.46362,23.3639
37,17.59961,23.3434
38,18.81398,23.3225
39,20.11215,23.3018
40,21.49988,23.2816
41,22.98338,23.2624
42,24.56923,23.2443
43,26.2645,23.2271
44,28.07676,23.2099
45,30.01405,23.1928
46,32.08502,23.1764
47,34.29889,23.161
48,36.66551,23.1466
49,39.19543,23.1332
50,41.89992,23.1208
51,44.79101,23.1094
52,47.88159,23.0989
53,51.18542,23.0894
54,54.71721,23.0806
55,58.4927,23.0727
56,62.5287,23.0654
57,66.84318,23.0589
58,71.45536,23.053
59,76.38578,23.0476
60,81.6564,23.0431
61,87.29069,23.0386
62,93.31374,23.0346
63,99.75239,23.031
64,106.6353,23.0277
65,113.9931,23.0247
66,121.8587,23.0221
67,130.2669,23.0197
68,139.2553,23.0176
69,148.864,23.0157
70,159.1356,23.014
71,170.1159,23.0124
72,181.8539,23.0111
73,194.4018,23.0099
74,207.8156,23.0088
75,222.1548,23.0078
76,237.4835,23.0069
77,253.8699,23.0062
78,271.3869,23.0055
79,290.1126,23.0049
80,310.1304,23.0043
81,331.5294,23.0038
82,354.4049,23.0034
83,378.8588,23.003
84,405.0001,23.0027
85,432.9451,23.0024
