,keV,f1
0,2.080733,23.8307
1,2.224304,23.7813
2,2.377781,23.7276
3,2.541848,23.6639
4,2.717235,23.5939
5,2.904724,23.5212
6,3.10515,23.4551
7,3.319406,23.3672
8,3.548445,23.2625
9,3.793288,23.1453
10,4.055024,23.0137
11,4.334821,22.8622
12,4.633924,22.679
13,4.953664,22.44
14,5.295467,22.0858
15,5.660855,21.3981
16,5.869416,20.4015
17,5.959254,18.9371
18,5.983211,17.1703
19,6.019146,18.9719
20,6.051453,19.8252
21,6.108984,20.6031
22,6.469004,22.2661
23,6.915365,23.0221
24,7.392525,23.4637
25,7.902609,23.7651
26,8.44789,23.9746
27,9.030794,24.1269
28,9.653919,24.227
29,10.32004,24.2944
30,11.03212,24.3392
31,11.79334,24.3684
32,12.60708,24.4243
33,13.47697,24.4264
34,14.40688,24.4195
35,15.40095,24.4067
36,16.46362,24.3901
37,17.59961,24.3712
38,18.81398,24.3509
39,20.11215,24.3301
40,21.49988,24.3093
41,22.98338,24.2889
42,24.56923,24.2694
43,26.2645,24.2512
44,28.07676,24.2333
45,30.01405,24.2153
46,32.08502,24.1978
47,34.29889,24.181
48,36.66551,24.1653
49,39.19543,24.1506
50,41.89992,24.1369
51,44.79101,24.1242
52,47.88159,24.1125
53,51.18542,24.1018
54,54.71721,24.092
55,58.4927,24.0831
56,62.5287,24.075
57,66.84318,24.0676
58,71.45536,24.0609
59,76.38578,24.0549
60,81.6564,24.0495
61,87.29069,24.0444
62,93.31374,24.0399
63,99.75239,24.0357
64,106.6353,24.032
65,113.9931,24.0286
66,121.8587,24.0256
67,130.2669,24.0229
68,139.2553,24.0204
69,148.864,24.0182
70,159.1356,24.0162
71,170.1159,24.0145
72,181.8539,24.0129
73,194.4018,24.0115
74,207.8156,24.0102
75,222.1548,24.0091
76,237.4835,24.0081
77,253.8699,24.0072
78,271.3869,24.0064
79,290.1126,24.0057
80,310.1304,24.005
81,331.5294,24.0045
82,354.4049,24.004
83,378.8588,24.0035
84,405.0001,24.0031
85,432.9451,24.0028
