,keV,f1
0,2.080733,24.9156
1,2.224304,24.8752
2,2.377781,24.8294
3,2.541848,24.7785
4,2.717235,24.7246
5,2.904724,24.6691
6,3.10515,24.612
7,3.319406,24.5255
8,3.548445,24.4274
9,3.793288,24.3202
10,4.055024,24.2039
11,4.334821,24.0759
12,4.633924,23.9312
13,4.953664,23.7601
14,5.295467,23.5437
15,5.660855,23.2388
16,6.051453,22.7115
17,6.40822,21.4354
18,6.469004,20.7891
19,6.506305,19.9795
20,6.532461,18.2218
21,6.571695,20.0165
22,6.66978,21.641
23,6.915365,22.9017
24,7.392525,23.8502
25,7.902609,24.3589
26,8.44789,24.6957
27,9.030794,24.9352
28,9.653919,25.0944
29,10.32004,25.2022
30,11.03212,25.2757
31,11.79334,25.3252
32,12.60708,25.3579
33,13.47697,25.4183
34,14.40688,25.424
35,15.40095,25.4196
36,16.46362,25.4086
37,17.59961,25.3932
38,18.81398,25.3751
39,20.11215,25.3554
40,21.49988,25.3349
41,22.98338,25.3143
42,24.56923,25.2941
43,26.2645,25.2746
44,28.07676,25.2565
45,30.01405,25.2383
46,32.08502,25.22
47,34.29889,25.2021
48,36.66551,25.1851
49,39.19543,25.1691
50,41.89992,25.1541
51,44.79101,25.1401
52,47.88159,25.1272
53,51.18542,25.1153
54,54.71721,25.1044
55,58.4927,25.0944
56,62.5287,25.0853
57,66.84318,25.077
58,71.45536,25.0695
59,76.38578,25.0626
60,81.6564,25.0565
61,87.29069,25.0508
62,93.31374,25.0456
63,99.75239,25.0409
64,106.6353,25.0367
65,113.9931,25.0329
66,121.8587,25.0294
67,130.2669,25.0263
68,139.2553,25.0235
69,148.864,25.021
70,159.1356,25.0187
71,170.1159,25.0167
72,181.8539,25.0149
73,194.4018,25.0133
74,207.8156,25.0118
75,222.1548,25.0105
76,237.4835,25.0094
77,253.8699,25.0083
78,271.3869,25.0074
79,290.1126,25.0066
80,310.1304,25.0059
81,331.5294,25.0052
82,354.4049,25.0046
83,378.8588,25.0041
84,405.0001,25.0036
85,432.9451,25.0032
