,keV,f1
0,2.080733,25.9787
1,2.224304,25.9575
2,2.377781,25.9217
3,2.541848,25.8778
4,2.717235,25.8293
5,2.904724,25.7812
6,3.10515,25.7281
7,3.319406,25.6539
8,3.548445,25.5677
9,3.793288,25.4704
10,4.055024,25.3646
11,4.334821,25.2504
12,4.633924,25.1258
13,4.953664,24.9864
14,5.295467,24.8241
15,5.660855,24.6232
16,6.051453,24.3495
17,6.469004,23.9082
18,6.915365,22.789
19,6.96976,22.4649
20,7.07644,21.0168
21,7.104888,19.2682
22,7.14756,21.0548
23,7.25424,22.6714
24,7.392525,23.4808
25,7.902609,24.683
26,8.44789,25.2655
27,9.030794,25.6451
28,9.653919,25.8973
29,10.32004,26.066
30,11.03212,26.1815
31,11.79334,26.2607
32,12.60708,26.3142
33,13.47697,26.3498
34,14.40688,26.4121
35,15.40095,26.4211
36,16.46362,26.4188
37,17.59961,26.4094
38,18.81398,26.3951
39,20.11215,26.3778
40,21.49988,26.3587
41,22.98338,26.3387
42,24.56923,26.3183
43,26.2645,26.2983
44,28.07676,26.2809
45,30.01405,26.2618
46,32.08502,26.243
47,34.29889,26.2243
48,36.66551,26.2062
49,39.19543,26.1889
50,41.89992,26.1725
51,44.79101,26.1573
52,47.88159,26.1431
53,51.18542,26.13
54,54.71721,26.1179
55,58.4927,26.1068
56,62.5287,26.0966
57,66.84318,26.0873
58,71.45536,26.0789
59,76.38578,26.0712
60,81.6564,26.0643
61,87.29069,26.0579
62,93.31374,26.0521
63,99.75239,26.0468
64,106.6353,26.042
65,113.9931,26.0376
66,121.8587,26.0337
67,130.2669,26.0302
68,139.2553,26.027
69,148.864,26.0241
70,159.1356,26.0215
71,170.1159,26.0192
72,181.8539,26.0171
73,194.4018,26.0153
74,207.8156,26.0136
75,222.1548,26.0121
76,237.4835,26.0108
77,253.8699,26.0096
78,271.3869,26.0086
79,290.1126,26.0076
80,310.1304,26.0068
81,331.5294,26.006
82,354.4049,26.0053
83,378.8588,26.0047
84,405.0001,26.0042
85,432.9451,26.0037
