,keV,f1
0,2.080733,27.0031
1,2.224304,27.0049
2,2.377781,26.9898
3,2.541848,26.9602
4,2.717235,26.9203
5,2.904724,26.8771
6,3.10515,26.8376
7,3.319406,26.7746
8,3.548445,26.6954
9,3.793288,26.6078
10,4.055024,26.5107
11,4.334821,26.4054
12,4.633924,26.2922
13,4.953664,26.1697
14,5.295467,26.0338
15,5.660855,25.8774
16,6.051453,25.6869
17,6.469004,25.4337
18,6.915365,25.044
19,7.392525,24.1983
20,7.554722,23.4922
21,7.670355,22.0515
22,7.701191,20.3118
23,7.747444,22.0899
24,7.863078,23.698
25,7.902609,23.9681
26,8.44789,25.5247
27,9.030794,26.1889
28,9.653919,26.5956
29,10.32004,26.8641
30,11.03212,27.0436
31,11.79334,27.1663
32,12.60708,27.2503
33,13.47697,27.3072
34,14.40688,27.3449
35,15.40095,27.3695
36,16.46362,27.4194
37,17.59961,27.4188
38,18.81398,27.4105
39,20.11215,27.3973
40,21.49988,27.3808
41,22.98338,27.3623
42,24.56923,27.343
43,26.2645,27.3241
44,28.07676,27.3053
45,30.01405,27.2853
46,32.08502,27.2654
47,34.29889,27.2463
48,36.66551,27.2274
49,39.19543,27.2091
50,41.89992,27.1916
51,44.79101,27.1751
52,47.88159,27.1597
53,51.18542,27.1453
54,54.71721,27.132
55,58.4927,27.1198
56,62.5287,27.1086
57,66.84318,27.0983
58,71.45536,27.0889
59,76.38578,27.0803
60,81.6564,27.0725
61,87.29069,27.0655
62,93.31374,27.059
63,99.75239,27.053
64,106.6353,27.0476
65,113.9931,27.0427
66,121.8587,27.0383
67,130.2669,27.0343
68,139.2553,27.0307
69,148.864,27.0275
70,159.1356,27.0246
71,170.1159,27.0219
72,181.8539,27.0196
73,194.4018,27.0175
74,207.8156,27.0156
75,222.1548,27.0139
76,237.4835,27.0124
77,253.8699,27.011
78,271.3869,27.0098
79,290.1126,27.0087
80,310.1304,27.0078
81,331.5294,27.0069
82,354.4049,27.0061
83,378.8588,27.0055
84,405.0001,27.0049
85,432.9451,27.0043
