,keV,f1
0,2.080733,27.9855
1,2.224304,28.0289
2,2.377781,28.0405
3,2.541848,28.0299
4,2.717235,28.0016
5,2.904724,27.9659
6,3.10515,27.9386
7,3.319406,27.8847
8,3.548445,27.8165
9,3.793288,27.734
10,4.055024,27.6425
11,4.334821,27.5458
12,4.633924,27.4435
13,4.953664,27.3322
14,5.295467,27.2114
15,5.660855,27.0779
16,6.051453,26.9254
17,6.469004,26.7418
18,6.915365,26.5023
19,7.392525,26.1454
20,7.902609,25.4382
21,8.166144,24.5187
22,8.291136,23.0862
23,8.324467,21.3577
24,8.374464,23.1229
25,8.44789,24.2866
26,8.499456,24.7181
27,9.030794,26.3786
28,9.653919,27.1216
29,10.32004,27.5654
30,11.03212,27.8453
31,11.79334,28.0311
32,12.60708,28.1583
33,13.47697,28.2454
34,14.40688,28.3043
35,15.40095,28.3432
36,16.46362,28.3682
37,17.59961,28.4192
38,18.81398,28.4194
39,20.11215,28.412
40,21.49988,28.3996
41,22.98338,28.3839
42,24.56923,28.3663
43,26.2645,28.3479
44,28.07676,28.329
45,30.01405,28.3086
46,32.08502,28.288
47,34.29889,28.2678
48,36.66551,28.2484
49,39.19543,28.2295
50,41.89992,28.211
51,44.79101,28.1934
52,47.88159,28.1768
53,51.18542,28.1613
54,54.71721,28.1468
55,58.4927,28.1334
56,62.5287,28.1211
57,66.84318,28.1097
58,71.45536,28.0994
59,76.38578,28.0899
60,81.6564,28.0813
61,87.29069,28.0734
62,93.31374,28.0662
63,99.75239,28.0596
64,106.6353,28.0536
65,113.9931,28.0481
66,121.8587,28.0432
67,130.2669,28.0387
68,139.2553,28.0347
69,148.864,28.0311
70,159.1356,28.0278
71,170.1159,28.0248
72,181.8539,28.0222
73,194.4018,28.0198
74,207.8156,28.0177
75,222.1548,28.0158
76,237.4835,28.0141
77,253.8699,28.0125
78,271.3869,28.0112
79,290.1126,28.0099
80,310.1304,28.0088
81,331.5294,28.0079
82,354.4049,28.007
83,378.8588,28.0062
84,405.0001,28.0055
85,432.9451,28.0049
