,keV,f1
0,2.080733,28.8419
1,2.224304,28.9864
2,2.377781,29.0462
3,2.541848,29.069
4,2.717235,29.0677
5,2.904724,29.0575
6,3.10515,29.0457
7,3.319406,28.9922
8,3.548445,28.9262
9,3.793288,28.8535
10,4.055024,28.7704
11,4.334821,28.6782
12,4.633924,28.5808
13,4.953664,28.479
14,5.295467,28.3686
15,5.660855,28.2491
16,6.051453,28.1175
17,6.469004,27.9683
18,6.915365,27.7902
19,7.392525,27.561
20,7.902609,27.227
21,8.44789,26.5993
22,8.799322,25.5649
23,8.934005,24.1493
24,8.969921,22.4326
25,9.030794,24.3489
26,9.158478,25.7726
27,9.653919,27.312
28,10.32004,28.0727
29,11.03212,28.5046
30,11.79334,28.7985
31,12.60708,29.0017
32,13.47697,29.1413
33,14.40688,29.2373
34,15.40095,29.3017
35,16.46362,29.3434
36,17.59961,29.3688
37,18.81398,29.4189
38,20.11215,29.4195
39,21.49988,29.4125
40,22.98338,29.4006
41,24.56923,29.3855
42,26.2645,29.3684
43,28.07676,29.3516
44,30.01405,29.3316
45,32.08502,29.3106
46,34.29889,29.2896
47,36.66551,29.2692
48,39.19543,29.2497
49,41.89992,29.2308
50,44.79101,29.2123
51,47.88159,29.1946
52,51.18542,29.1779
53,54.71721,29.1623
54,58.4927,29.1478
55,62.5287,29.1344
56,66.84318,29.122
57,71.45536,29.1106
58,76.38578,29.1001
59,81.6564,29.0907
60,87.29069,29.0821
61,93.31374,29.0741
62,99.75239,29.0668
63,106.6353,29.0601
64,113.9931,29.0541
65,121.8587,29.0486
66,130.2669,29.0436
67,139.2553,29.0391
68,148.864,29.035
69,159.1356,29.0313
70,170.1159,29.028
71,181.8539,29.0251
72,194.4018,29.0224
73,207.8156,29.02
74,222.1548,29.0179
75,237.4835,29.0159
76,253.8699,29.0142
77,271.3869,29.0127
78,290.1126,29.0113
79,310.1304,29.0101
80,331.5294,29.009
81,354.4049,29.008
82,378.8588,29.0071
83,405.0001,29.0063
84,432.9451,29.0056
