,keV,f1
0,2.080733,2.00331
1,2.224304,2.00294
2,2.377781,2.0026
3,2.541848,2.00231
4,2.717235,2.00204
5,2.904724,2.00181
6,3.10515,2.0016
7,3.319406,2.00141
8,3.548445,2.00125
9,3.793288,2.0011
10,4.055024,2.00097
11,4.334821,2.00086
12,4.633924,2.00076
13,4.953664,2.00067
14,5.295467,2.00059
15,5.660855,2.00052
16,6.051453,2.00046
17,6.469004,2.0004
18,6.915365,2.00035
19,7.392525,2.00031
20,7.902609,2.00027
21,8.44789,2.00024
22,9.030794,2.00021
23,9.653919,2.00019
24,10.32004,2.00016
25,11.03212,2.00014
26,11.79334,2.00013
27,12.60708,2.00011
28,13.47697,2.0001
29,14.40688,2.00009
30,15.40095,2.00007
31,16.46362,2.00007
32,17.59961,2.00006
33,18.81398,2.00005
34,20.11215,2.00004
35,21.49988,2.00004
36,22.98338,2.00003
37,24.56923,2.00003
38,26.2645,2.00003
39,28.07676,2.00002
40,30.01405,2.00002
41,32.08502,2.00002
42,34.29889,2.00002
43,36.66551,2.00001
44,39.19543,2.00001
45,41.89992,2.00001
46,44.79101,2.00001
47,47.88159,2.00001
48,51.18542,2.00001
49,54.71721,2.00001
50,58.4927,2.00001
51,62.5287,2.0
52,66.84318,2.0
53,71.45536,2.0
54,76.38578,2.0
55,81.6564,2.0
56,87.29069,2.0
57,93.31374,2.0
58,99.75239,2.0
59,106.6353,2.0
60,113.9931,2.0
61,121.8587,2.0
62,130.2669,2.0
63,139.2553,2.0
64,148.864,2.0
65,159.1356,2.0
66,170.1159,2.0
67,181.8539,2.0
68,194.4018,2.0
69,207.8156,2.0
70,222.1548,2.0
71,237.4835,2.0
72,253.8699,2.0
73,271.3869,2.0
74,290.1126,2.0
75,310.1304,2.0
76,331.5294,2.0
77,354.4049,2.0
78,378.8588,2.0
79,405.0001,2.0
80,432.9451,2.0
