,keV,f1
0,2.0089931,29.4126
1,2.0190381,29.432
2,2.0291333,29.451
3,2.039279,29.4697
4,2.0494754,29.6021
5,2.0597227,29.6199
6,2.0700213,29.6373
7,2.0803714,29.6541
8,2.0907733,29.7278
9,2.1012272,29.7436
10,2.1117333,29.7589
11,2.122292,29.7737
12,2.1329034,29.7879
13,2.143568,29.8017
14,2.1542858,29.8149
15,2.1650572,29.8278
16,2.1758825,29.8401
17,2.1867619,29.8521
18,2.1976957,29.8637
19,2.2086842,29.8748
20,2.2197276,29.8856
21,2.2308263,29.896
22,2.2419804,29.9061
23,2.2531903,29.9158
24,2.2644562,29.9252
25,2.2757785,29.9343
26,2.2871574,29.943
27,2.2985932,29.9515
28,2.3100862,29.9596
29,2.3216366,29.9675
30,2.3332448,29.9751
31,2.344911,29.9824
32,2.3566356,29.9895
33,2.3684187,29.9964
34,2.3802608,30.003
35,2.3921621,30.0496
36,2.404123,30.0559
37,2.4161436,30.0619
38,2.4282243,30.0676
39,2.4403654,30.073
40,2.4525672,30.0782
41,2.4648301,30.0831
42,2.4771542,30.0877
43,2.48954,30.0921
44,2.5019877,30.0962
45,2.5144976,30.1001
46,2.5270701,30.1038
47,2.5397055,30.1073
48,2.552404,30.1105
49,2.565166,30.1136
50,2.5779919,30.1165
51,2.5908818,30.1191
52,2.6038362,30.1216
53,2.6168554,30.1239
54,2.6299397,30.126
55,2.6430894,30.128
56,2.6563048,30.1297
57,2.6695863,30.1313
58,2.6829343,30.1328
59,2.6963489,30.1341
60,2.7098307,30.1353
61,2.7233798,30.1363
62,2.7369967,30.1372
63,2.7506817,30.1379
64,2.7644351,30.1386
65,2.7782573,30.1391
66,2.7921486,30.1395
67,2.8061093,30.1397
68,2.8201399,30.1399
69,2.8342406,30.14
70,2.8484118,30.14
71,2.8626539,30.1399
72,2.8769671,30.1397
73,2.891352,30.1394
74,2.9058087,30.1391
75,2.9203378,30.1387
76,2.9349394,30.1382
77,2.9496141,30.1377
78,2.9643622,30.1372
79,2.979184,30.1366
80,2.9940799,30.136
81,3.0090503,30.1369
82,3.0240956,30.1381
83,3.0392161,30.1387
84,3.0544122,30.1388
85,3.0696842,30.1383
86,3.0850326,30.1375
87,3.1004578,30.1364
88,3.1159601,30.1349
89,3.1315399,30.1331
90,3.1471976,30.1312
91,3.1629336,30.1289
92,3.1787482,30.1265
93,3.194642,30.1239
94,3.2106152,30.1211
95,3.2266683,30.1181
96,3.2428016,30.1149
97,3.2590156,30.1116
98,3.2753107,30.1082
99,3.2916873,30.1046
100,3.3081457,30.1009
101,3.3246864,30.097
102,3.3413099,30.093
103,3.3580164,30.089
104,3.3748065,30.0848
105,3.3916805,30.0805
106,3.4086389,30.0761
107,3.4256821,30.0716
108,3.4428105,30.067
109,3.4600246,30.0624
110,3.4773247,30.0576
111,3.4947113,30.0528
112,3.5121849,30.0479
113,3.5297458,30.0429
114,3.5473945,30.0379
115,3.5651315,30.0327
116,3.5829572,30.0276
117,3.6008719,30.0223
118,3.6188763,30.017
119,3.6369707,30.0116
120,3.6551555,30.0062
121,3.6734313,30.0007
122,3.6917985,29.9952
123,3.7102575,29.9896
124,3.7288088,29.984
125,3.7474528,29.9783
126,3.7661901,29.9726
127,3.785021,29.9668
128,3.8039461,29.961
129,3.8229659,29.9551
130,3.8420807,29.9492
131,3.8612911,29.9433
132,3.8805975,29.9374
133,3.9000005,29.9314
134,3.9195005,29.9253
135,3.939098,29.9193
136,3.9587935,29.9132
137,3.9785875,29.9071
138,3.9984804,29.9009
139,4.0184728,29.8948
140,4.0385652,29.8886
141,4.058758,29.8824
142,4.0790518,29.8762
143,4.0994471,29.8699
144,4.1199443,29.8636
145,4.140544,29.8574
146,4.1612467,29.8511
147,4.182053,29.8447
148,4.2029632,29.8384
149,4.2239781,29.8321
150,4.245098,29.8257
151,4.2663234,29.8194
152,4.2876551,29.813
153,4.3090933,29.8066
154,4.3306388,29.8003
