,keV,f1
0,2.0089931,30.0812
1,2.0190381,30.1077
2,2.0291333,30.1337
3,2.039279,30.1591
4,2.0494754,30.1839
5,2.0597227,30.2083
6,2.0700213,30.2321
7,2.0803714,30.2554
8,2.0907733,30.2782
9,2.1012272,30.3006
10,2.1117333,30.3225
11,2.122292,30.3439
12,2.1329034,30.3649
13,2.143568,30.3855
14,2.1542858,30.4057
15,2.1650572,30.4255
16,2.1758825,30.4448
17,2.1867619,30.4639
18,2.1976957,30.4825
19,2.2086842,30.5008
20,2.2197276,30.5188
21,2.2308263,30.6455
22,2.2419804,30.6628
23,2.2531903,30.6796
24,2.2644562,30.6959
25,2.2757785,30.7117
26,2.2871574,30.7822
27,2.2985932,30.7971
28,2.3100862,30.8114
29,2.3216366,30.8253
30,2.3332448,30.8387
31,2.344911,30.8516
32,2.3566356,30.8641
33,2.3684187,30.8762
34,2.3802608,30.8879
35,2.3921621,30.8991
36,2.404123,30.91
37,2.4161436,30.9206
38,2.4282243,30.9307
39,2.4403654,30.9406
40,2.4525672,30.9501
41,2.4648301,30.9593
42,2.4771542,30.9682
43,2.48954,30.9768
44,2.5019877,30.985
45,2.5144976,30.9931
46,2.5270701,31.0008
47,2.5397055,31.0083
48,2.552404,31.0155
49,2.565166,31.0225
50,2.5779919,31.0293
51,2.5908818,31.0358
52,2.6038362,31.0839
53,2.6168554,31.0901
54,2.6299397,31.0961
55,2.6430894,31.1018
56,2.6563048,31.1072
57,2.6695863,31.1124
58,2.6829343,31.1173
59,2.6963489,31.122
60,2.7098307,31.1265
61,2.7233798,31.1308
62,2.7369967,31.135
63,2.7506817,31.1389
64,2.7644351,31.1426
65,2.7782573,31.1462
66,2.7921486,31.1496
67,2.8061093,31.1529
68,2.8201399,31.1561
69,2.8342406,31.1591
70,2.8484118,31.1621
71,2.8626539,31.1649
72,2.8769671,31.1677
73,2.891352,31.1705
74,2.9058087,31.1732
75,2.9203378,31.1759
76,2.9349394,31.1787
77,2.9496141,31.1817
78,2.9643622,31.1848
79,2.979184,31.1882
80,2.9940799,31.1921
81,3.0090503,31.1967
82,3.0240956,31.2005
83,3.0392161,31.2033
84,3.0544122,31.2054
85,3.0696842,31.2068
86,3.0850326,31.2078
87,3.1004578,31.2083
88,3.1159601,31.2084
89,3.1315399,31.2082
90,3.1471976,31.2077
91,3.1629336,31.2068
92,3.1787482,31.2057
93,3.194642,31.2044
94,3.2106152,31.2028
95,3.2266683,31.201
96,3.2428016,31.199
97,3.2590156,31.1968
98,3.2753107,31.1944
99,3.2916873,31.1919
100,3.3081457,31.1891
101,3.3246864,31.1862
102,3.3413099,31.1832
103,3.3580164,31.18
104,3.3748065,31.1767
105,3.3916805,31.1733
106,3.4086389,31.1697
107,3.4256821,31.166
108,3.4428105,31.1622
109,3.4600246,31.1582
110,3.4773247,31.1542
111,3.4947113,31.15
112,3.5121849,31.1458
113,3.5297458,31.1414
114,3.5473945,31.137
115,3.5651315,31.1325
116,3.5829572,31.1279
117,3.6008719,31.1232
118,3.6188763,31.1184
119,3.6369707,31.1135
120,3.6551555,31.1086
121,3.6734313,31.1036
122,3.6917985,31.0985
123,3.7102575,31.0933
124,3.7288088,31.0881
125,3.7474528,31.0828
126,3.7661901,31.0775
127,3.785021,31.0721
128,3.8039461,31.0666
129,3.8229659,31.0611
130,3.8420807,31.0556
131,3.8612911,31.0499
132,3.8805975,31.0443
133,3.9000005,31.0386
134,3.9195005,31.0328
135,3.939098,31.027
136,3.9587935,31.0211
137,3.9785875,31.0153
138,3.9984804,31.0093
139,4.0184728,31.0034
140,4.0385652,30.9974
141,4.058758,30.9913
142,4.0790518,30.9853
143,4.0994471,30.9791
144,4.1199443,30.973
145,4.140544,30.9668
146,4.1612467,30.9606
147,4.182053,30.9544
148,4.2029632,30.9482
149,4.2239781,30.9419
150,4.245098,30.9356
151,4.2663234,30.9293
152,4.2876551,30.9229
153,4.3090933,30.9166
154,4.3306388,30.9102
155,4.352292,30.9038
156,4.3740535,30.8974
157,4.3959237,30.8909
158,4.4179033,30.8845
159,4.4399929,30.878
160,4.4621928,30.8715
161,4.4845038,30.865
162,4.5069263,30.8585
163,4.5294609,30.852
164,4.5521082,30.8455
165,4.5748688,30.839
166,4.5977431,30.8324
167,4.6207318,30.8259
168,4.6438355,30.8193
169,4.6670547,30.8128
170,4.69039,30.8062
171,4.7138419,30.7997
172,4.7374111,30.7931
173,4.7610982,30.7866
174,4.7849037,30.78
175,4.8088282,30.7735
176,4.8328723,30.7669
177,4.8570367,30.7604
178,4.8813219,30.7538
179,4.9057285,30.7472
180,4.9302571,30.7405
181,4.9549084,30.7338
182,4.9796829,30.7271
183,5.0045814,30.7203
184,5.0296043,30.7134
185,5.0547523,30.7065
186,5.080026,30.6995
187,5.1054262,30.6925
188,5.1309533,30.6855
189,5.1566081,30.6784
190,5.1823911,30.6713
191,5.2083031,30.6641
192,5.2343446,30.6569
193,5.2605163,30.6496
194,5.2868189,30.6423
195,5.313253,30.635
196,5.3398192,30.6277
197,5.3665183,30.6203
198,5.3933509,30.613
199,5.4203177,30.6055
200,5.4474193,30.5981
201,5.4746564,30.5906
202,5.5020297,30.5832
203,5.5295398,30.5756
204,5.5571875,30.5681
205,5.5849734,30.5606
206,5.6128983,30.553
207,5.6409628,30.5454
208,5.6691676,30.5378
209,5.6975135,30.5301
210,5.726001,30.5224
211,5.754631,30.5146
212,5.7834042,30.5067
213,5.8123212,30.4988
214,5.8413828,30.4908
215,5.8705897,30.4828
216,5.8999427,30.4747
217,5.9294424,30.4665
218,5.9590896,30.4583
219,5.988885,30.4501
220,6.0188295,30.4418
221,6.0489236,30.4334
222,6.0791682,30.425
223,6.1095641,30.4165
224,6.1401119,30.408
225,6.1708125,30.3995
226,6.2016665,30.3908
227,6.2326749,30.3822
228,6.2638382,30.3734
229,6.2951574,30.3647
230,6.3266332,30.3558
231,6.3582664,30.3469
232,6.3900577,30.338
233,6.422008,30.3289
234,6.454118,30.3199
235,6.4863886,30.3107
236,6.5188206,30.3015
237,6.5514147,30.2923
238,6.5841717,30.2829
239,6.915365,30.2036
240,7.392525,30.0569
241,7.902609,29.8851
242,8.44789,29.6694
243,9.030794,29.3678
244,9.653919,28.8162
245,10.15976,27.648
246,10.32004,26.1338
247,10.35673,24.5278
248,10.41894,26.2749
249,10.57444,27.8546
250,11.03212,29.1935
251,11.79334,30.0256
252,12.60708,30.4757
253,13.47697,30.7777
254,14.40688,30.9902
255,15.40095,31.135
256,16.46362,31.2343
257,17.59961,31.3007
258,18.81398,31.3433
259,20.11215,31.3689
260,21.49988,31.4186
261,22.98338,31.4203
262,24.56923,31.4148
263,26.2645,31.4053
264,28.07676,31.3918
265,30.01405,31.3739
266,32.08502,31.3537
267,34.29889,31.3325
268,36.66551,31.3111
269,39.19543,31.2898
270,41.89992,31.2693
271,44.79101,31.2498
272,47.88159,31.231
273,51.18542,31.2126
274,54.71721,31.195
275,58.4927,31.1784
276,62.5287,31.1628
277,66.84318,31.1484
278,71.45536,31.135
279,76.38578,31.1228
280,81.6564,31.1117
281,87.29069,31.1012
282,93.31374,31.0915
283,99.75239,31.0826
284,106.6353,31.0745
285,113.9931,31.0671
286,121.8587,31.0604
287,130.2669,31.0543
288,139.2553,31.0488
289,148.864,31.0438
290,159.1356,31.0392
291,170.1159,31.0352
292,181.8539,31.0315
293,194.4018,31.0282
294,207.8156,31.0252
295,222.1548,31.0225
296,237.4835,31.0201
297,253.8699,31.018
298,271.3869,31.0161
299,290.1126,31.0143
300,310.1304,31.0128
301,331.5294,31.0114
302,354.4049,31.0101
303,378.8588,31.009
304,405.0001,31.008
305,432.9451,31.0072
