,keV,f1
0,2.0089931,30.595
1,2.0190381,30.6327
2,2.0291333,30.6695
3,2.039279,30.7056
4,2.0494754,30.7409
5,2.0597227,30.7755
6,2.0700213,30.8093
7,2.0803714,30.8423
8,2.0907733,30.8747
9,2.1012272,30.9064
10,2.1117333,30.9374
11,2.122292,30.9677
12,2.1329034,30.9974
13,2.143568,31.0265
14,2.1542858,31.0549
15,2.1650572,31.0828
16,2.1758825,31.11
17,2.1867619,31.1367
18,2.1976957,31.1629
19,2.2086842,31.1885
20,2.2197276,31.2135
21,2.2308263,31.2381
22,2.2419804,31.2621
23,2.2531903,31.2857
24,2.2644562,31.3088
25,2.2757785,31.3314
26,2.2871574,31.3535
27,2.2985932,31.3752
28,2.3100862,31.3964
29,2.3216366,31.4172
30,2.3332448,31.4375
31,2.344911,31.4574
32,2.3566356,31.477
33,2.3684187,31.4961
34,2.3802608,31.5149
35,2.3921621,31.5332
36,2.404123,31.5513
37,2.4161436,31.569
38,2.4282243,31.5864
39,2.4403654,31.7109
40,2.4525672,31.7274
41,2.4648301,31.7435
42,2.4771542,31.7591
43,2.48954,31.7742
44,2.5019877,31.8434
45,2.5144976,31.8576
46,2.5270701,31.8714
47,2.5397055,31.8847
48,2.552404,31.8976
49,2.565166,31.91
50,2.5779919,31.9221
51,2.5908818,31.9338
52,2.6038362,31.9451
53,2.6168554,31.9561
54,2.6299397,31.9667
55,2.6430894,31.977
56,2.6563048,31.987
57,2.6695863,31.9966
58,2.6829343,32.006
59,2.6963489,32.0152
60,2.7098307,32.024
61,2.7233798,32.0326
62,2.7369967,32.041
63,2.7506817,32.0491
64,2.7644351,32.057
65,2.7782573,32.0647
66,2.7921486,32.0722
67,2.8061093,32.0795
68,2.8201399,32.0866
69,2.8342406,32.1349
70,2.8484118,32.1419
71,2.8626539,32.1487
72,2.8769671,32.1554
73,2.891352,32.162
74,2.9058087,32.1684
75,2.9203378,32.1748
76,2.9349394,32.1811
77,2.9496141,32.1874
78,2.9643622,32.1937
79,2.979184,32.2002
80,2.9940799,32.2068
81,3.0090503,32.2124
82,3.0240956,32.2167
83,3.0392161,32.2206
84,3.0544122,32.2241
85,3.0696842,32.2271
86,3.0850326,32.2298
87,3.1004578,32.2321
88,3.1159601,32.2341
89,3.1315399,32.2358
90,3.1471976,32.2372
91,3.1629336,32.2382
92,3.1787482,32.239
93,3.194642,32.2396
94,3.2106152,32.2398
95,3.2266683,32.2399
96,3.2428016,32.2397
97,3.2590156,32.2393
98,3.2753107,32.2386
99,3.2916873,32.2378
100,3.3081457,32.2368
101,3.3246864,32.2355
102,3.3413099,32.2341
103,3.3580164,32.2325
104,3.3748065,32.2308
105,3.3916805,32.2288
106,3.4086389,32.2268
107,3.4256821,32.2245
108,3.4428105,32.2221
109,3.4600246,32.2196
110,3.4773247,32.2169
111,3.4947113,32.214
112,3.5121849,32.2111
113,3.5297458,32.2079
114,3.5473945,32.2047
115,3.5651315,32.2014
116,3.5829572,32.1979
117,3.6008719,32.1943
118,3.6188763,32.1906
119,3.6369707,32.1868
120,3.6551555,32.1829
121,3.6734313,32.1789
122,3.6917985,32.1748
123,3.7102575,32.1705
124,3.7288088,32.1662
125,3.7474528,32.1619
126,3.7661901,32.1574
127,3.785021,32.1528
128,3.8039461,32.1482
129,3.8229659,32.1435
130,3.8420807,32.1387
131,3.8612911,32.1338
132,3.8805975,32.1288
133,3.9000005,32.1238
134,3.9195005,32.1187
135,3.939098,32.1136
136,3.9587935,32.1084
137,3.9785875,32.1031
138,3.9984804,32.0978
139,4.0184728,32.0924
140,4.0385652,32.087
141,4.058758,32.0815
142,4.0790518,32.0759
143,4.0994471,32.0703
144,4.1199443,32.0647
145,4.140544,32.059
146,4.1612467,32.0532
147,4.182053,32.0475
148,4.2029632,32.0416
149,4.2239781,32.0358
150,4.245098,32.0299
151,4.2663234,32.0239
152,4.2876551,32.018
153,4.3090933,32.0119
154,4.3306388,32.0059
155,4.352292,31.9998
156,4.3740535,31.9937
157,4.3959237,31.9875
158,4.4179033,31.9814
159,4.4399929,31.9752
160,4.4621928,31.9689
161,4.4845038,31.9627
162,4.5069263,31.9564
163,4.5294609,31.9501
164,4.5521082,31.9438
165,4.5748688,31.9374
166,4.5977431,31.9311
167,4.6207318,31.9247
168,4.6438355,31.9183
169,4.6670547,31.9118
170,4.69039,31.9054
171,4.7138419,31.8989
172,4.7374111,31.8925
173,4.7610982,31.886
174,4.7849037,31.8795
175,4.8088282,31.873
176,4.8328723,31.8664
177,4.8570367,31.8599
178,4.8813219,31.8533
179,4.9057285,31.8468
180,4.9302571,31.8402
181,4.9549084,31.8337
182,4.9796829,31.8271
183,5.0045814,31.8205
184,5.0296043,31.8139
185,5.0547523,31.8073
186,5.080026,31.8007
187,5.1054262,31.7941
188,5.1309533,31.7875
189,5.1566081,31.7809
190,5.1823911,31.7743
191,5.2083031,31.7677
192,5.2343446,31.7612
193,5.2605163,31.7546
194,5.2868189,31.748
195,5.313253,31.7414
196,5.3398192,31.7348
197,5.3665183,31.7281
198,5.3933509,31.7214
199,5.4203177,31.7146
200,5.4474193,31.7078
201,5.4746564,31.701
202,5.5020297,31.6941
203,5.5295398,31.6871
204,5.5571875,31.6801
205,5.5849734,31.6731
