,keV,f1
0,2.0089931,30.9178
1,2.0190381,30.9719
2,2.0291333,31.0246
3,2.039279,31.0762
4,2.0494754,31.1265
5,2.0597227,31.1757
6,2.0700213,31.2237
7,2.0803714,31.2706
8,2.0907733,31.3165
9,2.1012272,31.3613
10,2.1117333,31.4051
11,2.122292,31.4479
12,2.1329034,31.4898
13,2.143568,31.5308
14,2.1542858,31.5708
15,2.1650572,31.6099
16,2.1758825,31.6482
17,2.1867619,31.6856
18,2.1976957,31.7222
19,2.2086842,31.758
20,2.2197276,31.793
21,2.2308263,31.8272
22,2.2419804,31.8607
23,2.2531903,31.8935
24,2.2644562,31.9255
25,2.2757785,31.9569
26,2.2871574,31.9875
27,2.2985932,32.0175
28,2.3100862,32.0468
29,2.3216366,32.0755
30,2.3332448,32.1036
31,2.344911,32.1311
32,2.3566356,32.158
33,2.3684187,32.1843
34,2.3802608,32.21
35,2.3921621,32.2352
36,2.404123,32.2598
37,2.4161436,32.284
38,2.4282243,32.3076
39,2.4403654,32.3307
40,2.4525672,32.3533
41,2.4648301,32.3754
42,2.4771542,32.3971
43,2.48954,32.4184
44,2.5019877,32.4392
45,2.5144976,32.4595
46,2.5270701,32.4795
47,2.5397055,32.499
48,2.552404,32.5182
49,2.565166,32.537
50,2.5779919,32.5554
51,2.5908818,32.5735
52,2.6038362,32.5912
53,2.6168554,32.6086
54,2.6299397,32.6257
55,2.6430894,32.6425
56,2.6563048,32.7635
57,2.6695863,32.7794
58,2.6829343,32.7949
59,2.6963489,32.8099
60,2.7098307,32.8246
61,2.7233798,32.8894
62,2.7369967,32.9031
63,2.7506817,32.9164
64,2.7644351,32.9293
65,2.7782573,32.9418
66,2.7921486,32.9538
67,2.8061093,32.9656
68,2.8201399,32.9769
69,2.8342406,32.988
70,2.8484118,32.9987
71,2.8626539,33.0091
72,2.8769671,33.0192
73,2.891352,33.029
74,2.9058087,33.0386
75,2.9203378,33.0479
76,2.9349394,33.057
77,2.9496141,33.0659
78,2.9643622,33.0747
79,2.979184,33.0835
80,2.9940799,33.094
81,3.0090503,33.1145
82,3.0240956,33.1264
83,3.0392161,33.1367
84,3.0544122,33.1882
85,3.0696842,33.1966
86,3.0850326,33.2041
87,3.1004578,33.2109
88,3.1159601,33.2171
89,3.1315399,33.2227
90,3.1471976,33.2278
91,3.1629336,33.2325
92,3.1787482,33.2366
93,3.194642,33.2404
94,3.2106152,33.2438
95,3.2266683,33.2468
96,3.2428016,33.2495
97,3.2590156,33.2518
98,3.2753107,33.2539
99,3.2916873,33.2556
100,3.3081457,33.257
101,3.3246864,33.2582
102,3.3413099,33.2591
103,3.3580164,33.2598
104,3.3748065,33.2602
105,3.3916805,33.2604
106,3.4086389,33.2603
107,3.4256821,33.26
108,3.4428105,33.2596
109,3.4600246,33.2589
110,3.4773247,33.258
111,3.4947113,33.257
112,3.5121849,33.2557
113,3.5297458,33.2543
114,3.5473945,33.2527
115,3.5651315,33.251
116,3.5829572,33.249
117,3.6008719,33.247
118,3.6188763,33.2447
119,3.6369707,33.2424
120,3.6551555,33.2399
121,3.6734313,33.2372
122,3.6917985,33.2344
123,3.7102575,33.2315
124,3.7288088,33.2285
125,3.7474528,33.2254
126,3.7661901,33.2221
127,3.785021,33.2187
128,3.8039461,33.2152
129,3.8229659,33.2116
130,3.8420807,33.2079
131,3.8612911,33.2041
132,3.8805975,33.2002
133,3.9000005,33.1962
134,3.9195005,33.1921
135,3.939098,33.1879
136,3.9587935,33.1836
137,3.9785875,33.1792
138,3.9984804,33.1748
139,4.0184728,33.1702
140,4.0385652,33.1656
141,4.058758,33.1609
142,4.0790518,33.1561
143,4.0994471,33.1513
144,4.1199443,33.1464
145,4.140544,33.1414
146,4.1612467,33.1363
147,4.182053,33.1312
148,4.2029632,33.126
149,4.2239781,33.1208
150,4.245098,33.1155
151,4.2663234,33.1101
152,4.2876551,33.1047
153,4.3090933,33.0992
154,4.3306388,33.0937
155,4.352292,33.0881
156,4.3740535,33.0825
157,4.3959237,33.0768
158,4.4179033,33.0711
159,4.4399929,33.0654
160,4.4621928,33.0596
161,4.4845038,33.0538
162,4.5069263,33.0479
163,4.5294609,33.042
164,4.5521082,33.036
165,4.5748688,33.03
166,4.5977431,33.024
167,4.6207318,33.0179
168,4.6438355,33.0119
169,4.6670547,33.0057
170,4.69039,32.9996
171,4.7138419,32.9934
172,4.7374111,32.9872
173,4.7610982,32.981
174,4.7849037,32.9747
175,4.8088282,32.9685
176,4.8328723,32.9622
177,4.8570367,32.9558
178,4.8813219,32.9495
179,4.9057285,32.9431
180,4.9302571,32.9367
181,4.9549084,32.9303
182,4.9796829,32.9239
183,5.0045814,32.9174
184,5.0296043,32.911
185,5.0547523,32.9045
186,5.080026,32.898
187,5.1054262,32.8915
188,5.1309533,32.885
189,5.1566081,32.8785
190,5.1823911,32.8719
191,5.2083031,32.8654
192,5.2343446,32.8588
193,5.2605163,32.8522
194,5.2868189,32.8457
195,5.313253,32.8391
196,5.3398192,32.8325
197,5.3665183,32.8259
198,5.3933509,32.8193
199,5.4203177,32.8127
200,5.4474193,32.806
201,5.4746564,32.7994
202,5.5020297,32.7928
203,5.5295398,32.7862
204,5.5571875,32.7796
205,5.5849734,32.7729
206,5.6128983,32.7663
207,5.6409628,32.7597
208,5.6691676,32.7531
209,5.6975135,32.7465
210,5.726001,32.7399
211,5.754631,32.7333
212,5.7834042,32.7267
213,5.8123212,32.72
214,5.8413828,32.7133
215,5.8705897,32.7066
216,5.8999427,32.6998
217,5.9294424,32.693
218,5.9590896,32.6861
219,5.988885,32.6792
220,6.0188295,32.6722
221,6.0489236,32.6652
222,6.0791682,32.6582
223,6.1095641,32.6511
224,6.1401119,32.6439
225,6.1708125,32.6368
226,6.2016665,32.6296
227,6.2326749,32.6223
228,6.2638382,32.6151
229,6.2951574,32.6078
230,6.3266332,32.6004
231,6.3582664,32.5931
232,6.3900577,32.5857
233,6.422008,32.5783
234,6.454118,32.5708
235,6.4863886,32.5634
236,6.5188206,32.5559
237,6.5514147,32.5484
238,6.5841717,32.5408
239,6.915365,32.4812
240,7.392525,32.3657
241,7.902609,32.2394
242,8.44789,32.0983
243,9.030794,31.9351
244,9.653919,31.721
245,10.32004,31.4141
246,11.03212,30.8756
247,11.62937,29.6992
248,11.79334,28.5199
249,11.80737,28.3012
250,11.85483,26.6121
251,11.92603,28.3415
252,12.10403,29.9049
253,12.60708,31.1969
254,13.47697,32.0334
255,14.40688,32.4817
256,15.40095,32.7814
257,16.46362,32.993
