,keV,f1
0,2.0089931,30.9433
1,2.0190381,31.0208
2,2.0291333,31.0964
3,2.039279,31.1702
4,2.0494754,31.2423
5,2.0597227,31.3127
6,2.0700213,31.3815
7,2.0803714,31.4487
8,2.0907733,31.5144
9,2.1012272,31.5787
10,2.1117333,31.6416
11,2.122292,31.7031
12,2.1329034,31.7634
13,2.143568,31.8225
14,2.1542858,31.8805
15,2.1650572,31.937
16,2.1758825,31.992
17,2.1867619,32.0458
18,2.1976957,32.0982
19,2.2086842,32.1494
20,2.2197276,32.1994
21,2.2308263,32.2482
22,2.2419804,32.2959
23,2.2531903,32.3425
24,2.2644562,32.388
25,2.2757785,32.4325
26,2.2871574,32.476
27,2.2985932,32.5185
28,2.3100862,32.5601
29,2.3216366,32.6007
30,2.3332448,32.6404
31,2.344911,32.6792
32,2.3566356,32.7172
33,2.3684187,32.7543
34,2.3802608,32.7906
35,2.3921621,32.8261
36,2.404123,32.8608
37,2.4161436,32.8947
38,2.4282243,32.9279
39,2.4403654,32.9604
40,2.4525672,32.9922
41,2.4648301,33.0232
42,2.4771542,33.0536
43,2.48954,33.0834
44,2.5019877,33.1125
45,2.5144976,33.1409
46,2.5270701,33.1688
47,2.5397055,33.196
48,2.552404,33.2227
49,2.565166,33.2488
50,2.5779919,33.2743
51,2.5908818,33.2993
52,2.6038362,33.3238
53,2.6168554,33.3478
54,2.6299397,33.3712
55,2.6430894,33.3942
56,2.6563048,33.4167
57,2.6695863,33.4388
58,2.6829343,33.4604
59,2.6963489,33.4816
60,2.7098307,33.5024
61,2.7233798,33.5228
62,2.7369967,33.5427
63,2.7506817,33.5624
64,2.7644351,33.5816
65,2.7782573,33.6006
66,2.7921486,33.6192
67,2.8061093,33.6375
68,2.8201399,33.6555
69,2.8342406,33.6732
70,2.8484118,33.6907
71,2.8626539,33.708
72,2.8769671,33.8286
73,2.891352,33.8455
74,2.9058087,33.8621
75,2.9203378,33.8785
76,2.9349394,33.8948
77,2.9496141,33.911
78,2.9643622,33.9811
79,2.979184,33.9974
80,2.9940799,34.014
81,3.0090503,34.0286
82,3.0240956,34.0413
83,3.0392161,34.0534
84,3.0544122,34.0649
85,3.0696842,34.0758
86,3.0850326,34.0862
87,3.1004578,34.0961
88,3.1159601,34.1055
89,3.1315399,34.1144
90,3.1471976,34.1229
91,3.1629336,34.131
92,3.1787482,34.1387
93,3.194642,34.146
94,3.2106152,34.1529
95,3.2266683,34.1594
96,3.2428016,34.1657
97,3.2590156,34.1715
98,3.2753107,34.1771
99,3.2916873,34.1824
100,3.3081457,34.2289
101,3.3246864,34.2338
102,3.3413099,34.2383
103,3.3580164,34.2424
104,3.3748065,34.2462
105,3.3916805,34.2496
106,3.4086389,34.2527
107,3.4256821,34.2555
108,3.4428105,34.258
109,3.4600246,34.2602
110,3.4773247,34.2621
111,3.4947113,34.2637
112,3.5121849,34.2651
113,3.5297458,34.2662
114,3.5473945,34.2671
115,3.5651315,34.2678
116,3.5829572,34.2682
117,3.6008719,34.2684
118,3.6188763,34.2684
119,3.6369707,34.2682
120,3.6551555,34.2678
121,3.6734313,34.2671
122,3.6917985,34.2663
123,3.7102575,34.2654
124,3.7288088,34.2642
125,3.7474528,34.2629
126,3.7661901,34.2614
127,3.785021,34.2597
128,3.8039461,34.2579
129,3.8229659,34.2559
130,3.8420807,34.2538
131,3.8612911,34.2516
132,3.8805975,34.2492
133,3.9000005,34.2466
134,3.9195005,34.244
135,3.939098,34.2412
136,3.9587935,34.2382
137,3.9785875,34.2352
138,3.9984804,34.232
139,4.0184728,34.2288
140,4.0385652,34.2254
141,4.058758,34.2219
142,4.0790518,34.2183
143,4.0994471,34.2146
144,4.1199443,34.2108
145,4.140544,34.2069
146,4.1612467,34.2029
147,4.182053,34.1989
148,4.2029632,34.1947
149,4.2239781,34.1905
150,4.245098,34.1861
151,4.2663234,34.1817
152,4.2876551,34.1772
153,4.3090933,34.1727
154,4.3306388,34.168
155,4.352292,34.1633
156,4.3740535,34.1586
157,4.3959237,34.1537
158,4.4179033,34.1488
159,4.4399929,34.1438
160,4.4621928,34.1388
161,4.4845038,34.1337
162,4.5069263,34.1285
163,4.5294609,34.1233
164,4.5521082,34.118
165,4.5748688,34.1127
166,4.5977431,34.1073
167,4.6207318,34.1018
168,4.6438355,34.0963
169,4.6670547,34.0908
170,4.69039,34.0852
171,4.7138419,34.0795
172,4.7374111,34.0738
173,4.7610982,34.0681
174,4.7849037,34.0623
175,4.8088282,34.0565
176,4.8328723,34.0507
177,4.8570367,34.0448
178,4.8813219,34.0389
179,4.9057285,34.0329
180,4.9302571,34.0269
181,4.9549084,34.0209
182,4.9796829,34.0148
183,5.0045814,34.0087
184,5.0296043,34.0026
185,5.0547523,33.9964
186,5.080026,33.9903
187,5.1054262,33.9841
188,5.1309533,33.9778
189,5.1566081,33.9716
190,5.1823911,33.9653
191,5.2083031,33.959
192,5.2343446,33.9527
193,5.2605163,33.9463
194,5.2868189,33.94
195,5.313253,33.9336
196,5.3398192,33.9272
197,5.3665183,33.9207
198,5.3933509,33.9143
199,5.4203177,33.9078
200,5.4474193,33.9014
201,5.4746564,33.8949
202,5.5020297,33.8884
203,5.5295398,33.8819
204,5.5571875,33.8753
205,5.5849734,33.8688
206,5.6128983,33.8623
207,5.6409628,33.8557
208,5.6691676,33.8491
209,5.6975135,33.8425
210,5.726001,33.8359
211,5.754631,33.8293
212,5.7834042,33.8227
213,5.8123212,33.8161
214,5.8413828,33.8095
215,5.8705897,33.8029
216,5.8999427,33.7963
217,5.9294424,33.7896
218,5.9590896,33.783
219,5.988885,33.7764
220,6.0188295,33.7697
221,6.0489236,33.7631
222,6.0791682,33.7565
223,6.1095641,33.7498
224,6.1401119,33.7432
225,6.1708125,33.7366
226,6.2016665,33.7299
227,6.2326749,33.7233
228,6.2638382,33.7167
229,6.2951574,33.71
230,6.3266332,33.7033
231,6.3582664,33.6966
232,6.3900577,33.6898
233,6.422008,33.683
234,6.454118,33.6761
235,6.4863886,33.6692
236,6.5188206,33.6622
237,6.5514147,33.6552
238,6.5841717,33.6482
239,6.915365,33.5926
240,7.392525,33.4882
241,7.902609,33.3744
242,8.44789,33.2495
243,9.030794,33.1131
244,9.653919,32.9468
245,10.32004,32.7281
246,11.03212,32.4168
247,11.79334,31.8669
248,12.40464,30.7234
249,12.60708,29.1062
250,12.64514,27.6562
251,12.72109,29.3734
252,12.91096,30.9258
253,13.47697,32.2506
254,14.40688,33.0616
255,15.40095,33.5009
256,16.46362,33.7958
257,17.59961,34.0028
258,18.81398,34.1433
259,20.11215,34.2391
260,21.49988,34.3029
261,22.98338,34.3439
262,24.56923,34.3689
263,26.2645,34.4192
264,28.07676,34.4238
265,30.01405,34.4171
266,32.08502,34.4042
267,34.29889,34.3873
268,36.66551,34.368
269,39.19543,34.3473
270,41.89992,34.326
271,44.79101,34.3046
272,47.88159,34.2837
273,51.18542,34.2635
274,54.71721,34.2444
275,58.4927,34.2261
276,62.5287,34.2081
277,66.84318,34.191
278,71.45536,34.1749
279,76.38578,34.1598
280,81.6564,34.1459
281,87.29069,34.1328
282,93.31374,34.1207
283,99.75239,34.1094
284,106.6353,34.099
285,113.9931,34.0895
286,121.8587,34.0808
287,130.2669,34.0729
288,139.2553,34.0657
289,148.864,34.0591
290,159.1356,34.0531
291,170.1159,34.0477
292,181.8539,34.0429
293,194.4018,34.0385
294,207.8156,34.0345
295,222.1548,34.0309
296,237.4835,34.0277
297,253.8699,34.0248
298,271.3869,34.0221
299,290.1126,34.0198
300,310.1304,34.0177
301,331.5294,34.0158
302,354.4049,34.0141
303,378.8588,34.0126
304,405.0001,34.0112
305,432.9451,34.01
