,keV,f1
0,2.0089931,30.5691
1,2.0190381,30.6852
2,2.0291333,30.7978
3,2.039279,30.907
4,2.0494754,31.0132
5,2.0597227,31.1164
6,2.0700213,31.2169
7,2.0803714,31.3147
8,2.0907733,31.4098
9,2.1012272,31.5023
10,2.1117333,31.5922
11,2.122292,31.6798
12,2.1329034,31.765
13,2.143568,31.8481
14,2.1542858,31.9291
15,2.1650572,32.0081
16,2.1758825,32.0851
17,2.1867619,32.1603
18,2.1976957,32.2336
19,2.2086842,32.3052
20,2.2197276,32.3752
21,2.2308263,32.4435
22,2.2419804,32.5103
23,2.2531903,32.5755
24,2.2644562,32.6394
25,2.2757785,32.7018
26,2.2871574,32.7629
27,2.2985932,32.8227
28,2.3100862,32.8814
29,2.3216366,32.9389
30,2.3332448,32.9949
31,2.344911,33.0495
32,2.3566356,33.1028
33,2.3684187,33.1548
34,2.3802608,33.2056
35,2.3921621,33.2552
36,2.404123,33.3037
37,2.4161436,33.351
38,2.4282243,33.3972
39,2.4403654,33.4424
40,2.4525672,33.4866
41,2.4648301,33.5297
42,2.4771542,33.5719
43,2.48954,33.6131
44,2.5019877,33.6534
45,2.5144976,33.6928
46,2.5270701,33.7314
47,2.5397055,33.769
48,2.552404,33.8059
49,2.565166,33.8419
50,2.5779919,33.8771
51,2.5908818,33.9116
52,2.6038362,33.9453
53,2.6168554,33.9783
54,2.6299397,34.0105
55,2.6430894,34.0421
56,2.6563048,34.073
57,2.6695863,34.1032
58,2.6829343,34.1328
59,2.6963489,34.1617
60,2.7098307,34.19
61,2.7233798,34.2177
62,2.7369967,34.2449
63,2.7506817,34.2715
64,2.7644351,34.2975
65,2.7782573,34.323
66,2.7921486,34.348
67,2.8061093,34.3725
68,2.8201399,34.3964
69,2.8342406,34.42
70,2.8484118,34.4431
71,2.8626539,34.4657
72,2.8769671,34.4879
73,2.891352,34.5098
74,2.9058087,34.5312
75,2.9203378,34.5523
76,2.9349394,34.5731
77,2.9496141,34.5937
78,2.9643622,34.6139
79,2.979184,34.6341
80,2.9940799,34.6541
81,3.0090503,34.6779
82,3.0240956,34.7003
83,3.0392161,34.7205
84,3.0544122,34.7395
85,3.0696842,34.7576
86,3.0850326,34.7751
87,3.1004578,34.8925
88,3.1159601,34.9089
89,3.1315399,34.9247
90,3.1471976,34.9397
91,3.1629336,34.9542
92,3.1787482,34.9681
93,3.194642,35.0325
94,3.2106152,35.0453
95,3.2266683,35.0576
96,3.2428016,35.0692
97,3.2590156,35.0803
98,3.2753107,35.0908
99,3.2916873,35.1008
100,3.3081457,35.1104
101,3.3246864,35.1195
102,3.3413099,35.1282
103,3.3580164,35.1365
104,3.3748065,35.1443
105,3.3916805,35.1518
106,3.4086389,35.159
107,3.4256821,35.1658
108,3.4428105,35.1722
109,3.4600246,35.1783
110,3.4773247,35.1841
111,3.4947113,35.1896
112,3.5121849,35.1948
113,3.5297458,35.1998
114,3.5473945,35.2045
115,3.5651315,35.2495
116,3.5829572,35.2539
117,3.6008719,35.2579
118,3.6188763,35.2616
119,3.6369707,35.2649
120,3.6551555,35.2678
121,3.6734313,35.2705
122,3.6917985,35.2728
123,3.7102575,35.2749
124,3.7288088,35.2767
125,3.7474528,35.2782
126,3.7661901,35.2794
127,3.785021,35.2804
128,3.8039461,35.2812
129,3.8229659,35.2817
130,3.8420807,35.282
131,3.8612911,35.2821
132,3.8805975,35.2819
133,3.9000005,35.2816
134,3.9195005,35.281
135,3.939098,35.2803
136,3.9587935,35.2794
137,3.9785875,35.2783
138,3.9984804,35.277
139,4.0184728,35.2755
140,4.0385652,35.2739
141,4.058758,35.2722
142,4.0790518,35.2702
143,4.0994471,35.2681
144,4.1199443,35.2659
145,4.140544,35.2635
146,4.1612467,35.261
147,4.182053,35.2584
148,4.2029632,35.2556
149,4.2239781,35.2527
150,4.245098,35.2497
151,4.2663234,35.2466
152,4.2876551,35.2433
153,4.3090933,35.2399
154,4.3306388,35.2364
155,4.352292,35.2329
156,4.3740535,35.2292
157,4.3959237,35.2254
158,4.4179033,35.2215
159,4.4399929,35.2175
160,4.4621928,35.2134
161,4.4845038,35.2093
162,4.5069263,35.205
163,4.5294609,35.2007
164,4.5521082,35.1963
165,4.5748688,35.1918
166,4.5977431,35.1872
167,4.6207318,35.1826
168,4.6438355,35.1779
169,4.6670547,35.1731
170,4.69039,35.1682
171,4.7138419,35.1633
172,4.7374111,35.1583
173,4.7610982,35.1533
174,4.7849037,35.1482
175,4.8088282,35.143
176,4.8328723,35.1378
177,4.8570367,35.1325
178,4.8813219,35.1272
179,4.9057285,35.1218
180,4.9302571,35.1164
181,4.9549084,35.1109
182,4.9796829,35.1053
183,5.0045814,35.0997
184,5.0296043,35.0941
185,5.0547523,35.0884
186,5.080026,35.0826
187,5.1054262,35.0769
188,5.1309533,35.0711
189,5.1566081,35.0652
190,5.1823911,35.0593
191,5.2083031,35.0534
192,5.2343446,35.0474
193,5.2605163,35.0414
194,5.2868189,35.0353
195,5.313253,35.0293
196,5.3398192,35.0232
197,5.3665183,35.017
198,5.3933509,35.0109
199,5.4203177,35.0047
200,5.4474193,34.9984
201,5.4746564,34.9922
202,5.5020297,34.9859
203,5.5295398,34.9796
204,5.5571875,34.9733
205,5.5849734,34.9669
206,5.6128983,34.9606
207,5.6409628,34.9542
208,5.6691676,34.9478
209,5.6975135,34.9413
210,5.726001,34.9349
211,5.754631,34.9284
212,5.7834042,34.9219
213,5.8123212,34.9154
214,5.8413828,34.9089
215,5.8705897,34.9024
216,5.8999427,34.8958
217,5.9294424,34.8892
218,5.9590896,34.8827
219,5.988885,34.8761
220,6.0188295,34.8695
221,6.0489236,34.8629
222,6.0791682,34.8562
223,6.1095641,34.8496
224,6.1401119,34.843
225,6.1708125,34.8363
226,6.2016665,34.8297
227,6.2326749,34.823
228,6.2638382,34.8163
229,6.2951574,34.8096
230,6.3266332,34.8029
231,6.3582664,34.7963
232,6.3900577,34.7896
233,6.422008,34.7829
234,6.454118,34.7762
235,6.4863886,34.7695
236,6.5188206,34.7628
237,6.5514147,34.7561
238,6.5841717,34.7494
239,6.915365,34.6965
240,7.392525,34.5988
241,7.902609,34.4956
242,8.44789,34.3844
243,9.030794,34.2667
244,9.653919,34.1242
245,10.32004,33.9494
246,11.03212,33.7255
247,11.79334,33.4058
248,12.60708,32.8304
249,13.20423,31.7466
250,13.40633,30.3664
251,13.46023,28.7
252,13.47697,27.1626
253,13.54107,30.4042
254,13.74317,31.945
255,14.40688,33.3364
256,15.40095,34.1052
257,16.46362,34.5298
258,17.59961,34.8171
259,18.81398,35.0169
260,20.11215,35.1527
261,21.49988,35.2451
262,22.98338,35.3066
263,24.56923,35.3461
264,26.2645,35.3706
265,28.07676,35.4243
266,30.01405,35.4242
267,32.08502,35.4156
268,34.29889,35.4016
269,36.66551,35.3841
270,39.19543,35.3646
271,41.89992,35.3438
272,44.79101,35.3225
273,47.88159,35.3012
274,51.18542,35.2804
275,54.71721,35.2604
276,58.4927,35.2416
277,62.5287,35.2234
278,66.84318,35.2057
279,71.45536,35.1888
280,76.38578,35.1728
281,81.6564,35.158
282,87.29069,35.1442
283,93.31374,35.1312
284,99.75239,35.1191
285,106.6353,35.108
286,113.9931,35.0977
287,121.8587,35.0883
288,130.2669,35.0798
289,139.2553,35.0719
290,148.864,35.0648
291,159.1356,35.0583
292,170.1159,35.0524
293,181.8539,35.0471
294,194.4018,35.0423
295,207.8156,35.038
296,222.1548,35.034
297,237.4835,35.0305
298,253.8699,35.0273
299,271.3869,35.0245
300,290.1126,35.0219
301,310.1304,35.0196
302,331.5294,35.0175
303,354.4049,35.0156
304,378.8588,35.0139
305,405.0001,35.0124
306,432.9451,35.0111
