,keV,f1
0,2.0089931,29.3165
1,2.0190381,29.5207
2,2.0291333,29.7142
3,2.039279,29.8985
4,2.0494754,30.0744
5,2.0597227,30.2428
6,2.0700213,30.4043
7,2.0803714,30.5596
8,2.0907733,30.7091
9,2.1012272,30.8532
10,2.1117333,30.9923
11,2.122292,31.1269
12,2.1329034,31.2571
13,2.143568,31.3834
14,2.1542858,31.5059
15,2.1650572,31.6249
16,2.1758825,31.7407
17,2.1867619,31.8532
18,2.1976957,31.9623
19,2.2086842,32.0683
20,2.2197276,32.1713
21,2.2308263,32.2715
22,2.2419804,32.369
23,2.2531903,32.464
24,2.2644562,32.5564
25,2.2757785,32.6462
26,2.2871574,32.7336
27,2.2985932,32.8188
28,2.3100862,32.9017
29,2.3216366,32.9825
30,2.3332448,33.0613
31,2.344911,33.1382
32,2.3566356,33.2132
33,2.3684187,33.2864
34,2.3802608,33.3578
35,2.3921621,33.4275
36,2.404123,33.4957
37,2.4161436,33.5622
38,2.4282243,33.6273
39,2.4403654,33.6909
40,2.4525672,33.7531
41,2.4648301,33.814
42,2.4771542,33.8736
43,2.48954,33.932
44,2.5019877,33.9892
45,2.5144976,34.0449
46,2.5270701,34.0993
47,2.5397055,34.1524
48,2.552404,34.2042
49,2.565166,34.2548
50,2.5779919,34.3042
51,2.5908818,34.3525
52,2.6038362,34.3997
53,2.6168554,34.4457
54,2.6299397,34.4908
55,2.6430894,34.5348
56,2.6563048,34.5779
57,2.6695863,34.62
58,2.6829343,34.6611
59,2.6963489,34.7014
60,2.7098307,34.7408
61,2.7233798,34.7793
62,2.7369967,34.817
63,2.7506817,34.8539
64,2.7644351,34.89
65,2.7782573,34.9253
66,2.7921486,34.96
67,2.8061093,34.9939
68,2.8201399,35.0271
69,2.8342406,35.0597
70,2.8484118,35.0917
71,2.8626539,35.123
72,2.8769671,35.1538
73,2.891352,35.1841
74,2.9058087,35.2139
75,2.9203378,35.2433
76,2.9349394,35.2723
77,2.9496141,35.3012
78,2.9643622,35.3301
79,2.979184,35.3594
80,2.9940799,35.3902
81,3.0090503,35.4225
82,3.0240956,35.4522
83,3.0392161,35.48
84,3.0544122,35.5064
85,3.0696842,35.5316
86,3.0850326,35.5558
87,3.1004578,35.579
88,3.1159601,35.6013
89,3.1315399,35.6229
90,3.1471976,35.6438
91,3.1629336,35.664
92,3.1787482,35.6836
93,3.194642,35.7026
94,3.2106152,35.7211
95,3.2266683,35.739
96,3.2428016,35.7565
97,3.2590156,35.7734
98,3.2753107,35.7899
99,3.2916873,35.806
100,3.3081457,35.8217
101,3.3246864,35.837
102,3.3413099,35.8519
103,3.3580164,35.9671
104,3.3748065,35.9811
105,3.3916805,35.9946
106,3.4086389,36.0076
107,3.4256821,36.02
108,3.4428105,36.0319
109,3.4600246,36.094
110,3.4773247,36.105
111,3.4947113,36.1154
112,3.5121849,36.1254
113,3.5297458,36.1348
114,3.5473945,36.1437
115,3.5651315,36.1523
116,3.5829572,36.1603
117,3.6008719,36.168
118,3.6188763,36.1753
119,3.6369707,36.1822
120,3.6551555,36.1888
121,3.6734313,36.195
122,3.6917985,36.201
123,3.7102575,36.2066
124,3.7288088,36.2119
125,3.7474528,36.2169
126,3.7661901,36.2216
127,3.785021,36.2261
128,3.8039461,36.2304
129,3.8229659,36.2344
130,3.8420807,36.2807
131,3.8612911,36.2845
132,3.8805975,36.288
133,3.9000005,36.2911
134,3.9195005,36.2939
135,3.939098,36.2964
136,3.9587935,36.2986
137,3.9785875,36.3005
138,3.9984804,36.3022
139,4.0184728,36.3036
140,4.0385652,36.3047
141,4.058758,36.3056
142,4.0790518,36.3063
143,4.0994471,36.3067
144,4.1199443,36.3069
145,4.140544,36.3068
146,4.1612467,36.3066
147,4.182053,36.3062
148,4.2029632,36.3055
149,4.2239781,36.3047
150,4.245098,36.3037
151,4.2663234,36.3024
152,4.2876551,36.301
153,4.3090933,36.2995
154,4.3306388,36.2977
155,4.352292,36.2958
156,4.3740535,36.2938
157,4.3959237,36.2916
158,4.4179033,36.2892
159,4.4399929,36.2867
160,4.4621928,36.2841
161,4.4845038,36.2813
162,4.5069263,36.2784
163,4.5294609,36.2753
164,4.5521082,36.2722
165,4.5748688,36.2689
166,4.5977431,36.2655
167,4.6207318,36.2619
168,4.6438355,36.2583
169,4.6670547,36.2546
170,4.69039,36.2507
171,4.7138419,36.2468
172,4.7374111,36.2428
173,4.7610982,36.2386
174,4.7849037,36.2344
175,4.8088282,36.2301
176,4.8328723,36.2257
177,4.8570367,36.2212
178,4.8813219,36.2166
179,4.9057285,36.212
180,4.9302571,36.2072
181,4.9549084,36.2024
182,4.9796829,36.1976
183,5.0045814,36.1926
184,5.0296043,36.1876
185,5.0547523,36.1825
186,5.080026,36.1774
187,5.1054262,36.1722
188,5.1309533,36.1669
189,5.1566081,36.1616
190,5.1823911,36.1562
191,5.2083031,36.1508
192,5.2343446,36.1453
193,5.2605163,36.1398
194,5.2868189,36.1342
195,5.313253,36.1285
196,5.3398192,36.1228
197,5.3665183,36.1171
198,5.3933509,36.1113
199,5.4203177,36.1055
200,5.4474193,36.0997
201,5.4746564,36.0938
202,5.5020297,36.0878
203,5.5295398,36.0819
204,5.5571875,36.0758
205,5.5849734,36.0698
206,5.6128983,36.0637
207,5.6409628,36.0575
208,5.6691676,36.0514
209,5.6975135,36.0452
210,5.726001,36.0389
211,5.754631,36.0327
212,5.7834042,36.0264
213,5.8123212,36.0201
214,5.8413828,36.0137
215,5.8705897,36.0073
216,5.8999427,36.0009
217,5.9294424,35.9945
218,5.9590896,35.988
219,5.988885,35.9816
220,6.0188295,35.9751
221,6.0489236,35.9685
222,6.0791682,35.962
223,6.1095641,35.9554
224,6.1401119,35.9488
225,6.1708125,35.9422
226,6.2016665,35.9356
227,6.2326749,35.929
228,6.2638382,35.9223
229,6.2951574,35.9157
230,6.3266332,35.909
231,6.3582664,35.9023
232,6.3900577,35.8956
233,6.422008,35.8889
234,6.454118,35.8821
235,6.4863886,35.8754
236,6.5188206,35.8686
237,6.5514147,35.8618
238,6.5841717,35.8551
239,6.915365,35.7984
240,7.392525,35.7052
241,7.902609,35.6076
242,8.44789,35.5052
243,9.030794,35.4026
244,9.653919,35.2769
245,10.32004,35.1272
246,11.03212,34.9475
247,11.79334,34.7178
248,12.60708,34.3871
249,13.47697,33.7744
250,14.03909,32.7699
251,14.25397,31.3987
252,14.31127,29.7438
253,14.40688,31.5725
254,14.61211,32.9645
255,15.40095,34.4353
256,16.46362,35.1565
257,17.59961,35.5643
258,18.81398,35.8418
259,20.11215,36.0333
260,21.49988,36.1637
261,22.98338,36.2526
262,24.56923,36.3124
263,26.2645,36.3531
264,28.07676,36.3793
265,30.01405,36.4257
266,32.08502,36.4237
