,keV,f1
0,2.080733,3.01553
1,2.224304,3.01387
2,2.377781,3.01238
3,2.541848,3.01105
4,2.717235,3.00986
5,2.904724,3.00881
6,3.10515,3.00786
7,3.319406,3.00699
8,3.548445,3.00621
9,3.793288,3.00552
10,4.055024,3.0049
11,4.334821,3.00435
12,4.633924,3.00385
13,4.953664,3.00341
14,5.295467,3.00302
15,5.660855,3.00268
16,6.051453,3.00237
17,6.469004,3.0021
18,6.915365,3.00186
19,7.392525,3.00164
20,7.902609,3.00145
21,8.44789,3.00128
22,9.030794,3.00113
23,9.653919,3.001
24,10.32004,3.00088
25,11.03212,3.00078
26,11.79334,3.00069
27,12.60708,3.00061
28,13.47697,3.00053
29,14.40688,3.00047
30,15.40095,3.00042
31,16.46362,3.00037
32,17.59961,3.00032
33,18.81398,3.00028
34,20.11215,3.00025
35,21.49988,3.00022
36,22.98338,3.00019
37,24.56923,3.00017
38,26.2645,3.00015
39,28.07676,3.00013
40,30.01405,3.00012
41,32.08502,3.0001
42,34.29889,3.00009
43,36.66551,3.00008
44,39.19543,3.00007
45,41.89992,3.00006
46,44.79101,3.00005
47,47.88159,3.00005
48,51.18542,3.00004
49,54.71721,3.00004
50,58.4927,3.00003
51,62.5287,3.00003
52,66.84318,3.00002
53,71.45536,3.00002
54,76.38578,3.00002
55,81.6564,3.00002
56,87.29069,3.00001
57,93.31374,3.00001
58,99.75239,3.00001
59,106.6353,3.00001
60,113.9931,3.00001
61,121.8587,3.00001
62,130.2669,3.00001
63,139.2553,3.00001
64,148.864,3.00001
65,159.1356,3.0
66,170.1159,3.0
67,181.8539,3.0
68,194.4018,3.0
69,207.8156,3.0
70,222.1548,3.0
71,237.4835,3.0
72,253.8699,3.0
73,271.3869,3.0
74,290.1126,3.0
75,310.1304,3.0
76,331.5294,3.0
77,354.4049,3.0
78,378.8588,3.0
79,405.0001,3.0
80,432.9451,3.0
