,keV,f1
0,2.080733,28.4688
1,2.177854,25.0258
2,2.211189,21.0778
3,2.220078,16.6305
4,2.224304,16.201
5,2.233412,20.8476
6,2.260566,23.823
7,2.266746,24.0772
8,2.295166,23.9079
9,2.304393,22.1098
10,2.318233,24.7235
11,2.352834,27.5108
12,2.377781,28.5758
13,2.480968,30.7315
14,2.518942,30.5892
15,2.529068,29.784
16,2.541848,30.8105
17,2.544258,30.9762
18,2.582232,32.3607
19,2.717235,34.5926
20,2.904724,36.3503
21,3.10515,37.5776
22,3.319406,38.4098
23,3.548445,38.9875
24,3.793288,39.3928
25,4.055024,39.6799
26,4.334821,39.8855
27,4.633924,40.1747
28,4.953664,40.2531
29,5.295467,40.322
30,5.660855,40.311
31,6.051453,40.2733
32,6.469004,40.2179
33,6.915365,40.1495
34,7.392525,40.0724
35,7.902609,39.9904
36,8.44789,39.9071
37,9.030794,39.8312
38,9.653919,39.7383
39,10.32004,39.6345
40,11.03212,39.5203
41,11.79334,39.3936
42,12.60708,39.2506
43,13.47697,39.0847
44,14.40688,38.8813
45,15.40095,38.6073
46,16.46362,38.1655
47,17.59961,36.9666
48,17.63765,36.873
49,17.90761,35.5375
50,17.9796,33.9278
51,18.08759,35.5694
52,18.35755,37.0539
53,18.81398,37.9492
54,20.11215,38.9585
55,21.49988,39.4548
56,22.98338,39.7696
57,24.56923,39.9873
58,26.2645,40.1362
59,28.07676,40.2404
60,30.01405,40.3063
61,32.08502,40.3483
62,34.29889,40.3736
63,36.66551,40.4228
64,39.19543,40.4242
65,41.89992,40.4164
66,44.79101,40.4028
67,47.88159,40.3857
68,51.18542,40.3663
69,54.71721,40.3456
70,58.4927,40.3244
71,62.5287,40.3032
72,66.84318,40.2823
73,71.45536,40.2622
74,76.38578,40.2432
75,81.6564,40.2252
76,87.29069,40.2075
77,93.31374,40.1904
78,99.75239,40.1742
79,106.6353,40.159
80,113.9931,40.1449
81,121.8587,40.1318
82,130.2669,40.1196
83,139.2553,40.1085
84,148.864,40.0982
85,159.1356,40.0888
86,170.1159,40.0803
87,181.8539,40.0724
88,194.4018,40.0653
89,207.8156,40.0588
90,222.1548,40.053
91,237.4835,40.0477
92,253.8699,40.0428
93,271.3869,40.0385
94,290.1126,40.0346
95,310.1304,40.031
96,331.5294,40.0278
97,354.4049,40.0249
98,378.8588,40.0223
99,405.0001,40.02
100,432.9451,40.0179
