,keV,f1
0,2.080733,31.5783
1,2.224304,29.5666
2,2.32309,26.27
3,2.358648,22.3765
4,2.36813,17.9815
5,2.377781,20.8709
6,2.382353,22.1655
7,2.415406,25.3224
8,2.41791,25.4136
9,2.452376,25.2771
10,2.462235,23.4796
11,2.477023,26.045
12,2.513994,28.7649
13,2.541848,29.8378
14,2.643746,31.7857
15,2.684212,31.6513
16,2.695002,30.8499
17,2.711189,32.0413
18,2.717235,32.3528
19,2.751654,33.4274
20,2.904724,35.7728
21,3.10515,37.5651
22,3.319406,38.7342
23,3.548445,39.5227
24,3.793288,40.0708
25,4.055024,40.4564
26,4.334821,40.7284
27,4.633924,40.9221
28,4.953664,41.1966
29,5.295467,41.2671
30,5.660855,41.3296
31,6.051453,41.3149
32,6.469004,41.275
33,6.915365,41.2187
34,7.392525,41.1509
35,7.902609,41.0753
36,8.44789,40.9963
37,9.030794,40.9235
38,9.653919,40.8335
39,10.32004,40.7336
40,11.03212,40.626
41,11.79334,40.509
42,12.60708,40.3794
43,13.47697,40.2325
44,14.40688,40.061
45,15.40095,39.8477
46,16.46362,39.5528
47,17.59961,39.0503
48,18.60589,37.8959
49,18.81398,37.1442
50,18.89067,36.5692
51,18.96661,34.9713
52,19.08053,36.5985
53,19.36531,38.0702
54,20.11215,39.2483
55,21.49988,40.0917
56,22.98338,40.54
57,24.56923,40.8303
58,26.2645,41.0302
59,28.07676,41.1681
60,30.01405,41.2581
61,32.08502,41.3169
62,34.29889,41.354
63,36.66551,41.3762
64,39.19543,41.4228
65,41.89992,41.4217
66,44.79101,41.4125
67,47.88159,41.3981
68,51.18542,41.3804
69,54.71721,41.3607
70,58.4927,41.3401
71,62.5287,41.3189
72,66.84318,41.2979
73,71.45536,41.2773
74,76.38578,41.2575
75,81.6564,41.2389
76,87.29069,41.2208
77,93.31374,41.2031
78,99.75239,41.1862
79,106.6353,41.1703
80,113.9931,41.1553
81,121.8587,41.1415
82,130.2669,41.1286
83,139.2553,41.1167
84,148.864,41.1058
85,159.1356,41.0958
86,170.1159,41.0866
87,181.8539,41.0783
88,194.4018,41.0706
89,207.8156,41.0637
90,222.1548,41.0574
91,237.4835,41.0517
92,253.8699,41.0465
93,271.3869,41.0418
94,290.1126,41.0375
95,310.1304,41.0337
96,331.5294,41.0303
97,354.4049,41.0271
98,378.8588,41.0243
99,405.0001,41.0218
100,432.9451,41.0195
