,keV,f1
0,2.080733,33.734
1,2.224304,32.6163
2,2.377781,30.5017
3,2.469796,27.5231
4,2.507599,23.709
5,2.51768,19.403
6,2.532801,23.5006
7,2.541848,24.869
8,2.572598,26.7832
9,2.611974,26.6161
10,2.622475,24.8332
11,2.638225,27.332
12,2.677602,29.9784
13,2.717235,31.2991
14,2.80819,32.83
15,2.851172,32.718
16,2.862634,31.9251
17,2.879827,33.1218
18,2.904724,34.0687
19,2.92281,34.5276
20,3.10515,37.1639
21,3.319406,38.8104
22,3.548445,39.9027
23,3.793288,40.642
24,4.055024,41.1562
25,4.334821,41.5188
26,4.633924,41.7742
27,4.953664,41.9551
28,5.295467,42.2145
29,5.660855,42.276
30,6.051453,42.3318
31,6.469004,42.3136
32,6.915365,42.2721
33,7.392525,42.2157
34,7.902609,42.1495
35,8.44789,42.0778
36,9.030794,42.0075
37,9.653919,41.9204
38,10.32004,41.8235
39,11.03212,41.7208
40,11.79334,41.611
41,12.60708,41.4919
42,13.47697,41.3594
43,14.40688,41.2086
44,15.40095,41.0305
45,16.46362,40.8051
46,17.59961,40.4829
47,18.81398,39.8893
48,19.59951,38.9193
49,19.8995,37.6005
50,19.9795,36.0126
51,20.11215,37.7527
52,20.39949,39.0911
53,21.49988,40.5117
54,22.98338,41.2203
55,24.56923,41.6227
56,26.2645,41.8901
57,28.07676,42.0745
58,30.01405,42.1944
59,32.08502,42.2738
60,34.29889,42.3257
61,36.66551,42.3582
62,39.19543,42.3775
63,41.89992,42.421
64,44.79101,42.4178
65,47.88159,42.4073
66,51.18542,42.3921
67,54.71721,42.3741
68,58.4927,42.3543
69,62.5287,42.3337
70,66.84318,42.3128
71,71.45536,42.292
72,76.38578,42.2718
73,81.6564,42.2527
74,87.29069,42.2342
75,93.31374,42.216
76,99.75239,42.1984
77,106.6353,42.1817
78,113.9931,42.166
79,121.8587,42.1514
80,130.2669,42.1378
81,139.2553,42.1253
82,148.864,42.1137
83,159.1356,42.103
84,170.1159,42.0933
85,181.8539,42.0843
86,194.4018,42.0762
87,207.8156,42.0688
88,222.1548,42.062
89,237.4835,42.0559
90,253.8699,42.0503
91,271.3869,42.0453
92,290.1126,42.0407
93,310.1304,42.0366
94,331.5294,42.0328
95,354.4049,42.0295
96,378.8588,42.0264
97,405.0001,42.0237
98,432.9451,42.0212
