,keV,f1
0,2.080733,35.5373
1,2.224304,34.7971
2,2.377781,33.6483
3,2.541848,31.3904
4,2.623362,28.7881
5,2.663515,25.0323
6,2.674223,20.7808
7,2.690284,24.844
8,2.717235,27.5114
9,2.730438,28.0698
10,2.737336,28.2666
11,2.779234,28.0038
12,2.790407,26.2259
13,2.807166,28.6758
14,2.849064,31.257
15,2.904724,32.8473
16,2.98165,33.965
17,3.027288,33.8793
18,3.039458,33.0922
19,3.057713,34.2883
20,3.10515,35.7277
21,3.319406,38.4624
22,3.548445,39.9967
23,3.793288,41.0105
24,4.055024,41.7156
25,4.334821,42.2095
26,4.633924,42.5576
27,4.953664,42.803
28,5.295467,42.9757
29,5.660855,43.223
30,6.051453,43.2768
31,6.469004,43.3256
32,6.915365,43.3043
33,7.392525,43.2619
34,7.902609,43.2061
35,8.44789,43.1423
36,9.030794,43.0782
37,9.653919,43.0003
38,10.32004,42.9078
39,11.03212,42.808
40,11.79334,42.7034
41,12.60708,42.5915
42,13.47697,42.4704
43,14.40688,42.3348
44,15.40095,42.1793
45,16.46362,41.9933
46,17.59961,41.7525
47,18.81398,41.3935
48,20.11215,40.6536
49,20.62312,39.9411
50,20.93878,38.6303
51,21.02296,37.0523
52,21.14922,38.6579
53,21.46488,40.11
54,21.49988,40.1953
55,22.98338,41.7384
56,24.56923,42.3426
57,26.2645,42.7056
58,28.07676,42.952
59,30.01405,43.1118
60,32.08502,43.218
61,34.29889,43.2885
62,36.66551,43.3341
63,39.19543,43.3624
64,41.89992,43.3789
65,44.79101,43.4189
66,47.88159,43.4135
67,51.18542,43.4018
68,54.71721,43.3859
69,58.4927,43.3675
70,62.5287,43.3477
71,66.84318,43.3271
72,71.45536,43.3064
73,76.38578,43.286
74,81.6564,43.2669
75,87.29069,43.2479
76,93.31374,43.2291
77,99.75239,43.2109
78,106.6353,43.1935
79,113.9931,43.1771
80,121.8587,43.1617
81,130.2669,43.1474
82,139.2553,43.1342
83,148.864,43.1219
84,159.1356,43.1106
85,170.1159,43.1002
86,181.8539,43.0907
87,194.4018,43.082
88,207.8156,43.0741
89,222.1548,43.0669
90,237.4835,43.0603
91,253.8699,43.0543
92,271.3869,43.0489
93,290.1126,43.044
94,310.1304,43.0396
95,331.5294,43.0356
96,354.4049,43.0319
97,378.8588,43.0287
98,405.0001,43.0257
99,432.9451,43.023
