,keV,f1
0,2.080733,37.2619
1,2.224304,36.7266
2,2.377781,35.9697
3,2.541848,34.7747
4,2.717235,32.2942
5,2.781142,30.2369
6,2.82371,26.5904
7,2.835062,22.4727
8,2.852089,26.378
9,2.894658,29.5073
10,2.904724,29.7685
11,2.907562,29.8248
12,2.952066,29.449
13,2.963933,27.6815
14,2.981735,29.9606
15,3.026238,32.7712
16,3.10515,34.9892
17,3.15952,35.6507
18,3.20788,35.5236
19,3.220776,34.7222
20,3.24012,35.884
21,3.28848,37.1842
22,3.319406,37.6671
23,3.548445,39.5868
24,3.793288,40.8496
25,4.055024,42.0086
26,4.334821,42.7363
27,4.633924,43.2299
28,4.953664,43.573
29,5.295467,43.8127
30,5.660855,43.9808
31,6.051453,44.2178
32,6.469004,44.3028
33,6.915365,44.3118
34,7.392525,44.29
35,7.902609,44.2488
36,8.44789,44.1964
37,9.030794,44.1479
38,9.653919,44.0745
39,10.32004,43.9861
40,11.03212,43.8895
41,11.79334,43.7875
42,12.60708,43.6812
43,13.47697,43.5675
44,14.40688,43.444
45,15.40095,43.3048
46,16.46362,43.1438
47,17.59961,42.9479
48,18.81398,42.6871
49,20.11215,42.2765
50,21.49988,41.2619
51,21.67486,40.9604
52,22.00661,39.6567
53,22.09508,38.0877
54,22.22779,39.6841
55,22.55954,41.1276
56,22.98338,41.8441
57,24.56923,42.9361
58,26.2645,43.4577
59,28.07676,43.7905
60,30.01405,44.0056
61,32.08502,44.1468
62,34.29889,44.2409
63,36.66551,44.3031
64,39.19543,44.343
65,41.89992,44.3672
66,44.79101,44.415
67,47.88159,44.4167
68,51.18542,44.4093
69,54.71721,44.3964
70,58.4927,44.3798
71,62.5287,44.3612
72,66.84318,44.3413
73,71.45536,44.3209
74,76.38578,44.3008
75,81.6564,44.2821
76,87.29069,44.262
77,93.31374,44.2424
78,99.75239,44.2236
79,106.6353,44.2056
80,113.9931,44.1885
81,121.8587,44.1724
82,130.2669,44.1573
83,139.2553,44.1433
84,148.864,44.1304
85,159.1356,44.1184
86,170.1159,44.1074
87,181.8539,44.0973
88,194.4018,44.0881
89,207.8156,44.0796
90,222.1548,44.0719
91,237.4835,44.0649
92,253.8699,44.0585
93,271.3869,44.0527
94,290.1126,44.0475
95,310.1304,44.0427
96,331.5294,44.0384
97,354.4049,44.0345
98,378.8588,44.031
99,405.0001,44.0278
100,432.9451,44.025
