,keV,f1
0,2.080733,38.6746
1,2.224304,38.2656
2,2.377781,37.7071
3,2.541848,36.909
4,2.717235,35.6223
5,2.904724,32.7378
6,2.943724,31.4079
7,2.988781,27.8447
8,3.000796,23.8203
9,3.018819,27.6279
10,3.063876,30.7009
11,3.083178,31.1221
12,3.10515,31.2624
13,3.13037,30.7066
14,3.142954,28.999
15,3.161831,31.2954
16,3.209022,33.7259
17,3.319406,35.9162
18,3.343662,36.1407
19,3.394841,36.0599
20,3.408488,35.2798
21,3.42896,36.4699
22,3.480138,37.865
23,3.548445,38.9158
24,3.793288,41.1094
25,4.055024,42.4388
26,4.334821,43.3289
27,4.633924,43.95
28,4.953664,44.3826
29,5.295467,44.6862
30,5.660855,44.8983
31,6.051453,45.13
32,6.469004,45.261
33,6.915365,45.3329
34,7.392525,45.3324
35,7.902609,45.3055
36,8.44789,45.2629
37,9.030794,45.2202
38,9.653919,45.1573
39,10.32004,45.0732
40,11.03212,44.9788
41,11.79334,44.8783
42,12.60708,44.7736
43,13.47697,44.6648
44,14.40688,44.5483
45,15.40095,44.4213
46,16.46362,44.2772
47,17.59961,44.1089
48,18.81398,43.9001
49,20.11215,43.6125
50,21.49988,43.1259
51,22.7555,41.9842
52,22.98338,41.3616
53,23.1038,40.6879
54,23.19668,39.1279
55,23.336,40.7147
56,23.6843,42.1495
57,24.56923,43.2772
58,26.2645,44.1227
59,28.07676,44.5784
60,30.01405,44.8642
61,32.08502,45.0536
62,34.29889,45.1785
63,36.66551,45.2617
64,39.19543,45.3162
65,41.89992,45.3506
66,44.79101,45.3709
67,47.88159,45.4151
68,51.18542,45.4136
69,54.71721,45.4044
70,58.4927,45.3903
71,62.5287,45.3732
72,66.84318,45.3543
73,71.45536,45.3345
74,76.38578,45.3146
75,81.6564,45.2951
76,87.29069,45.2749
77,93.31374,45.2549
78,99.75239,45.2356
79,106.6353,45.2171
80,113.9931,45.1994
81,121.8587,45.1827
82,130.2669,45.167
83,139.2553,45.1524
84,148.864,45.1388
85,159.1356,45.1262
86,170.1159,45.1146
87,181.8539,45.1039
88,194.4018,45.0942
89,207.8156,45.0852
90,222.1548,45.0771
91,237.4835,45.0696
92,253.8699,45.0628
93,271.3869,45.0566
94,290.1126,45.051
95,310.1304,45.046
96,331.5294,45.0414
97,354.4049,45.0372
98,378.8588,45.0334
99,405.0001,45.03
100,432.9451,45.027
