,keV,f1
0,2.080733,40.0306
1,2.224304,39.7193
2,2.377781,39.2989
3,2.541848,38.719
4,2.717235,37.8775
5,2.904724,36.4793
6,3.10515,32.9123
7,3.109834,32.7326
8,3.157434,29.3641
9,3.170127,25.6358
10,3.189167,29.0306
11,3.236766,31.7693
12,3.263694,32.234
13,3.313649,31.7769
14,3.319406,31.4036
15,3.32697,30.1956
16,3.346952,32.3154
17,3.396906,34.5954
18,3.532214,36.9631
19,3.548445,37.0718
20,3.586279,36.9573
21,3.600696,36.2
22,3.622322,37.409
23,3.676386,38.8586
24,3.793288,40.5122
25,4.055024,42.5804
26,4.334821,43.7716
27,4.633924,44.5459
28,4.953664,45.0808
29,5.295467,45.4549
30,5.660855,45.7234
31,6.051453,45.9179
32,6.469004,46.1414
33,6.915365,46.2653
34,7.392525,46.3334
35,7.902609,46.3307
36,8.44789,46.3063
37,9.030794,46.2851
38,9.653919,46.2264
39,10.32004,46.1473
40,11.03212,46.0568
41,11.79334,45.959
42,12.60708,45.8564
43,13.47697,45.7502
44,14.40688,45.6397
45,15.40095,45.5209
46,16.46362,45.3904
47,17.59961,45.241
48,18.81398,45.0641
49,20.11215,44.8392
50,21.49988,44.5155
51,22.98338,43.9078
52,23.86329,43.0041
53,24.22855,41.7152
54,24.32595,40.1649
55,24.47205,41.7399
56,24.56923,42.3366
57,24.83731,43.1644
58,26.2645,44.6043
59,28.07676,45.2922
60,30.01405,45.6821
61,32.08502,45.933
62,34.29889,46.0979
63,36.66551,46.2076
64,39.19543,46.2804
65,41.89992,46.3277
66,44.79101,46.3569
67,47.88159,46.3737
68,51.18542,46.4139
69,54.71721,46.4097
70,58.4927,46.3988
71,62.5287,46.3839
72,66.84318,46.3663
73,71.45536,46.3473
74,76.38578,46.3277
75,81.6564,46.3082
76,87.29069,46.288
77,93.31374,46.2677
78,99.75239,46.2479
79,106.6353,46.2288
80,113.9931,46.2106
81,121.8587,46.1933
82,130.2669,46.177
83,139.2553,46.1617
84,148.864,46.1475
85,159.1356,46.1343
86,170.1159,46.1221
87,181.8539,46.1109
88,194.4018,46.1005
89,207.8156,46.0911
90,222.1548,46.0824
91,237.4835,46.0745
92,253.8699,46.0673
93,271.3869,46.0607
94,290.1126,46.0548
95,310.1304,46.0494
96,331.5294,46.0445
97,354.4049,46.04
98,378.8588,46.036
99,405.0001,46.0323
100,432.9451,46.0291
