,keV,f1
0,2.080733,41.4062
1,2.224304,41.1462
2,2.377781,40.818
3,2.541848,40.3771
4,2.717235,39.7652
5,2.904724,38.8627
6,3.10515,37.3492
7,3.284078,33.9635
8,3.319406,32.0969
9,3.334344,30.5512
10,3.347749,26.7378
11,3.367855,30.2844
12,3.418122,33.1732
13,3.453226,33.7562
14,3.506081,33.2333
15,3.520176,31.5999
16,3.541318,33.7502
17,3.548445,34.2479
18,3.594174,36.024
19,3.729684,38.1788
20,3.786771,38.1381
21,3.793288,37.9709
22,3.801994,37.3722
23,3.824829,38.566
24,3.881916,39.9808
25,4.055024,42.0364
26,4.334821,43.8319
27,4.633924,44.9334
28,4.953664,45.6723
29,5.295467,46.1852
30,5.660855,46.5439
31,6.051453,46.7976
32,6.469004,46.9766
33,6.915365,47.1807
34,7.392525,47.2894
35,7.902609,47.3505
36,8.44789,47.3467
37,9.030794,47.3333
38,9.653919,47.2863
39,10.32004,47.2146
40,11.03212,47.1294
41,11.79334,47.0354
42,12.60708,46.9353
43,13.47697,46.8312
44,14.40688,46.7237
45,15.40095,46.6114
46,16.46362,46.49
47,17.59961,46.3552
48,18.81398,46.1995
49,20.11215,46.0118
50,21.49988,45.766
51,22.98338,45.3918
52,24.56923,44.566
53,25.00372,44.0222
54,25.38643,42.7404
55,25.48849,41.1991
56,25.64157,42.7653
57,26.02428,44.1811
58,26.2645,44.5838
59,28.07676,45.861
60,30.01405,46.4369
61,32.08502,46.7849
62,34.29889,46.9986
63,36.66551,47.1402
64,39.19543,47.2353
65,41.89992,47.2982
66,44.79101,47.3384
67,47.88159,47.3627
68,51.18542,47.4096
69,54.71721,47.412
70,58.4927,47.4053
71,62.5287,47.393
72,66.84318,47.3772
73,71.45536,47.3593
74,76.38578,47.3402
75,81.6564,47.321
76,87.29069,47.301
77,93.31374,47.2805
78,99.75239,47.2603
79,106.6353,47.2407
80,113.9931,47.222
81,121.8587,47.2041
82,130.2669,47.1872
83,139.2553,47.1713
84,148.864,47.1564
85,159.1356,47.1426
86,170.1159,47.1298
87,181.8539,47.118
88,194.4018,47.1071
89,207.8156,47.0971
90,222.1548,47.088
91,237.4835,47.0796
92,253.8699,47.072
93,271.3869,47.065
94,290.1126,47.0587
95,310.1304,47.0529
96,331.5294,47.0477
97,354.4049,47.0429
98,378.8588,47.0386
99,405.0001,47.0348
100,432.9451,47.0313
