,keV,f1
0,2.080733,42.6965
1,2.224304,42.4829
2,2.377781,42.2148
3,2.541848,41.8768
4,2.717235,41.4267
5,2.904724,40.8113
6,3.10515,39.9196
7,3.319406,38.0892
8,3.46675,35.1406
9,3.519812,31.687
10,3.533962,27.7885
11,3.548445,30.356
12,3.555187,31.4895
13,3.60825,34.5292
14,3.65246,35.2329
15,3.708365,34.6373
16,3.723273,32.9486
17,3.745635,35.1307
18,3.793288,37.1821
19,3.80154,37.3998
20,3.93764,39.3697
21,3.99791,39.2963
22,4.013982,38.5238
23,4.03809,39.7007
24,4.055024,40.229
25,4.09836,41.0801
26,4.334821,43.4595
27,4.633924,45.0537
28,4.953664,46.0867
29,5.295467,46.7933
30,5.660855,47.2835
31,6.051453,47.625
32,6.469004,47.8624
33,6.915365,48.0258
34,7.392525,48.2126
35,7.902609,48.3099
36,8.44789,48.3643
37,9.030794,48.3786
38,9.653919,48.3459
39,10.32004,48.2818
40,11.03212,48.2016
41,11.79334,48.1115
42,12.60708,48.0147
43,13.47697,47.9129
44,14.40688,47.8076
45,15.40095,47.6992
46,16.46362,47.585
47,17.59961,47.4612
48,18.81398,47.3218
49,20.11215,47.1592
50,21.49988,46.959
51,22.98338,46.687
52,24.56923,46.2404
53,26.17698,45.0549
54,26.2645,44.8946
55,26.57764,43.7823
56,26.68449,42.2514
57,26.84476,43.8062
58,27.24542,45.2128
59,28.07676,46.1921
60,30.01405,47.0987
61,32.08502,47.5564
62,34.29889,47.8434
63,36.66551,48.0376
64,39.19543,48.1669
65,41.89992,48.2538
66,44.79101,48.3108
67,47.88159,48.3465
68,51.18542,48.367
69,54.71721,48.4096
70,58.4927,48.4082
71,62.5287,48.3995
72,66.84318,48.3861
73,71.45536,48.3697
74,76.38578,48.3515
75,81.6564,48.333
76,87.29069,48.3135
77,93.31374,48.293
78,99.75239,48.2726
79,106.6353,48.2525
80,113.9931,48.2333
81,121.8587,48.2149
82,130.2669,48.1974
83,139.2553,48.1809
84,148.864,48.1654
85,159.1356,48.151
86,170.1159,48.1376
87,181.8539,48.1252
88,194.4018,48.1138
89,207.8156,48.1033
90,222.1548,48.0936
91,237.4835,48.0848
92,253.8699,48.0767
93,271.3869,48.0694
94,290.1126,48.0627
95,310.1304,48.0566
96,331.5294,48.051
97,354.4049,48.046
98,378.8588,48.0414
99,405.0001,48.0373
100,432.9451,48.0335
