,keV,f1
0,2.080733,44.0835
1,2.224304,43.911
2,2.377781,43.6841
3,2.541848,43.4025
4,2.717235,43.0533
5,2.904724,42.6007
6,3.10515,41.9395
7,3.319406,40.8316
8,3.548445,38.6509
9,3.655498,36.3248
10,3.711449,32.8236
11,3.72637,28.8247
12,3.74875,32.7064
13,3.793288,35.574
14,3.804702,35.917
15,3.85924,36.7476
16,3.91831,36.0579
17,3.934062,34.3002
18,3.95769,36.5333
19,4.01676,38.8109
20,4.055024,39.5586
21,4.15275,40.6024
22,4.216313,40.4916
23,4.233263,39.7108
24,4.258688,40.8706
25,4.32225,42.2127
26,4.334821,42.3881
27,4.633924,44.8579
28,4.953664,46.2849
29,5.295467,47.2544
30,5.660855,47.927
31,6.051453,48.3927
32,6.469004,48.7137
33,6.915365,48.9322
34,7.392525,49.0788
35,7.902609,49.2898
36,8.44789,49.3396
37,9.030794,49.4159
38,9.653919,49.3952
39,10.32004,49.3405
40,11.03212,49.2665
41,11.79334,49.1806
42,12.60708,49.087
43,13.47697,48.9881
44,14.40688,48.885
45,15.40095,48.7786
46,16.46362,48.6691
47,17.59961,48.5527
48,18.81398,48.4256
49,20.11215,48.2806
50,21.49988,48.109
51,22.98338,47.8919
52,24.56923,47.583
53,26.2645,47.0178
54,27.3811,46.0767
55,27.8002,44.811
56,27.91196,43.2899
57,28.07676,44.812
58,28.0796,44.8324
59,28.4987,46.2279
60,30.01405,47.5892
61,32.08502,48.2836
62,34.29889,48.6701
63,36.66551,48.9207
64,39.19543,49.0881
65,41.89992,49.2
66,44.79101,49.2746
67,47.88159,49.323
68,51.18542,49.3526
69,54.71721,49.3689
70,58.4927,49.4076
71,62.5287,49.4035
72,66.84318,49.3931
73,71.45536,49.3788
74,76.38578,49.3619
75,81.6564,49.3449
76,87.29069,49.326
77,93.31374,49.3055
78,99.75239,49.2849
79,106.6353,49.2645
80,113.9931,49.2447
81,121.8587,49.2257
82,130.2669,49.2077
83,139.2553,49.1906
84,148.864,49.1745
85,159.1356,49.1595
86,170.1159,49.1456
87,181.8539,49.1326
88,194.4018,49.1206
89,207.8156,49.1096
90,222.1548,49.0995
91,237.4835,49.0902
92,253.8699,49.0817
93,271.3869,49.0739
94,290.1126,49.0668
95,310.1304,49.0603
96,331.5294,49.0545
97,354.4049,49.0491
98,378.8588,49.0443
99,405.0001,49.0399
100,432.9451,49.0359
