,keV,f1
0,2.080733,4.04336
1,2.224304,4.03909
2,2.377781,4.03518
3,2.541848,4.03162
4,2.717235,4.02839
5,2.904724,4.02551
6,3.10515,4.02306
7,3.319406,4.02063
8,3.548445,4.01844
9,3.793288,4.01646
10,4.055024,4.01468
11,4.334821,4.01308
12,4.633924,4.01165
13,4.953664,4.01037
14,5.295467,4.00923
15,5.660855,4.0082
16,6.051453,4.00729
17,6.469004,4.00647
18,6.915365,4.00574
19,7.392525,4.0051
20,7.902609,4.00452
21,8.44789,4.00401
22,9.030794,4.00356
23,9.653919,4.00316
24,10.32004,4.0028
25,11.03212,4.00248
26,11.79334,4.00219
27,12.60708,4.00194
28,13.47697,4.00171
29,14.40688,4.00151
30,15.40095,4.00134
31,16.46362,4.00118
32,17.59961,4.00104
33,18.81398,4.00092
34,20.11215,4.00081
35,21.49988,4.00072
36,22.98338,4.00063
37,24.56923,4.00056
38,26.2645,4.00049
39,28.07676,4.00043
40,30.01405,4.00038
41,32.08502,4.00034
42,34.29889,4.0003
43,36.66551,4.00026
44,39.19543,4.00023
45,41.89992,4.0002
46,44.79101,4.00018
47,47.88159,4.00016
48,51.18542,4.00014
49,54.71721,4.00012
50,58.4927,4.00011
51,62.5287,4.00009
52,66.84318,4.00008
53,71.45536,4.00007
54,76.38578,4.00006
55,81.6564,4.00006
56,87.29069,4.00005
57,93.31374,4.00004
58,99.75239,4.00004
59,106.6353,4.00003
60,113.9931,4.00003
61,121.8587,4.00003
62,130.2669,4.00002
63,139.2553,4.00002
64,148.864,4.00002
65,159.1356,4.00002
66,170.1159,4.00001
67,181.8539,4.00001
68,194.4018,4.00001
69,207.8156,4.00001
70,222.1548,4.00001
71,237.4835,4.00001
72,253.8699,4.00001
73,271.3869,4.00001
74,290.1126,4.0
75,310.1304,4.0
76,331.5294,4.0
77,354.4049,4.0
78,378.8588,4.0
79,405.0001,4.0
80,432.9451,4.0
