,keV,f1
0,2.080733,45.3446
1,2.224304,45.2231
2,2.377781,45.0418
3,2.541848,44.8028
4,2.717235,44.5039
5,2.904724,44.135
6,3.10515,43.6444
7,3.319406,42.8802
8,3.548445,41.6355
9,3.793288,38.9148
10,3.850224,37.5113
11,3.909156,34.0273
12,3.924871,30.0304
13,3.948444,33.9408
14,4.007376,37.1907
15,4.055024,37.9931
16,4.072978,38.1101
17,4.135319,37.3576
18,4.151944,35.5879
19,4.17688,37.8115
20,4.239222,40.0581
21,4.334821,41.4391
22,4.375406,41.7235
23,4.442377,41.6034
24,4.460236,40.8219
25,4.487024,41.974
26,4.553994,43.3023
27,4.633924,44.1919
28,4.953664,46.2573
29,5.295467,47.5557
30,5.660855,48.4498
31,6.051453,49.0715
32,6.469004,49.5
33,6.915365,49.7938
34,7.392525,49.9926
35,7.902609,50.2028
36,8.44789,50.3272
37,9.030794,50.4269
38,9.653919,50.4277
39,10.32004,50.3869
40,11.03212,50.3224
41,11.79334,50.2428
42,12.60708,50.1534
43,13.47697,50.0578
44,14.40688,49.9577
45,15.40095,49.8538
46,16.46362,49.7468
47,17.59961,49.6362
48,18.81398,49.5174
49,20.11215,49.3865
50,21.49988,49.235
51,22.98338,49.0522
52,24.56923,48.8135
53,26.2645,48.4518
54,28.07676,47.6648
55,28.6161,47.0981
56,29.0541,45.8386
57,29.1709,44.325
58,29.3461,45.8608
59,29.7841,47.2498
60,30.01405,47.5904
61,32.08502,48.8917
62,34.29889,49.4402
63,36.66551,49.7671
64,39.19543,49.9853
65,41.89992,50.1305
66,44.79101,50.2279
67,47.88159,50.2924
68,51.18542,50.3335
69,54.71721,50.3579
70,58.4927,50.4028
71,62.5287,50.4047
72,66.84318,50.3982
73,71.45536,50.3866
74,76.38578,50.3718
75,81.6564,50.3569
76,87.29069,50.338
77,93.31374,50.3177
78,99.75239,50.2969
79,106.6353,50.2763
80,113.9931,50.2561
81,121.8587,50.2366
82,130.2669,50.2181
83,139.2553,50.2004
84,148.864,50.1838
85,159.1356,50.1682
86,170.1159,50.1536
87,181.8539,50.1401
88,194.4018,50.1276
89,207.8156,50.1161
90,222.1548,50.1054
91,237.4835,50.0957
92,253.8699,50.0867
93,271.3869,50.0785
94,290.1126,50.0711
95,310.1304,50.0642
96,331.5294,50.058
97,354.4049,50.0524
98,378.8588,50.0473
99,405.0001,50.0426
100,432.9451,50.0384
