,keV,f1
0,2.080733,46.4584
1,2.224304,46.4054
2,2.377781,46.2816
3,2.541848,46.0945
4,2.717235,45.8465
5,2.904724,45.5381
6,3.10515,45.1717
7,3.319406,44.619
8,3.548445,43.7679
9,3.793288,42.3394
10,4.049556,38.6985
11,4.055024,38.5259
12,4.111539,35.2495
13,4.128068,31.2844
14,4.152861,35.1768
15,4.214844,38.4252
16,4.292792,39.4207
17,4.334821,39.2292
18,4.358498,38.6196
19,4.37602,36.8523
20,4.402302,39.0524
21,4.468008,41.2611
22,4.604334,42.8218
23,4.633924,42.9076
24,4.674808,42.7008
25,4.693602,41.9213
26,4.721791,43.069
27,4.792266,44.3895
28,4.953664,45.8807
29,5.295467,47.6632
30,5.660855,48.8405
31,6.051453,49.6541
32,6.469004,50.2187
33,6.915365,50.607
34,7.392525,50.8727
35,7.902609,51.0531
36,8.44789,51.2517
37,9.030794,51.3849
38,9.653919,51.4451
39,10.32004,51.4241
40,11.03212,51.3726
41,11.79334,51.3015
42,12.60708,51.2178
43,13.47697,51.1259
44,14.40688,51.0287
45,15.40095,50.9275
46,16.46362,50.8228
47,17.59961,50.715
48,18.81398,50.6025
49,20.11215,50.4806
50,21.49988,50.3444
51,22.98338,50.1845
52,24.56923,49.9872
53,26.2645,49.7185
54,28.07676,49.2783
55,29.88138,48.1193
56,30.01405,47.9024
57,30.33874,46.8668
58,30.46071,45.3623
59,30.64366,46.8879
60,31.10102,48.2676
61,32.08502,49.2519
62,34.29889,50.1312
63,36.66551,50.5777
64,39.19543,50.8571
65,41.89992,51.0451
66,44.79101,51.17
67,47.88159,51.2536
68,51.18542,51.3083
69,54.71721,51.3425
70,58.4927,51.3619
71,62.5287,51.4029
72,66.84318,51.4014
73,71.45536,51.3932
74,76.38578,51.3809
75,81.6564,51.3667
76,87.29069,51.3491
77,93.31374,51.3295
78,99.75239,51.3089
79,106.6353,51.2882
80,113.9931,51.2677
81,121.8587,51.2478
82,130.2669,51.2287
83,139.2553,51.2105
84,148.864,51.1933
85,159.1356,51.1771
86,170.1159,51.162
87,181.8539,51.1479
88,194.4018,51.1348
89,207.8156,51.1228
90,222.1548,51.1116
91,237.4835,51.1014
92,253.8699,51.092
93,271.3869,51.0834
94,290.1126,51.0755
95,310.1304,51.0683
96,331.5294,51.0617
97,354.4049,51.0558
98,378.8588,51.0503
99,405.0001,51.0454
100,432.9451,51.0409
