,keV,f1
0,2.080733,47.4762
1,2.224304,47.4681
2,2.377781,47.4141
3,2.541848,47.2925
4,2.717235,47.0977
5,2.904724,46.8476
6,3.10515,46.6153
7,3.319406,46.1977
8,3.548445,45.566
9,3.793288,44.6074
10,4.055024,42.9161
11,4.254572,39.8866
12,4.319693,36.4828
13,4.334821,33.5784
14,4.337059,32.5661
15,4.363107,36.4143
16,4.428228,39.6387
17,4.51976,40.6986
18,4.58894,39.8588
19,4.607388,38.101
20,4.633924,40.1981
21,4.63506,40.2695
22,4.70424,42.4355
23,4.840416,43.901
24,4.914504,43.7836
25,4.934261,43.007
26,4.953664,43.762
27,4.963896,44.1527
28,5.037984,45.4697
29,5.295467,47.4921
30,5.660855,49.0633
31,6.051453,50.1223
32,6.469004,50.8541
33,6.915365,51.3603
34,7.392525,51.7086
35,7.902609,51.947
36,8.44789,52.111
37,9.030794,52.3131
38,9.653919,52.4118
39,10.32004,52.4525
40,11.03212,52.4176
41,11.79334,52.3573
42,12.60708,52.2804
43,13.47697,52.1929
44,14.40688,52.0983
45,15.40095,51.9993
46,16.46362,51.8967
47,17.59961,51.7907
48,18.81398,51.6814
49,20.11215,51.5662
50,21.49988,51.4406
51,22.98338,51.298
52,24.56923,51.128
53,26.2645,50.9118
54,28.07676,50.606
55,30.01405,50.0202
56,31.17752,49.1381
57,31.65473,47.8928
58,31.78199,46.3982
59,31.97287,47.9119
60,32.08502,48.433
61,32.45008,49.2809
62,34.29889,50.6702
63,36.66551,51.3278
64,39.19543,51.698
65,41.89992,51.938
66,44.79101,52.0975
67,47.88159,52.2041
68,51.18542,52.2749
69,54.71721,52.3206
70,58.4927,52.3484
71,62.5287,52.3636
72,66.84318,52.4005
73,71.45536,52.3964
74,76.38578,52.3867
75,81.6564,52.3744
76,87.29069,52.3584
77,93.31374,52.3395
78,99.75239,52.3193
79,106.6353,52.2986
80,113.9931,52.278
81,121.8587,52.2578
82,130.2669,52.2384
83,139.2553,52.2197
84,148.864,52.202
85,159.1356,52.1854
86,170.1159,52.1697
87,181.8539,52.1552
88,194.4018,52.1416
89,207.8156,52.1291
90,222.1548,52.1175
91,237.4835,52.1068
92,253.8699,52.097
93,271.3869,52.088
94,290.1126,52.0797
95,310.1304,52.0722
96,331.5294,52.0653
97,354.4049,52.059
98,378.8588,52.0533
99,405.0001,52.0481
100,432.9451,52.0434
