,keV,f1
0,2.080733,48.489
1,2.224304,48.5412
2,2.377781,48.5293
3,2.541848,48.478
4,2.717235,48.3604
5,2.904724,48.2078
6,3.10515,48.065
7,3.319406,47.6838
8,3.548445,47.1716
9,3.793288,46.4591
10,4.055024,45.3714
11,4.334821,43.2826
12,4.465958,41.0615
13,4.534314,37.7027
14,4.552543,33.8351
15,4.579885,37.6379
16,4.633924,40.4735
17,4.648242,40.836
18,4.755058,41.9574
19,4.827839,41.0845
20,4.847248,39.3389
21,4.87636,41.4727
22,4.953664,43.6693
23,5.084338,44.9619
24,5.162159,44.8502
25,5.182912,44.0786
26,5.21404,45.2183
27,5.295467,46.5711
28,5.660855,49.0314
29,6.051453,50.4303
30,6.469004,51.3802
31,6.915365,52.0355
32,7.392525,52.4876
33,7.902609,52.7994
34,8.44789,53.015
35,9.030794,53.1826
36,9.653919,53.3587
37,10.32004,53.4298
38,11.03212,53.4524
39,11.79334,53.4062
40,12.60708,53.3387
41,13.47697,53.2571
42,14.40688,53.1664
43,15.40095,53.0697
44,16.46362,52.9691
45,17.59961,52.8653
46,18.81398,52.7582
47,20.11215,52.6473
48,21.49988,52.5289
49,22.98338,52.3987
50,24.56923,52.2486
51,26.2645,52.0687
52,28.07676,51.833
53,30.01405,51.4549
54,32.08502,50.5798
55,32.50601,50.158
56,33.00355,48.9195
57,33.13623,47.4332
58,33.33525,48.9383
59,33.83279,50.2993
60,34.29889,50.8358
61,36.66551,51.9788
62,39.19543,52.492
63,41.89992,52.8009
64,44.79101,53.0062
65,47.88159,53.1422
66,51.18542,53.2332
67,54.71721,53.2932
68,58.4927,53.3312
69,62.5287,53.3535
70,66.84318,53.3967
71,71.45536,53.3976
72,76.38578,53.3913
73,81.6564,53.3819
74,87.29069,53.3679
75,93.31374,53.35
76,99.75239,53.3303
77,106.6353,53.3097
78,113.9931,53.2891
79,121.8587,53.2686
80,130.2669,53.2488
81,139.2553,53.2296
82,148.864,53.2114
83,159.1356,53.1942
84,170.1159,53.1781
85,181.8539,53.163
86,194.4018,53.1489
87,207.8156,53.1359
88,222.1548,53.1238
89,237.4835,53.1126
90,253.8699,53.1024
91,271.3869,53.0929
92,290.1126,53.0843
93,310.1304,53.0764
94,331.5294,53.0692
95,354.4049,53.0626
96,378.8588,53.0566
97,405.0001,53.0511
98,432.9451,53.0461
