,keV,f1
0,2.080733,49.5404
1,2.224304,49.6205
2,2.377781,49.663
3,2.541848,49.6398
4,2.717235,49.583
5,2.904724,49.4927
6,3.10515,49.346
7,3.319406,49.0369
8,3.548445,48.6191
9,3.793288,48.0668
10,4.055024,47.2888
11,4.334821,46.0511
12,4.633924,43.2904
13,4.686556,42.2221
14,4.758289,38.9074
15,4.777418,35.0859
16,4.806111,38.8484
17,4.877844,42.0237
18,4.953664,43.039
19,5.001626,43.2058
20,5.078182,42.3055
21,5.098596,40.5721
22,5.129219,42.6732
23,5.205774,44.7523
24,5.295467,45.7697
25,5.343744,46.0586
26,5.425536,45.9458
27,5.447347,45.1763
28,5.480064,46.3112
29,5.561856,47.6166
30,5.660855,48.4989
31,6.051453,50.5102
32,6.469004,51.7598
33,6.915365,52.6129
34,7.392525,53.2022
35,7.902609,53.6109
36,8.44789,53.8997
37,9.030794,54.1224
38,9.653919,54.3248
39,10.32004,54.4259
40,11.03212,54.4732
41,11.79334,54.4466
42,12.60708,54.3916
43,13.47697,54.3183
44,14.40688,54.2329
45,15.40095,54.1397
46,16.46362,54.0413
47,17.59961,53.9394
48,18.81398,53.8345
49,20.11215,53.7261
50,21.49988,53.6131
51,22.98338,53.4914
52,24.56923,53.3563
53,26.2645,53.1993
54,28.07676,53.0051
55,30.01405,52.7236
56,32.08502,52.2415
57,33.87017,51.1766
58,34.29889,50.322
59,34.38859,49.9447
60,34.52684,48.4666
61,34.73421,49.9634
62,35.25263,51.3169
63,36.66551,52.4379
64,39.19543,53.2174
65,41.89992,53.6296
66,44.79101,53.8905
67,47.88159,54.065
68,51.18542,54.1809
69,54.71721,54.2583
70,58.4927,54.3087
71,62.5287,54.3398
72,66.84318,54.3573
73,71.45536,54.3963
74,76.38578,54.3945
75,81.6564,54.3894
76,87.29069,54.3768
77,93.31374,54.36
78,99.75239,54.3409
79,106.6353,54.3206
80,113.9931,54.3
81,121.8587,54.2794
82,130.2669,54.2592
83,139.2553,54.2397
84,148.864,54.221
85,159.1356,54.2032
86,170.1159,54.1866
87,181.8539,54.1709
88,194.4018,54.1564
89,207.8156,54.1428
90,222.1548,54.1302
91,237.4835,54.1186
92,253.8699,54.1079
93,271.3869,54.0981
94,290.1126,54.089
95,310.1304,54.0807
96,331.5294,54.0732
97,354.4049,54.0662
98,378.8588,54.0599
99,405.0001,54.0542
100,432.9451,54.0489
