,keV,f1
0,2.080733,50.4447
1,2.224304,50.647
2,2.377781,50.7185
3,2.541848,50.7506
4,2.717235,50.7159
5,2.904724,50.6493
6,3.10515,50.5732
7,3.319406,50.3418
8,3.548445,50.0012
9,3.793288,49.5485
10,4.055024,48.946
11,4.334821,48.076
12,4.633924,46.6164
13,4.911662,43.379
14,4.953664,42.088
15,4.98684,40.1016
16,5.006888,36.3183
17,5.036959,40.0489
18,5.112138,43.2059
19,5.252212,44.433
20,5.295467,44.2277
21,5.332603,43.5105
22,5.35404,41.7843
23,5.386197,43.8628
24,5.466588,45.9086
25,5.600014,47.1111
26,5.660855,47.1838
27,5.685729,47.0101
28,5.708586,46.2463
29,5.742872,47.3775
30,5.828586,48.6805
31,6.051453,50.3007
32,6.469004,51.989
33,6.915365,53.0921
34,7.392525,53.8505
35,7.902609,54.3753
36,8.44789,54.7429
37,9.030794,55.0192
38,9.653919,55.1931
39,10.32004,55.3657
40,11.03212,55.4449
41,11.79334,55.4785
42,12.60708,55.4399
43,13.47697,55.3771
44,14.40688,55.2986
45,15.40095,55.2096
46,16.46362,55.1139
47,17.59961,55.0136
48,18.81398,54.9102
49,20.11215,54.8037
50,21.49988,54.6938
51,22.98338,54.5784
52,24.56923,54.4532
53,26.2645,54.3136
54,28.07676,54.146
55,30.01405,53.9188
56,32.08502,53.5825
57,34.29889,52.9105
58,35.26491,52.195
59,35.80468,50.9706
60,35.94862,49.5025
61,36.16452,50.9879
62,36.66551,52.2763
63,36.70429,52.3309
64,39.19543,53.829
65,41.89992,54.4128
66,44.79101,54.7513
67,47.88159,54.9722
68,51.18542,55.1185
69,54.71721,55.2163
70,58.4927,55.281
71,62.5287,55.3226
72,66.84318,55.3477
73,71.45536,55.3613
74,76.38578,55.3958
75,81.6564,55.3951
76,87.29069,55.3844
77,93.31374,55.3689
78,99.75239,55.3507
79,106.6353,55.331
80,113.9931,55.3105
81,121.8587,55.2899
82,130.2669,55.2695
83,139.2553,55.2497
84,148.864,55.2306
85,159.1356,55.2123
86,170.1159,55.1951
87,181.8539,55.179
88,194.4018,55.1639
89,207.8156,55.1498
90,222.1548,55.1368
91,237.4835,55.1247
92,253.8699,55.1136
93,271.3869,55.1033
94,290.1126,55.0939
95,310.1304,55.0852
96,331.5294,55.0773
97,354.4049,55.07
98,378.8588,55.0634
99,405.0001,55.0574
100,432.9451,55.0519
