,keV,f1
0,2.080733,51.1484
1,2.224304,51.485
2,2.377781,51.6848
3,2.541848,51.7595
4,2.717235,51.7921
5,2.904724,51.7628
6,3.10515,51.7419
7,3.319406,51.5927
8,3.548445,51.3222
9,3.793288,50.9469
10,4.055024,50.4516
11,4.334821,49.7836
12,4.633924,48.8026
13,4.953664,46.9999
14,5.14206,44.543
15,5.220765,41.3094
16,5.241753,37.5721
17,5.273235,41.2613
18,5.295467,42.6868
19,5.35194,44.3928
20,5.511128,45.6654
21,5.595482,44.7233
22,5.617976,43.0095
23,5.651718,45.0562
24,5.660855,45.4367
25,5.736072,47.0616
26,5.869024,48.191
27,5.958856,48.0966
28,5.982811,47.3384
29,6.018744,48.4624
30,6.051453,49.0789
31,6.108576,49.7589
32,6.469004,51.9659
33,6.915365,53.4251
34,7.392525,54.3968
35,7.902609,55.066
36,8.44789,55.5333
37,9.030794,55.888
38,9.653919,56.112
39,10.32004,56.2453
40,11.03212,56.3911
41,11.79334,56.4523
42,12.60708,56.4722
43,13.47697,56.4235
44,14.40688,56.3541
45,15.40095,56.2713
46,16.46362,56.1795
47,17.59961,56.0818
48,18.81398,55.9801
49,20.11215,55.8754
50,21.49988,55.7679
51,22.98338,55.6571
52,24.56923,55.5396
53,26.2645,55.4124
54,28.07676,55.2621
55,30.01405,55.07
56,32.08502,54.8096
57,34.29889,54.3908
58,36.66551,53.2415
59,36.69179,53.212
60,37.2534,51.9948
61,37.40316,50.5352
62,37.6278,52.012
63,38.18941,53.3471
64,39.19543,54.193
65,41.89992,55.1167
66,44.79101,55.5719
67,47.88159,55.8522
68,51.18542,56.0387
69,54.71721,56.1622
70,58.4927,56.2448
71,62.5287,56.2991
72,66.84318,56.3333
73,71.45536,56.3534
74,76.38578,56.3946
75,81.6564,56.3972
76,87.29069,56.3892
77,93.31374,56.3757
78,99.75239,56.3589
79,106.6353,56.34
80,113.9931,56.32
81,121.8587,56.2996
82,130.2669,56.2792
83,139.2553,56.2592
84,148.864,56.2398
85,159.1356,56.2212
86,170.1159,56.2034
87,181.8539,56.1868
88,194.4018,56.1713
89,207.8156,56.1568
90,222.1548,56.1433
91,237.4835,56.1308
92,253.8699,56.1192
93,271.3869,56.1085
94,290.1126,56.0987
95,310.1304,56.0897
96,331.5294,56.0814
97,354.4049,56.0738
98,378.8588,56.0669
99,405.0001,56.0606
100,432.9451,56.0548
