,keV,f1
0,2.080733,51.8973
1,2.224304,52.2206
2,2.377781,52.5442
3,2.541848,52.7346
4,2.717235,52.8027
5,2.904724,52.8464
6,3.10515,52.8835
7,3.319406,52.7902
8,3.548445,52.5879
9,3.793288,52.2804
10,4.055024,51.8694
11,4.334821,51.3283
12,4.633924,50.585
13,4.953664,49.4384
14,5.295467,46.9684
15,5.373046,45.729
16,5.455286,42.5859
17,5.477217,38.9711
18,5.510113,42.5027
19,5.592354,45.5088
20,5.660855,46.39
21,5.772788,46.8156
22,5.861147,45.894
23,5.88471,44.2328
24,5.920053,46.1993
25,6.008412,48.132
26,6.051453,48.6016
27,6.140974,49.1977
28,6.234969,49.1273
29,6.260034,48.379
30,6.297632,49.5027
31,6.391626,50.8069
32,6.469004,51.4451
33,6.915365,53.5912
34,7.392525,54.8511
35,7.902609,55.6931
36,8.44789,56.281
37,9.030794,56.7219
38,9.653919,56.997
39,10.32004,57.1703
40,11.03212,57.3491
41,11.79334,57.4399
42,12.60708,57.4834
43,13.47697,57.4549
44,14.40688,57.398
45,15.40095,57.3236
46,16.46362,57.2376
47,17.59961,57.1439
48,18.81398,57.0451
49,20.11215,56.9428
50,21.49988,56.8376
51,22.98338,56.7295
52,24.56923,56.6175
53,26.2645,56.498
54,28.07676,56.3624
55,30.01405,56.1951
56,32.08502,55.9805
57,34.29889,55.6735
58,36.66551,55.1093
59,38.14611,54.2292
60,38.72998,53.0188
61,38.88567,51.5674
62,39.11922,53.0359
63,39.19543,53.3483
64,39.70309,54.3636
65,41.89992,55.6912
66,44.79101,56.3415
67,47.88159,56.7055
68,51.18542,56.9403
69,54.71721,57.0962
70,58.4927,57.2003
71,62.5287,57.2696
72,66.84318,57.3146
73,71.45536,57.3424
74,76.38578,57.3584
75,81.6564,57.3969
76,87.29069,57.3925
77,93.31374,57.3815
78,99.75239,57.3663
79,106.6353,57.3485
80,113.9931,57.3291
81,121.8587,57.309
82,130.2669,57.2887
83,139.2553,57.2686
84,148.864,57.249
85,159.1356,57.23
86,170.1159,57.2119
87,181.8539,57.1948
88,194.4018,57.1787
89,207.8156,57.1638
90,222.1548,57.1498
91,237.4835,57.1369
92,253.8699,57.1249
93,271.3869,57.1138
94,290.1126,57.1036
95,310.1304,57.0942
96,331.5294,57.0856
97,354.4049,57.0777
98,378.8588,57.0705
99,405.0001,57.0639
100,432.9451,57.0578
