,keV,f1
0,2.080733,52.6929
1,2.224304,53.1185
2,2.377781,53.5173
3,2.541848,53.7256
4,2.717235,53.8825
5,2.904724,53.9726
6,3.10515,54.1316
7,3.319406,54.0412
8,3.548445,53.8652
9,3.793288,53.6071
10,4.055024,53.2539
11,4.334821,52.7952
12,4.633924,52.1906
13,4.953664,51.3382
14,5.295467,49.9245
15,5.608932,46.8297
16,5.660855,45.4426
17,5.694783,43.6597
18,5.717677,39.988
19,5.752017,43.6201
20,5.837868,46.7211
21,6.040916,48.1015
22,6.051453,48.0772
23,6.133379,47.1455
24,6.158036,45.489
25,6.195021,47.4235
26,6.287484,49.308
27,6.417824,50.2841
28,6.469004,50.3955
29,6.516056,50.2108
30,6.542251,49.4645
31,6.581544,50.5806
32,6.679776,51.8733
33,6.915365,53.3992
34,7.392525,55.1261
35,7.902609,56.221
36,8.44789,56.9654
37,9.030794,57.5029
38,9.653919,57.8541
39,10.32004,58.0788
40,11.03212,58.2206
41,11.79334,58.3774
42,12.60708,58.449
43,13.47697,58.4781
44,14.40688,58.4372
45,15.40095,58.3727
46,16.46362,58.2934
47,17.59961,58.2044
48,18.81398,58.1087
49,20.11215,58.0087
50,21.49988,57.9055
51,22.98338,57.7995
52,24.56923,57.6904
53,26.2645,57.5765
54,28.07676,57.4526
55,30.01405,57.3038
56,32.08502,57.1194
57,34.29889,56.8744
58,36.66551,56.4958
59,39.19543,55.6078
60,39.63414,55.2451
61,40.24079,54.0411
62,40.40256,52.598
63,40.64522,54.0571
64,41.25186,55.3764
65,41.89992,55.9523
66,44.79101,57.0307
67,47.88159,57.5239
68,51.18542,57.821
69,54.71721,58.0169
70,58.4927,58.1468
71,62.5287,58.2336
72,66.84318,58.2911
73,71.45536,58.3279
74,76.38578,58.3503
75,81.6564,58.3941
76,87.29069,58.3944
77,93.31374,58.3864
78,99.75239,58.3732
79,106.6353,58.3567
80,113.9931,58.3381
81,121.8587,58.3185
82,130.2669,58.2983
83,139.2553,58.2782
84,148.864,58.2583
85,159.1356,58.2391
86,170.1159,58.2206
87,181.8539,58.2029
88,194.4018,58.1864
89,207.8156,58.171
90,222.1548,58.1566
91,237.4835,58.1432
92,253.8699,58.1308
93,271.3869,58.1193
94,290.1126,58.1087
95,310.1304,58.0989
96,331.5294,58.0899
97,354.4049,58.0817
98,378.8588,58.0742
99,405.0001,58.0673
100,432.9451,58.0609
