,keV,f1
0,2.080733,53.3495
1,2.224304,53.8968
2,2.377781,54.2865
3,2.541848,54.668
4,2.717235,54.9099
5,2.904724,55.0655
6,3.10515,55.2498
7,3.319406,55.1905
8,3.548445,55.0442
9,3.793288,54.8333
10,4.055024,54.5398
11,4.334821,54.1509
12,4.633924,53.6469
13,4.953664,52.9708
14,5.295467,51.9742
15,5.660855,50.1049
16,5.845014,47.948
17,5.934479,44.8046
18,5.958336,41.158
19,5.994122,44.7709
20,6.051453,47.1935
21,6.083586,47.8639
22,6.311592,49.291
23,6.408198,48.3098
24,6.43396,46.6523
25,6.469004,48.4282
26,6.472602,48.5756
27,6.569208,50.4377
28,6.698104,51.3533
29,6.800626,51.2799
30,6.827965,50.5336
31,6.868974,51.6492
32,6.915365,52.3747
33,6.971496,52.9391
34,7.392525,55.1795
35,7.902609,56.613
36,8.44789,57.5552
37,9.030794,58.2224
38,9.653919,58.6655
39,10.32004,58.9521
40,11.03212,59.1366
41,11.79334,59.2527
42,12.60708,59.3873
43,13.47697,59.4424
44,14.40688,59.4585
45,15.40095,59.408
46,16.46362,59.3379
47,17.59961,59.2553
48,18.81398,59.1643
49,20.11215,59.0678
50,21.49988,58.9673
51,22.98338,58.864
52,24.56923,58.7578
53,26.2645,58.6484
54,28.07676,58.5341
55,30.01405,58.399
56,32.08502,58.2361
57,34.29889,58.0303
58,36.66551,57.7427
59,39.19543,57.2414
60,41.15079,56.2616
61,41.78065,55.0638
62,41.89992,54.3184
63,41.94861,53.628
64,42.20055,55.08
65,42.83041,56.3927
66,44.79101,57.5729
67,47.88159,58.2861
68,51.18542,58.6719
69,54.71721,58.9167
70,58.4927,59.0794
71,62.5287,59.1879
72,66.84318,59.2606
73,71.45536,59.3083
74,76.38578,59.3386
75,81.6564,59.3582
76,87.29069,59.3943
77,93.31374,59.3901
78,99.75239,59.3794
79,106.6353,59.3645
80,113.9931,59.347
81,121.8587,59.3279
82,130.2669,59.3081
83,139.2553,59.2879
84,148.864,59.268
85,159.1356,59.2485
86,170.1159,59.2296
87,181.8539,59.2114
88,194.4018,59.1943
89,207.8156,59.1783
90,222.1548,59.1635
91,237.4835,59.1496
92,253.8699,59.1368
93,271.3869,59.1249
94,290.1126,59.1139
95,310.1304,59.1037
96,331.5294,59.0944
97,354.4049,59.0858
98,378.8588,59.0779
99,405.0001,59.0707
100,432.9451,59.0641
