,keV,f1
0,2.080733,5.0886
1,2.224304,5.08029
2,2.377781,5.0727
3,2.541848,5.06577
4,2.717235,5.05947
5,2.904724,5.05375
6,3.10515,5.04875
7,3.319406,5.04408
8,3.548445,5.03978
9,3.793288,5.03582
10,4.055024,5.03219
11,4.334821,5.02888
12,4.633924,5.02588
13,4.953664,5.02316
14,5.295467,5.02071
15,5.660855,5.0185
16,6.051453,5.01652
17,6.469004,5.01474
18,6.915365,5.01314
19,7.392525,5.01172
20,7.902609,5.01044
21,8.44789,5.0093
22,9.030794,5.00828
23,9.653919,5.00737
24,10.32004,5.00654
25,11.03212,5.00581
26,11.79334,5.00516
27,12.60708,5.00457
28,13.47697,5.00405
29,14.40688,5.00359
30,15.40095,5.00318
31,16.46362,5.00282
32,17.59961,5.00249
33,18.81398,5.0022
34,20.11215,5.00195
35,21.49988,5.00172
36,22.98338,5.00152
37,24.56923,5.00135
38,26.2645,5.00119
39,28.07676,5.00105
40,30.01405,5.00093
41,32.08502,5.00082
42,34.29889,5.00072
43,36.66551,5.00064
44,39.19543,5.00056
45,41.89992,5.00049
46,44.79101,5.00044
47,47.88159,5.00038
48,51.18542,5.00034
49,54.71721,5.0003
50,58.4927,5.00026
51,62.5287,5.00023
52,66.84318,5.0002
53,71.45536,5.00018
54,76.38578,5.00016
55,81.6564,5.00014
56,87.29069,5.00012
57,93.31374,5.00011
58,99.75239,5.00009
59,106.6353,5.00008
60,113.9931,5.00007
61,121.8587,5.00006
62,130.2669,5.00006
63,139.2553,5.00005
64,148.864,5.00004
65,159.1356,5.00004
66,170.1159,5.00003
67,181.8539,5.00003
68,194.4018,5.00003
69,207.8156,5.00002
70,222.1548,5.00002
71,237.4835,5.00002
72,253.8699,5.00002
73,271.3869,5.00001
74,290.1126,5.00001
75,310.1304,5.00001
76,331.5294,5.00001
77,354.4049,5.00001
78,378.8588,5.00001
79,405.0001,5.00001
80,432.9451,5.00001
