,keV,f1
0,2.0035635,53.4743
1,2.0135813,53.5425
2,2.0236492,53.6094
3,2.0337675,53.675
4,2.0439363,53.7394
5,2.054156,53.8025
6,2.0644268,53.8641
7,2.0747489,53.9243
8,2.0851227,53.9832
9,2.0955483,54.0407
10,2.106026,54.0969
11,2.1165562,54.152
12,2.1271389,54.2057
13,2.1377746,54.2583
14,2.1484635,54.3098
15,2.1592058,54.3601
16,2.1700018,54.4093
17,2.1808519,54.4575
18,2.1917561,54.5045
19,2.2027149,54.5506
20,2.2137285,54.5957
21,2.2247971,54.6397
22,2.2359211,54.6827
23,2.2471007,54.7246
24,2.2583362,54.7654
25,2.2696279,54.8053
26,2.280976,54.8442
27,2.2923809,54.8821
28,2.3038428,54.9191
29,2.315362,54.9552
30,2.3269388,54.9904
31,2.3385735,55.0247
32,2.3502664,55.0582
33,2.3620177,55.0909
34,2.3738278,55.1227
35,2.385697,55.1538
36,2.3976254,55.1841
37,2.4096136,55.2137
38,2.4216616,55.2426
39,2.4337699,55.2707
40,2.4459388,55.2982
41,2.4581685,55.3251
42,2.4704593,55.3513
43,2.4828116,55.3768
44,2.4952257,55.4018
45,2.5077018,55.4262
46,2.5202403,55.4501
47,2.5328415,55.4734
48,2.5455057,55.4962
49,2.5582333,55.5185
50,2.5710244,55.5404
51,2.5838796,55.5618
52,2.596799,55.6852
53,2.6097829,55.7063
54,2.6228319,55.7268
55,2.635946,55.7467
56,2.6491257,55.7661
57,2.6623714,55.7849
58,2.6756832,55.8032
59,2.6890617,55.8211
60,2.702507,55.8385
61,2.7160195,55.8555
62,2.7295996,55.8721
63,2.7432476,55.8884
64,2.7569638,55.9043
65,2.7707486,55.92
66,2.7846024,55.9354
67,2.7985254,55.9506
68,2.812518,56.0125
69,2.8265806,56.0276
70,2.8407135,56.0425
71,2.8549171,56.0573
72,2.8691917,56.072
73,2.8835376,56.0868
74,2.8979553,56.1016
75,2.9124451,56.1167
76,2.9270073,56.1323
77,2.9416424,56.1642
78,2.9563506,56.1826
79,2.9711323,56.2027
80,2.985988,56.2254
81,3.0009179,56.2662
82,3.0159225,56.2762
83,3.0310021,56.2847
84,3.0461571,56.292
85,3.0613879,56.2981
86,3.0766949,56.3033
87,3.0920783,56.3075
88,3.1075387,56.3109
89,3.1230764,56.3136
90,3.1386918,56.3154
91,3.1543853,56.3367
92,3.1701572,56.3375
93,3.186008,56.3375
94,3.201938,56.3368
95,3.2179477,56.3355
96,3.2340374,56.3336
97,3.2502076,56.331
98,3.2664587,56.3279
99,3.282791,56.3242
100,3.2992049,56.32
101,3.3157009,56.3152
102,3.3322794,56.31
103,3.3489408,56.3042
104,3.3656856,56.2979
105,3.382514,56.2912
106,3.3994265,56.284
107,3.4164237,56.2763
108,3.4335058,56.2682
109,3.4506733,56.2597
110,3.4679267,56.2507
111,3.4852663,56.2413
112,3.5026927,56.2315
113,3.5202061,56.2213
114,3.5378072,56.2107
115,3.5554962,56.1997
116,3.5732737,56.1883
117,3.59114,56.1766
118,3.6090957,56.1645
119,3.6271412,56.152
120,3.6452769,56.1391
121,3.6635033,56.1259
122,3.6818208,56.1124
123,3.7002299,56.0985
124,3.7187311,56.0842
125,3.7373247,56.0696
126,3.7560114,56.0547
127,3.7747914,56.0394
128,3.7936654,56.0239
129,3.8126337,56.008
130,3.8316969,55.9917
131,3.8508554,55.9752
132,3.8701096,55.9584
133,3.8894602,55.9412
134,3.9089075,55.9237
135,3.928452,55.9059
136,3.9480943,55.8876
137,3.9678347,55.8688
138,3.9876739,55.8496
139,4.055024,55.8798
140,4.334821,55.5364
141,4.633924,55.0956
142,4.953664,54.5257
143,5.295467,53.7453
144,5.660855,52.5236
145,6.051453,49.6236
146,6.083742,49.0992
147,6.176861,45.9862
148,6.201692,42.3756
149,6.23894,45.9501
150,6.332058,49.0157
151,6.469004,50.323
152,6.58707,50.4754
153,6.687892,49.4518
154,6.714778,47.7614
155,6.755107,49.7211
156,6.85593,51.6041
157,6.915365,52.118
158,6.98348,52.4797
159,7.09037,52.4047
160,7.118874,51.6595
161,7.16163,52.7687
162,7.26852,54.0478
163,7.392525,54.8829
164,7.902609,56.8673
165,8.44789,58.0697
166,9.030794,58.8974
167,9.653919,59.4525
168,10.32004,59.8121
169,11.03212,60.0465
170,11.79334,60.196
171,12.60708,60.3595
172,13.47697,60.4387
173,14.40688,60.474
174,15.40095,60.4403
175,16.46362,60.3808
176,17.59961,60.3052
177,18.81398,60.2192
178,20.11215,60.1261
179,21.49988,60.0284
180,22.98338,59.9273
181,24.56923,59.8234
182,26.2645,59.7171
183,28.07676,59.6126
184,30.01405,59.4862
185,32.08502,59.339
186,34.29889,59.1595
187,36.66551,58.9249
188,39.19543,58.572
189,41.89992,57.813
190,42.69752,57.2777
191,43.35106,56.0865
192,43.52533,54.659
193,43.78675,56.1019
194,44.44028,57.4061
195,44.79101,57.7322
196,47.88159,58.9643
197,51.18542,59.4877
198,54.71721,59.7971
199,58.4927,59.9994
200,62.5287,60.1336
201,66.84318,60.2238
202,71.45536,60.284
203,76.38578,60.3235
204,81.6564,60.349
205,87.29069,60.3916
206,93.31374,60.392
207,99.75239,60.3843
208,106.6353,60.3715
209,113.9931,60.3552
210,121.8587,60.3369
211,130.2669,60.3175
212,139.2553,60.2975
