,keV,f1
0,2.0035635,53.3762
1,2.0135813,53.4641
2,2.0236492,53.5507
3,2.0337675,53.636
4,2.0439363,53.7201
5,2.054156,54.0324
6,2.0644268,54.1145
7,2.0747489,54.1948
8,2.0851227,54.2733
9,2.0955483,54.3502
10,2.106026,54.5801
11,2.1165562,54.654
12,2.1271389,54.7261
13,2.1377746,54.7965
14,2.1484635,54.8651
15,2.1592058,54.9318
16,2.1700018,54.9968
17,2.1808519,55.06
18,2.1917561,55.1217
19,2.2027149,55.1819
20,2.2137285,55.2405
21,2.2247971,55.2978
22,2.2359211,55.3536
23,2.2471007,55.4081
24,2.2583362,55.4613
25,2.2696279,55.5133
26,2.280976,55.564
27,2.2923809,55.6134
28,2.3038428,55.6614
29,2.315362,55.7083
30,2.3269388,55.754
31,2.3385735,55.7984
32,2.3502664,55.8418
33,2.3620177,55.884
34,2.3738278,55.9252
35,2.385697,55.9653
36,2.3976254,56.0044
37,2.4096136,56.0425
38,2.4216616,56.0797
39,2.4337699,56.1159
40,2.4459388,56.1512
41,2.4581685,56.1857
42,2.4704593,56.2192
43,2.4828116,56.252
44,2.4952257,56.2839
45,2.5077018,56.3151
46,2.5202403,56.3455
47,2.5328415,56.3751
48,2.5455057,56.4041
49,2.5582333,56.4324
50,2.5710244,56.46
51,2.5838796,56.487
52,2.596799,56.5133
53,2.6097829,56.5391
54,2.6228319,56.5643
55,2.635946,56.589
56,2.6491257,56.6132
57,2.6623714,56.6369
58,2.6756832,56.6601
59,2.6890617,56.683
60,2.702507,56.7054
61,2.7160195,56.8219
62,2.7295996,56.8437
63,2.7432476,56.865
64,2.7569638,56.8858
65,2.7707486,56.9061
66,2.7846024,56.9259
67,2.7985254,56.9453
68,2.812518,56.9644
69,2.8265806,56.9831
70,2.8407135,57.0015
71,2.8549171,57.0196
72,2.8691917,57.0375
73,2.8835376,57.0553
74,2.8979553,57.073
75,2.9124451,57.0906
76,2.9270073,57.1082
77,2.9416424,57.126
78,2.9563506,57.1955
79,2.9711323,57.2142
80,2.985988,57.2332
81,3.0009179,57.2688
82,3.0159225,57.3099
83,3.0310021,57.3283
84,3.0461571,57.3431
85,3.0613879,57.3556
86,3.0766949,57.3663
87,3.0920783,57.3755
88,3.1075387,57.3833
89,3.1230764,57.39
