,keV,f1
0,2.0035635,53.6323
1,2.0135813,53.7358
2,2.0236492,53.837
3,2.0337675,53.936
4,2.0439363,54.0331
5,2.054156,54.1284
6,2.0644268,54.2218
7,2.0747489,54.3136
8,2.0851227,54.4038
9,2.0955483,54.4924
10,2.106026,54.5796
11,2.1165562,54.6653
12,2.1271389,54.7497
13,2.1377746,54.8329
14,2.1484635,54.9148
15,2.1592058,54.9955
16,2.1700018,55.2956
17,2.1808519,55.3737
18,2.1917561,55.4502
19,2.2027149,55.525
20,2.2137285,55.7481
21,2.2247971,55.8202
22,2.2359211,55.8904
23,2.2471007,55.9589
24,2.2583362,56.0256
25,2.2696279,56.0905
26,2.280976,56.1536
27,2.2923809,56.2152
28,2.3038428,56.2753
29,2.315362,56.3339
30,2.3269388,56.391
31,2.3385735,56.4468
32,2.3502664,56.5012
33,2.3620177,56.5543
34,2.3738278,56.6062
35,2.385697,56.6569
36,2.3976254,56.7064
37,2.4096136,56.7547
38,2.4216616,56.802
39,2.4337699,56.8482
40,2.4459388,56.8933
41,2.4581685,56.9372
42,2.4704593,56.9801
43,2.4828116,57.0218
44,2.4952257,57.0626
45,2.5077018,57.1023
46,2.5202403,57.1411
47,2.5328415,57.1789
48,2.5455057,57.2158
49,2.5582333,57.2518
50,2.5710244,57.2869
51,2.5838796,57.3213
52,2.596799,57.3548
53,2.6097829,57.3875
54,2.6228319,57.4195
55,2.635946,57.4507
56,2.6491257,57.4813
57,2.6623714,57.5112
58,2.6756832,57.5404
59,2.6890617,57.5691
60,2.702507,57.5971
61,2.7160195,57.6247
62,2.7295996,57.6516
63,2.7432476,57.6781
64,2.7569638,57.7042
65,2.7707486,57.7298
66,2.7846024,57.7551
67,2.7985254,57.78
68,2.812518,57.8046
69,2.8265806,57.8289
70,2.8407135,57.9556
71,2.8549171,57.9802
72,2.8691917,58.0046
73,2.8835376,58.0289
74,2.8979553,58.0531
75,2.9124451,58.0774
76,2.9270073,58.1021
77,2.9416424,58.1275
78,2.9563506,58.154
79,2.9711323,58.183
80,2.985988,58.2179
81,3.0009179,58.2834
82,3.0159225,58.301
83,3.0310021,58.3166
84,3.0461571,58.3307
85,3.0613879,58.3436
86,3.0766949,58.3556
87,3.0920783,58.4146
88,3.1075387,58.4249
89,3.1230764,58.4343
90,3.1386918,58.4427
91,3.1543853,58.4503
92,3.1701572,58.457
93,3.186008,58.4629
94,3.201938,58.4681
95,3.2179477,58.4725
96,3.2340374,58.4763
97,3.2502076,58.4793
98,3.2664587,58.4817
99,3.282791,58.4834
100,3.2992049,58.4846
101,3.3157009,58.4851
102,3.3322794,58.485
103,3.3489408,58.4844
104,3.3656856,58.4832
105,3.382514,58.4816
106,3.3994265,58.4793
107,3.4164237,58.4766
108,3.4335058,58.4735
109,3.4506733,58.4903
110,3.4679267,58.4863
111,3.4852663,58.4818
112,3.5026927,58.4768
113,3.5202061,58.4713
114,3.5378072,58.4653
115,3.5554962,58.4588
116,3.5732737,58.4519
117,3.59114,58.4445
118,3.6090957,58.4367
119,3.6271412,58.4285
120,3.6452769,58.4198
121,3.6635033,58.4107
122,3.6818208,58.4012
123,3.7002299,58.3914
124,3.7187311,58.3811
125,3.7373247,58.3704
126,3.7560114,58.3594
127,3.7747914,58.348
128,3.7936654,58.3362
129,3.8126337,58.3241
130,3.8316969,58.3116
131,3.8508554,58.2987
132,3.8701096,58.2855
133,3.8894602,58.272
134,3.9089075,58.2581
135,3.928452,58.2439
136,3.9480943,58.2293
137,3.9678347,58.2144
138,3.9876739,58.1992
139,4.055024,58.4761
140,4.334821,58.18
141,4.633924,57.8318
142,4.953664,57.4103
143,5.295467,56.8644
144,5.660855,56.1302
145,6.051453,55.0264
146,6.469004,52.7472
147,6.581876,51.376
148,6.682619,48.2974
149,6.709484,44.7163
150,6.749781,48.2774
151,6.850524,51.3435
152,6.915365,52.1218
153,7.165564,52.8838
154,7.275241,51.8181
155,7.304488,50.1326
156,7.348359,52.0594
157,7.392525,53.0809
158,7.458036,53.8886
159,7.582064,54.6545
160,7.698116,54.5824
161,7.729063,53.8405
162,7.775484,54.9428
163,7.891536,56.2108
164,7.902609,56.292
165,8.44789,58.6461
166,9.030794,60.0049
167,9.653919,60.8642
168,10.32004,61.4251
169,11.03212,61.7932
170,11.79334,62.0339
171,12.60708,62.1879
172,13.47697,62.3534
173,14.40688,62.3992
174,15.40095,62.4411
175,16.46362,62.4459
176,17.59961,62.3903
177,18.81398,62.3177
178,20.11215,62.2344
179,21.49988,62.144
180,22.98338,62.0492
181,24.56923,61.9516
182,26.2645,61.8538
183,28.07676,61.7569
184,30.01405,61.6432
185,32.08502,61.5154
