,keV,f1
0,2.0035635,53.6983
1,2.0135813,53.8186
2,2.0236492,53.9365
3,2.0337675,54.0521
4,2.0439363,54.1657
5,2.054156,54.2773
6,2.0644268,54.387
7,2.0747489,54.4951
8,2.0851227,54.6017
9,2.0955483,54.707
10,2.106026,54.8106
11,2.1165562,54.9118
12,2.1271389,55.011
13,2.1377746,55.1081
14,2.1484635,55.2033
15,2.1592058,55.2968
16,2.1700018,55.3885
17,2.1808519,55.4787
18,2.1917561,55.5672
19,2.2027149,55.6543
20,2.2137285,55.74
21,2.2247971,55.8243
22,2.2359211,55.9072
23,2.2471007,55.989
24,2.2583362,56.0695
25,2.2696279,56.369
26,2.280976,56.447
27,2.2923809,56.5233
28,2.3038428,56.5981
29,2.315362,56.6713
30,2.3269388,56.8928
31,2.3385735,56.9633
32,2.3502664,57.0319
33,2.3620177,57.0988
34,2.3738278,57.1639
35,2.385697,57.2274
36,2.3976254,57.2893
37,2.4096136,57.3497
38,2.4216616,57.4087
39,2.4337699,57.4662
40,2.4459388,57.5225
41,2.4581685,57.5774
42,2.4704593,57.6311
43,2.4828116,57.6835
44,2.4952257,57.7348
45,2.5077018,57.7851
46,2.5202403,57.8341
47,2.5328415,57.882
48,2.5455057,57.9287
49,2.5582333,57.9743
50,2.5710244,58.0188
51,2.5838796,58.0623
52,2.596799,58.1048
53,2.6097829,58.1463
54,2.6228319,58.1869
55,2.635946,58.2266
56,2.6491257,58.2654
57,2.6623714,58.3033
58,2.6756832,58.3405
59,2.6890617,58.3768
60,2.702507,58.4125
61,2.7160195,58.4474
62,2.7295996,58.4816
63,2.7432476,58.5153
64,2.7569638,58.5483
65,2.7707486,58.5807
66,2.7846024,58.6127
67,2.7985254,58.6441
68,2.812518,58.6752
69,2.8265806,58.7058
70,2.8407135,58.7361
71,2.8549171,58.7662
72,2.8691917,58.796
73,2.8835376,58.8257
74,2.8979553,58.8553
75,2.9124451,58.885
76,2.9270073,58.9148
77,2.9416424,58.945
78,2.9563506,58.9756
79,2.9711323,59.1179
80,2.985988,59.1515
81,3.0009179,59.188
82,3.0159225,59.2104
83,3.0310021,59.2313
84,3.0461571,59.2511
85,3.0613879,59.2696
86,3.0766949,59.287
87,3.0920783,59.3033
88,3.1075387,59.3186
89,3.1230764,59.3329
90,3.1386918,59.3464
91,3.1543853,59.3589
92,3.1701572,59.3707
93,3.186008,59.3816
94,3.201938,59.3918
95,3.2179477,59.4012
96,3.2340374,59.4577
97,3.2502076,59.4661
98,3.2664587,59.4737
99,3.282791,59.4804
100,3.2992049,59.4863
101,3.3157009,59.4915
102,3.3322794,59.4959
103,3.3489408,59.4997
104,3.3656856,59.5027
105,3.382514,59.5051
106,3.3994265,59.5069
107,3.4164237,59.5081
108,3.4335058,59.5087
109,3.4506733,59.5087
110,3.4679267,59.5082
111,3.4852663,59.5071
112,3.5026927,59.5055
113,3.5202061,59.5034
114,3.5378072,59.5008
115,3.5554962,59.4978
116,3.5732737,59.4942
117,3.59114,59.4903
118,3.6090957,59.5065
119,3.6271412,59.5018
120,3.6452769,59.4966
121,3.6635033,59.4909
122,3.6818208,59.4847
123,3.7002299,59.4781
124,3.7187311,59.471
125,3.7373247,59.4634
126,3.7560114,59.4555
127,3.7747914,59.4471
128,3.7936654,59.4383
129,3.8126337,59.4291
130,3.8316969,59.4195
131,3.8508554,59.4095
132,3.8701096,59.3991
133,3.8894602,59.3884
134,3.9089075,59.3773
135,3.928452,59.3658
136,3.9480943,59.3539
137,3.9678347,59.3417
138,3.9876739,59.3292
139,4.055024,59.6358
140,4.334821,59.3705
141,4.633924,59.0558
142,4.953664,58.6852
143,5.295467,58.2226
144,5.660855,57.6151
145,6.051453,56.7667
146,6.469004,55.3693
147,6.837362,52.4608
148,6.915365,50.6522
149,6.942016,49.4006
150,6.969923,45.8346
151,7.011785,49.3893
152,7.116438,52.4556
153,7.392525,54.1115
154,7.464758,54.0325
155,7.579014,52.9494
156,7.609483,51.2685
157,7.655185,53.1756
158,7.769442,54.9778
159,7.89096,55.6937
160,7.902609,55.7303
161,8.01174,55.6299
162,8.043948,54.8926
163,8.09226,55.9907
164,8.21304,57.2565
165,8.44789,58.5224
166,9.030794,60.3515
167,9.653919,61.4328
168,10.32004,62.1312
169,11.03212,62.597
170,11.79334,62.9021
171,12.60708,63.1004
172,13.47697,63.2258
173,14.40688,63.3696
174,15.40095,63.4331
175,16.46362,63.4567
176,17.59961,63.4161
177,18.81398,63.3537
178,20.11215,63.2776
179,21.49988,63.1925
180,22.98338,63.1018
181,24.56923,63.0078
182,26.2645,62.9135
183,28.07676,62.8223
184,30.01405,62.7126
185,32.08502,62.5915
186,34.29889,62.4558
187,36.66551,62.2983
188,39.19543,62.1028
189,41.89992,61.837
190,44.79101,61.399
191,47.54862,60.328
192,47.88159,59.9783
193,48.27641,59.1554
194,48.47048,57.7507
195,48.7616,59.1703
196,49.48938,60.4533
197,51.18542,61.4212
198,54.71721,62.222
199,58.4927,62.6336
200,62.5287,62.8888
201,66.84318,63.0578
202,71.45536,63.1711
203,76.38578,63.2479
204,81.6564,63.3021
205,87.29069,63.3337
206,93.31374,63.3506
207,99.75239,63.3867
208,106.6353,63.3832
209,113.9931,63.3731
210,121.8587,63.3589
211,130.2669,63.342
212,139.2553,63.3234
213,148.864,63.304
214,159.1356,63.2843
215,170.1159,63.2647
216,181.8539,63.2454
217,194.4018,63.2268
218,207.8156,63.2088
219,222.1548,63.1916
220,237.4835,63.1759
221,253.8699,63.1612
222,271.3869,63.1477
223,290.1126,63.1351
224,310.1304,63.1234
225,331.5294,63.1127
226,354.4049,63.1028
227,378.8588,63.0936
228,405.0001,63.0852
229,432.9451,63.0775
