,keV,f1
0,2.0035635,53.6394
1,2.0135813,53.7909
2,2.0236492,53.9373
3,2.0337675,54.0792
4,2.0439363,54.217
5,2.054156,54.3512
6,2.0644268,54.4819
7,2.0747489,54.6095
8,2.0851227,54.7342
9,2.0955483,54.8562
10,2.106026,54.9756
11,2.1165562,55.0926
12,2.1271389,55.2073
13,2.1377746,55.3199
14,2.1484635,55.4305
15,2.1592058,55.5393
16,2.1700018,55.6464
17,2.1808519,55.7519
18,2.1917561,55.856
19,2.2027149,55.9585
20,2.2137285,56.0586
21,2.2247971,56.1566
22,2.2359211,56.2525
23,2.2471007,56.3466
24,2.2583362,56.4389
25,2.2696279,56.5294
26,2.280976,56.6183
27,2.2923809,56.7056
28,2.3038428,56.7914
29,2.315362,56.8757
30,2.3269388,56.9586
31,2.3385735,57.0402
32,2.3502664,57.1205
33,2.3620177,57.1996
34,2.3738278,57.4955
35,2.385697,57.5721
36,2.3976254,57.6471
37,2.4096136,57.7206
38,2.4216616,57.7926
39,2.4337699,57.8632
40,2.4459388,58.0807
41,2.4581685,58.1483
42,2.4704593,58.2142
43,2.4828116,58.2783
44,2.4952257,58.3409
45,2.5077018,58.402
46,2.5202403,58.4617
47,2.5328415,58.5199
48,2.5455057,58.5768
49,2.5582333,58.6324
50,2.5710244,58.6868
51,2.5838796,58.74
52,2.596799,58.792
53,2.6097829,58.8429
54,2.6228319,58.8927
55,2.635946,58.9415
56,2.6491257,58.9893
57,2.6623714,59.036
58,2.6756832,59.0817
59,2.6890617,59.1263
60,2.702507,59.17
61,2.7160195,59.2127
62,2.7295996,59.2546
63,2.7432476,59.2955
64,2.7569638,59.3356
65,2.7707486,59.375
66,2.7846024,59.4135
67,2.7985254,59.4514
68,2.812518,59.4885
69,2.8265806,59.525
70,2.8407135,59.561
71,2.8549171,59.5963
72,2.8691917,59.6312
73,2.8835376,59.6655
74,2.8979553,59.6995
75,2.9124451,59.7331
76,2.9270073,59.7664
77,2.9416424,59.7994
78,2.9563506,59.8323
79,2.9711323,59.8651
80,2.985988,59.898
81,3.0009179,59.9312
82,3.0159225,59.9661
83,3.0310021,59.9971
84,3.0461571,60.0255
85,3.0613879,60.0522
86,3.0766949,60.0773
87,3.0920783,60.2037
88,3.1075387,60.2269
89,3.1230764,60.2486
90,3.1386918,60.269
91,3.1543853,60.2883
92,3.1701572,60.3063
93,3.186008,60.3233
94,3.201938,60.3392
95,3.2179477,60.3542
96,3.2340374,60.3682
97,3.2502076,60.3813
98,3.2664587,60.3936
