,keV,f1
0,2.0035635,53.179
1,2.0135813,53.4106
2,2.0236492,53.6213
3,2.0337675,53.8172
4,2.0439363,54.0019
5,2.054156,54.1777
6,2.0644268,54.3459
7,2.0747489,54.5082
8,2.0851227,54.6662
9,2.0955483,54.8205
10,2.106026,54.97
11,2.1165562,55.1146
12,2.1271389,55.2548
13,2.1377746,55.391
14,2.1484635,55.5237
15,2.1592058,55.653
16,2.1700018,55.7793
17,2.1808519,55.9026
18,2.1917561,56.0233
19,2.2027149,56.1415
20,2.2137285,56.2573
21,2.2247971,56.3709
22,2.2359211,56.4824
23,2.2471007,56.5919
24,2.2583362,56.6995
25,2.2696279,56.8055
26,2.280976,56.9099
27,2.2923809,57.0129
28,2.3038428,57.1145
29,2.315362,57.2137
30,2.3269388,57.3108
31,2.3385735,57.4059
32,2.3502664,57.4991
33,2.3620177,57.5905
34,2.3738278,57.6802
35,2.385697,57.7683
36,2.3976254,57.8547
37,2.4096136,57.9397
38,2.4216616,58.0231
39,2.4337699,58.1052
40,2.4459388,58.186
41,2.4581685,58.2654
42,2.4704593,58.3436
43,2.4828116,58.6401
44,2.4952257,58.716
45,2.5077018,58.7903
46,2.5202403,58.863
47,2.5328415,58.9343
48,2.5455057,59.0042
49,2.5582333,59.2221
50,2.5710244,59.2892
51,2.5838796,59.3545
52,2.596799,59.4182
53,2.6097829,59.4804
54,2.6228319,59.5411
55,2.635946,59.6004
56,2.6491257,59.6584
57,2.6623714,59.715
58,2.6756832,59.7704
59,2.6890617,59.8246
60,2.702507,59.8777
61,2.7160195,59.9296
62,2.7295996,59.9805
63,2.7432476,60.0304
64,2.7569638,60.0793
65,2.7707486,60.1273
66,2.7846024,60.1743
67,2.7985254,60.2204
68,2.812518,60.2655
69,2.8265806,60.3097
70,2.8407135,60.3531
71,2.8549171,60.3958
72,2.8691917,60.4377
73,2.8835376,60.4789
74,2.8979553,60.5195
75,2.9124451,60.5595
76,2.9270073,60.5992
77,2.9416424,60.6384
78,2.9563506,60.6775
79,2.9711323,60.7165
80,2.985988,60.7557
81,3.0009179,60.7956
82,3.0159225,60.8359
83,3.0310021,60.8734
84,3.0461571,60.9086
85,3.0613879,60.9417
86,3.0766949,60.9732
87,3.0920783,61.003
88,3.1075387,61.0315
89,3.1230764,61.0586
90,3.1386918,61.0844
91,3.1543853,61.1091
92,3.1701572,61.1328
93,3.186008,61.1554
94,3.201938,61.177
95,3.2179477,61.1978
96,3.2340374,61.3211
97,3.2502076,61.3406
98,3.2664587,61.359
99,3.282791,61.3763
100,3.2992049,61.3925
101,3.3157009,61.4078
102,3.3322794,61.422
103,3.3489408,61.4354
104,3.3656856,61.4479
105,3.382514,61.4596
106,3.3994265,61.4705
107,3.4164237,61.4807
108,3.4335058,61.4901
109,3.4506733,61.4988
110,3.4679267,61.5069
111,3.4852663,61.5143
112,3.5026927,61.5211
113,3.5202061,61.5273
114,3.5378072,61.5803
115,3.5554962,61.5858
116,3.5732737,61.5905
117,3.59114,61.5945
118,3.6090957,61.5978
119,3.6271412,61.6004
120,3.6452769,61.6023
121,3.6635033,61.6036
122,3.6818208,61.6044
123,3.7002299,61.6045
124,3.7187311,61.6041
125,3.7373247,61.6031
126,3.7560114,61.6016
127,3.7747914,61.5996
128,3.7936654,61.5971
129,3.8126337,61.5941
130,3.8316969,61.5907
131,3.8508554,61.5868
132,3.8701096,61.5824
133,3.8894602,61.5776
134,3.9089075,61.5724
135,3.928452,61.5668
136,3.9480943,61.5835
137,3.9678347,61.5773
138,3.9876739,61.5705
139,4.055024,61.9269
140,4.334821,61.7228
141,4.633924,61.4665
142,4.953664,61.1604
143,5.295467,60.7991
144,5.660855,60.3598
145,6.051453,59.7832
146,6.469004,58.9836
147,6.915365,57.7015
148,7.36372,54.6368
149,7.392525,54.1724
150,7.47643,51.6171
151,7.506486,48.0919
152,7.55157,51.6124
153,7.66428,54.6597
154,7.902609,56.2924
155,8.086568,56.3069
156,8.210342,55.1953
157,8.243349,53.5209
158,8.292858,55.4015
159,8.416632,57.1642
160,8.44789,57.3859
161,8.53384,57.7981
162,8.66446,57.7495
163,8.699292,57.0199
164,8.75154,58.1155
165,8.88216,59.3813
166,9.030794,60.2005
167,9.653919,62.1877
168,10.32004,63.3585
169,11.03212,64.0963
170,11.79334,64.5643
171,12.60708,64.8759
172,13.47697,65.0801
173,14.40688,65.2095
174,15.40095,65.3548
175,16.46362,65.3846
176,17.59961,65.4482
177,18.81398,65.4127
178,20.11215,65.3547
179,21.49988,65.2827
180,22.98338,65.202
181,24.56923,65.1162
182,26.2645,65.0301
183,28.07676,64.9464
184,30.01405,64.8428
185,32.08502,64.7303
186,34.29889,64.6085
187,36.66551,64.4733
188,39.19543,64.3176
189,41.89992,64.1253
190,44.79101,63.8653
191,47.88159,63.4418
192,50.95579,62.3594
193,51.18542,62.1547
194,51.73572,61.1993
195,51.94371,59.8099
196,52.25568,61.214
197,53.03561,62.4827
198,54.71721,63.3932
199,58.4927,64.2121
200,62.5287,64.6272
201,66.84318,64.8831
202,71.45536,65.0525
203,76.38578,65.1669
204,81.6564,65.2468
205,87.29069,65.2984
206,93.31374,65.3289
207,99.75239,65.3454
208,106.6353,65.3814
209,113.9931,65.3781
210,121.8587,65.3683
211,130.2669,65.3544
212,139.2553,65.3378
213,148.864,65.3196
214,159.1356,65.3004
215,170.1159,65.281
216,181.8539,65.2617
217,194.4018,65.2427
218,207.8156,65.2242
219,222.1548,65.2063
220,237.4835,65.1893
221,253.8699,65.1737
222,271.3869,65.1593
223,290.1126,65.1459
224,310.1304,65.1335
225,331.5294,65.1221
226,354.4049,65.1115
227,378.8588,65.1017
228,405.0001,65.0928
