,keV,f1
0,2.0035635,53.0912
1,2.0135813,53.1611
2,2.0236492,53.1904
3,2.0337675,53.1357
4,2.0432385,52.7952
5,2.0439363,52.7239
6,2.0503613,52.8942
7,2.054156,53.2252
8,2.0644268,53.7063
9,2.0747489,54.0275
10,2.0851227,54.2903
11,2.0955483,54.5215
12,2.106026,54.7324
13,2.1165562,54.9288
14,2.1271389,55.1141
15,2.1377746,55.2905
16,2.1484635,55.4593
17,2.1592058,55.6224
18,2.1700018,55.781
19,2.1808519,55.936
20,2.1917561,56.0858
21,2.2027149,56.2307
22,2.2137285,56.3713
23,2.2247971,56.5079
24,2.2359211,56.6409
25,2.2471007,56.7706
26,2.2583362,56.8971
27,2.2696279,57.0207
28,2.280976,57.1417
29,2.2923809,57.26
30,2.3038428,57.3759
31,2.315362,57.4896
32,2.3269388,57.6011
33,2.3385735,57.7105
34,2.3502664,57.8181
35,2.3620177,57.9238
36,2.3738278,58.0279
37,2.385697,58.1305
38,2.3976254,58.2317
39,2.4096136,58.3307
40,2.4216616,58.4276
41,2.4337699,58.5224
42,2.4459388,58.6153
43,2.4581685,58.7064
44,2.4704593,58.7958
45,2.4828116,58.8835
46,2.4952257,58.9696
47,2.5077018,59.0542
48,2.5202403,59.1374
49,2.5328415,59.2191
50,2.5455057,59.2994
51,2.5582333,59.3784
52,2.5710244,59.4562
53,2.5838796,59.5328
54,2.596799,59.828
55,2.6097829,59.9021
56,2.6228319,59.9746
57,2.635946,60.0456
58,2.6491257,60.1154
59,2.6623714,60.1838
60,2.6756832,60.3943
61,2.6890617,60.4596
62,2.702507,60.5233
63,2.7160195,60.5855
64,2.7295996,60.6463
65,2.7432476,60.7057
66,2.7569638,60.7638
67,2.7707486,60.8207
68,2.7846024,60.8763
69,2.7985254,60.9309
70,2.812518,60.9843
71,2.8265806,61.0368
72,2.8407135,61.0882
73,2.8549171,61.1387
74,2.8691917,61.1884
75,2.8835376,61.2372
76,2.8979553,61.2854
77,2.9124451,61.3328
78,2.9270073,61.3795
79,2.9416424,61.4255
80,2.9563506,61.4711
81,2.9711323,61.5162
82,2.985988,61.5613
83,3.0009179,61.6075
84,3.0159225,61.6638
85,3.0310021,61.7137
86,3.0461571,61.7593
87,3.0613879,61.8015
88,3.0766949,61.841
89,3.0920783,61.8782
90,3.1075387,61.9134
91,3.1230764,61.9468
92,3.1386918,61.9786
93,3.1543853,62.0089
94,3.1701572,62.0378
95,3.186008,62.0654
96,3.201938,62.0918
97,3.2179477,62.1171
98,3.2340374,62.1413
99,3.2502076,62.1646
100,3.2664587,62.1868
101,3.282791,62.2082
102,3.2992049,62.2287
103,3.3157009,62.2484
104,3.3322794,62.2674
105,3.3489408,62.2856
106,3.3656856,62.4074
107,3.382514,62.4245
108,3.3994265,62.4405
109,3.4164237,62.4556
110,3.4335058,62.4697
111,3.4506733,62.4829
112,3.4679267,62.4953
113,3.4852663,62.5068
114,3.5026927,62.5176
115,3.5202061,62.5276
116,3.5378072,62.5369
117,3.5554962,62.5456
118,3.5732737,62.5535
119,3.59114,62.5608
120,3.6090957,62.5675
121,3.6271412,62.5737
122,3.6452769,62.5792
123,3.6635033,62.5843
124,3.6818208,62.5888
125,3.7002299,62.6415
126,3.7187311,62.6452
127,3.7373247,62.6482
128,3.7560114,62.6506
129,3.7747914,62.6523
130,3.7936654,62.6534
131,3.8126337,62.6538
132,3.8316969,62.6537
133,3.8508554,62.6531
134,3.8701096,62.6519
135,3.8894602,62.6502
136,3.9089075,62.648
137,3.928452,62.6452
138,3.9480943,62.6421
139,3.9678347,62.6384
140,3.9876739,62.6343
141,4.055024,63.0127
142,4.334821,62.8643
143,4.633924,62.6369
144,4.953664,62.3597
145,5.295467,62.0314
146,5.660855,61.6424
147,6.051453,61.1523
148,6.469004,60.4954
149,6.915365,59.5372
150,7.392525,57.7675
151,7.634298,55.7189
152,7.75115,52.7186
153,7.78231,49.2132
154,7.829051,52.7159
155,7.902609,55.0591
156,7.945902,55.7528
157,8.408988,57.4449
158,8.44789,57.2929
159,8.537697,56.328
160,8.572019,54.6603
161,8.623503,56.5372
162,8.752212,58.2818
163,8.864884,58.8592
164,9.000571,58.7877
165,9.030794,58.3174
166,9.036754,58.0648
167,9.091029,59.1577
168,9.226716,60.4204
169,9.653919,62.252
170,10.32004,63.8114
