,keV,f1
0,2.0035635,52.9608
1,2.0135813,53.157
2,2.0236492,53.3351
3,2.0337675,53.5019
4,2.0439363,53.6573
5,2.054156,53.8004
6,2.0644268,53.93
7,2.0747489,54.0439
8,2.0851227,54.138
9,2.0955483,54.2047
10,2.106026,54.2263
11,2.1165562,54.1485
12,2.1244052,53.8523
13,2.1271389,53.4378
14,2.1321947,53.9589
15,2.1377746,54.3759
16,2.1484635,54.8132
17,2.1592058,55.1226
18,2.1700018,55.3804
19,2.1808519,55.6091
20,2.1917561,55.8188
21,2.2027149,56.0145
22,2.2137285,56.1996
23,2.2247971,56.3761
24,2.2359211,56.5451
25,2.2471007,56.7088
26,2.2583362,56.8683
27,2.2696279,57.0237
28,2.280976,57.1737
29,2.2923809,57.3191
30,2.3038428,57.4601
31,2.315362,57.5972
32,2.3269388,57.7308
33,2.3385735,57.861
34,2.3502664,57.9882
35,2.3620177,58.1124
36,2.3738278,58.234
37,2.385697,58.353
38,2.3976254,58.4696
39,2.4096136,58.5839
40,2.4216616,58.696
41,2.4337699,58.8061
42,2.4459388,58.9142
43,2.4581685,59.0205
44,2.4704593,59.1251
45,2.4828116,59.2282
46,2.4952257,59.3298
47,2.5077018,59.4298
48,2.5202403,59.5276
49,2.5328415,59.6233
50,2.5455057,59.7171
51,2.5582333,59.8091
52,2.5710244,59.8993
53,2.5838796,59.9879
54,2.596799,60.0748
55,2.6097829,60.1603
56,2.6228319,60.2443
57,2.635946,60.3268
58,2.6491257,60.4081
59,2.6623714,60.488
60,2.6756832,60.5667
61,2.6890617,60.6442
62,2.702507,60.7206
63,2.7160195,60.9983
64,2.7295996,61.0715
65,2.7432476,61.1433
66,2.7569638,61.2137
67,2.7707486,61.283
68,2.7846024,61.4922
69,2.7985254,61.5586
70,2.812518,61.6236
71,2.8265806,61.6872
72,2.8407135,61.7495
73,2.8549171,61.8106
74,2.8691917,61.8707
75,2.8835376,61.9297
76,2.8979553,61.9878
77,2.9124451,62.0452
78,2.9270073,62.102
79,2.9416424,62.1583
80,2.9563506,62.2144
81,2.9711323,62.2708
82,2.985988,62.3279
83,3.0009179,62.3911
84,3.0159225,62.4781
85,3.0310021,62.5382
86,3.0461571,62.5903
87,3.0613879,62.638
88,3.0766949,62.6828
89,3.0920783,62.7251
90,3.1075387,62.7655
91,3.1230764,62.804
92,3.1386918,62.8409
93,3.1543853,62.8762
94,3.1701572,62.9101
95,3.186008,62.9427
96,3.201938,62.974
97,3.2179477,63.0041
98,3.2340374,63.033
99,3.2502076,63.0608
100,3.2664587,63.0876
101,3.282791,63.1133
102,3.2992049,63.1381
103,3.3157009,63.1619
104,3.3322794,63.1848
105,3.3489408,63.2068
106,3.3656856,63.228
107,3.382514,63.2485
108,3.3994265,63.2681
109,3.4164237,63.287
110,3.4335058,63.3053
111,3.4506733,63.3228
112,3.4679267,63.3398
113,3.4852663,63.459
114,3.5026927,63.4754
115,3.5202061,63.4908
116,3.5378072,63.5051
117,3.5554962,63.5186
118,3.5732737,63.5312
119,3.59114,63.543
120,3.6090957,63.554
121,3.6271412,63.5643
122,3.6452769,63.5738
123,3.6635033,63.5826
124,3.6818208,63.5908
125,3.7002299,63.5983
126,3.7187311,63.6052
127,3.7373247,63.6115
128,3.7560114,63.6172
129,3.7747914,63.6224
130,3.7936654,63.6271
131,3.8126337,63.6313
132,3.8316969,63.6349
133,3.8508554,63.6885
134,3.8701096,63.6917
135,3.8894602,63.6941
136,3.9089075,63.6959
137,3.928452,63.697
138,3.9480943,63.6975
139,3.9678347,63.6975
140,3.9876739,63.6969
141,4.055024,64.0956
142,4.334821,63.9832
143,4.633924,63.7889
144,4.953664,63.542
145,5.295467,63.2455
146,5.660855,62.8946
147,6.051453,62.472
148,6.469004,61.9213
149,6.915365,61.1594
150,7.392525,59.9548
151,7.902609,56.9139
152,7.909678,56.8216
153,8.030745,53.8366
154,8.063029,50.3421
155,8.111456,53.8428
156,8.232522,56.8834
157,8.44789,58.4369
158,8.739444,58.615
159,8.873211,57.5023
160,8.908882,55.8405
161,8.962389,57.7058
162,9.030794,58.8604
163,9.096156,59.4438
164,9.206316,59.999
165,9.347229,59.9731
166,9.384806,59.2505
167,9.441171,60.3395
168,9.582084,61.5929
169,9.653919,61.9877
170,10.32004,64.0767
171,11.03212,65.2185
172,11.79334,65.9704
173,12.60708,66.4794
174,13.47697,66.8189
175,14.40688,67.0426
176,15.40095,67.1849
177,16.46362,67.3367
178,17.59961,67.3708
179,18.81398,67.4348
180,20.11215,67.4038
181,21.49988,67.3504
182,22.98338,67.2834
183,24.56923,67.2083
184,26.2645,67.1306
185,28.07676,67.0572
186,30.01405,66.9602
187,32.08502,66.8537
188,34.29889,66.7401
189,36.66551,66.6184
190,39.19543,66.4839
191,41.89992,66.3296
192,44.79101,66.1395
193,47.88159,65.8829
194,51.18542,65.4662
195,54.50534,64.3897
196,54.71721,64.2184
197,55.33961,63.2423
198,55.56208,61.8682
199,55.89579,63.2566
200,56.73005,64.5109
201,58.4927,65.3995
202,62.5287,66.2164
203,66.84318,66.6288
204,71.45536,66.8827
205,76.38578,67.0512
206,81.6564,67.1685
207,87.29069,67.2458
208,93.31374,67.2943
209,99.75239,67.3236
210,106.6353,67.3395
211,113.9931,67.3751
212,121.8587,67.3719
213,130.2669,67.3624
214,139.2553,67.3488
215,148.864,67.3325
216,159.1356,67.3146
217,170.1159,67.2959
218,181.8539,67.2768
219,194.4018,67.2578
220,207.8156,67.239
221,222.1548,67.2208
222,237.4835,67.2031
223,253.8699,67.1863
224,271.3869,67.1709
225,290.1126,67.1568
226,310.1304,67.1436
227,331.5294,67.1315
228,354.4049,67.1203
229,378.8588,67.1099
230,405.0001,67.1004
231,432.9451,67.0916
