,keV,f1
0,2.0035635,50.5184
1,2.0036337,50.5004
2,2.0079663,50.5651
3,2.0135813,51.4684
4,2.0236492,52.1751
5,2.0337675,52.6349
6,2.0439363,52.9986
7,2.054156,53.3076
8,2.0644268,53.5797
9,2.0747489,53.8235
10,2.0851227,54.0442
11,2.0955483,54.2441
12,2.106026,54.4238
13,2.1165562,54.5884
14,2.1271389,54.741
15,2.1377746,54.8801
16,2.1484635,55.0036
17,2.1592058,55.1081
18,2.1700018,55.1871
19,2.1808519,55.2263
20,2.1917561,55.186
21,2.2022856,54.8733
22,2.2027149,54.8392
23,2.2107145,54.9879
24,2.2137285,55.2349
25,2.2247971,55.7415
26,2.2359211,56.0726
27,2.2471007,56.3423
28,2.2583362,56.5792
29,2.2696279,56.7951
30,2.280976,56.9959
31,2.2923809,57.1853
32,2.3038428,57.3655
33,2.315362,57.5378
34,2.3269388,57.704
35,2.3385735,57.8655
36,2.3502664,58.0232
37,2.3620177,58.177
38,2.3738278,58.3257
39,2.385697,58.4699
40,2.3976254,58.6099
41,2.4096136,58.7462
42,2.4216616,58.8791
43,2.4337699,59.0087
44,2.4459388,59.1353
45,2.4581685,59.2591
46,2.4704593,59.3802
47,2.4828116,59.4988
48,2.4952257,59.6151
49,2.5077018,59.7291
50,2.5202403,59.8409
51,2.5328415,59.9507
52,2.5455057,60.0586
53,2.5582333,60.1646
54,2.5710244,60.2689
55,2.5838796,60.3715
56,2.596799,60.4727
57,2.6097829,60.5725
58,2.6228319,60.6703
59,2.635946,60.766
60,2.6491257,60.8597
61,2.6623714,60.9517
62,2.6756832,61.0419
63,2.6890617,61.1305
64,2.702507,61.2175
65,2.7160195,61.303
66,2.7295996,61.387
67,2.7432476,61.4697
68,2.7569638,61.551
69,2.7707486,61.631
70,2.7846024,61.7099
71,2.7985254,61.7876
72,2.812518,61.8643
73,2.8265806,62.151
74,2.8407135,62.2255
75,2.8549171,62.2989
76,2.8691917,62.3712
77,2.8835376,62.4424
78,2.8979553,62.5128
79,2.9124451,62.7315
80,2.9270073,62.8009
81,2.9416424,62.8699
82,2.9563506,62.9388
83,2.9711323,63.0083
84,2.985988,63.0795
85,3.0009179,63.155
86,3.0159225,63.2207
87,3.0310021,63.2811
88,3.0461571,63.3383
89,3.0613879,63.3929
90,3.0766949,63.4452
91,3.0920783,63.4955
92,3.1075387,63.5439
93,3.1230764,63.5904
94,3.1386918,63.6352
95,3.1543853,63.6785
96,3.1701572,63.7201
97,3.186008,63.7602
98,3.201938,63.7989
99,3.2179477,63.8361
100,3.2340374,63.872
101,3.2502076,63.9066
102,3.2664587,63.9399
103,3.282791,63.9721
104,3.2992049,64.0031
105,3.3157009,64.033
106,3.3322794,64.0618
107,3.3489408,64.0896
108,3.3656856,64.1163
109,3.382514,64.142
110,3.3994265,64.1668
111,3.4164237,64.1907
112,3.4335058,64.2137
113,3.4506733,64.2358
114,3.4679267,64.2571
115,3.4852663,64.2776
116,3.5026927,64.2973
117,3.5202061,64.3163
118,3.5378072,64.3346
119,3.5554962,64.3522
120,3.5732737,64.3692
121,3.59114,64.3855
122,3.6090957,64.4013
123,3.6271412,64.5202
124,3.6452769,64.5356
125,3.6635033,64.55
126,3.6818208,64.5634
127,3.7002299,64.5759
128,3.7187311,64.5876
129,3.7373247,64.5985
130,3.7560114,64.6087
131,3.7747914,64.6181
132,3.7936654,64.6267
133,3.8126337,64.6348
134,3.8316969,64.6421
135,3.8508554,64.6489
136,3.8701096,64.655
137,3.8894602,64.6606
138,3.9089075,64.6656
139,3.928452,64.6701
140,3.9480943,64.6741
141,3.9678347,64.6776
142,3.9876739,64.6807
143,4.055024,65.1585
144,4.334821,65.0633
145,4.633924,64.9252
146,4.953664,64.707
147,5.295467,64.4383
148,5.660855,64.1184
149,6.051453,63.7384
150,6.469004,63.2673
151,6.915365,62.6355
152,7.392525,61.7181
153,7.902609,60.0572
154,8.190742,57.8968
155,8.31611,54.9282
156,8.349542,51.4509
157,8.399689,54.9359
158,8.44789,56.6313
159,8.525058,57.9659
160,9.030794,59.8477
161,9.079014,59.7452
162,9.217979,58.6124
163,9.255036,56.949
164,9.310622,58.8004
165,9.449586,60.5211
166,9.556274,61.0405
167,9.653919,61.1845
168,9.702543,61.0288
169,9.741549,60.3128
170,9.800056,61.3998
171,9.946326,62.6541
172,10.32004,64.1771
173,11.03212,65.693
174,11.79334,66.6121
175,12.60708,67.2371
176,13.47697,67.6565
177,14.40688,67.9349
178,15.40095,68.1159
179,16.46362,68.2286
180,17.59961,68.355
181,18.81398,68.4065
182,20.11215,68.4211
183,21.49988,68.3798
184,22.98338,68.3214
185,24.56923,68.253
186,26.2645,68.1838
187,28.07676,68.1129
188,30.01405,68.017
189,32.08502,67.9127
190,34.29889,67.8019
191,36.66551,67.6845
192,39.19543,67.557
193,41.89992,67.4143
194,44.79101,67.2454
195,47.88159,67.0286
196,51.18542,66.7132
197,54.71721,66.0951
198,56.33579,65.4055
199,57.19807,64.2643
200,57.42801,62.8976
201,57.77293,64.279
202,58.4927,65.4056
203,58.63521,65.5268
204,62.5287,66.9049
205,66.84318,67.4553
206,71.45536,67.7716
207,76.38578,67.9759
208,81.6564,68.1195
209,87.29069,68.212
210,93.31374,68.2714
211,99.75239,68.3086
212,106.6353,68.3301
213,113.9931,68.3409
214,121.8587,68.3712
215,130.2669,68.3646
216,139.2553,68.3529
217,148.864,68.338
218,159.1356,68.321
219,170.1159,68.3027
220,181.8539,68.2839
221,194.4018,68.265
222,207.8156,68.2463
223,222.1548,68.2279
224,237.4835,68.2101
225,253.8699,68.1928
226,271.3869,68.1769
227,290.1126,68.1622
228,310.1304,68.1487
229,331.5294,68.1363
230,354.4049,68.1247
231,378.8588,68.1141
232,405.0001,68.1042
233,432.9451,68.0951
