,keV,f1
0,2.0035635,51.8756
1,2.0135813,52.0754
2,2.0236492,52.2523
3,2.0337675,52.4038
4,2.0439363,52.5249
5,2.054156,52.606
6,2.0644268,52.6266
7,2.0747489,52.5309
8,2.0851227,52.0407
9,2.0874384,51.6756
10,2.0921614,51.7443
11,2.0955483,52.353
12,2.106026,53.1829
13,2.1165562,53.6739
14,2.1271389,54.0531
15,2.1377746,54.3726
16,2.1484635,54.6529
17,2.1592058,54.9043
18,2.1700018,55.1323
19,2.1808519,55.34
20,2.1917561,55.5284
21,2.2027149,55.7004
22,2.2137285,55.8613
23,2.2247971,56.0099
24,2.2359211,56.1451
25,2.2471007,56.2648
26,2.2583362,56.3654
27,2.2696279,56.4399
28,2.280976,56.473
29,2.2923809,56.4203
30,2.3022094,56.1306
31,2.3038428,55.9885
32,2.3113904,56.2497
33,2.315362,56.5389
34,2.3269388,57.0159
35,2.3385735,57.3383
36,2.3502664,57.6033
37,2.3620177,57.837
38,2.3738278,58.0503
39,2.385697,58.2491
40,2.3976254,58.4366
41,2.4096136,58.6151
42,2.4216616,58.7858
43,2.4337699,58.9506
44,2.4459388,59.111
45,2.4581685,59.2668
46,2.4704593,59.4173
47,2.4828116,59.5631
48,2.4952257,59.7047
49,2.5077018,59.8424
50,2.5202403,59.9765
51,2.5328415,60.1072
52,2.5455057,60.2349
53,2.5582333,60.3597
54,2.5710244,60.4817
55,2.5838796,60.6011
56,2.596799,60.7181
57,2.6097829,60.8327
58,2.6228319,60.9452
59,2.635946,61.0555
60,2.6491257,61.1638
61,2.6623714,61.2702
62,2.6756832,61.3748
63,2.6890617,61.4777
64,2.702507,61.579
65,2.7160195,61.6788
66,2.7295996,61.7768
67,2.7432476,61.8728
68,2.7569638,61.9669
69,2.7707486,62.0592
70,2.7846024,62.1499
71,2.7985254,62.239
72,2.812518,62.3265
73,2.8265806,62.4126
74,2.8407135,62.4974
75,2.8549171,62.5808
76,2.8691917,62.663
77,2.8835376,62.7441
78,2.8979553,62.8241
79,2.9124451,62.9032
80,2.9270073,62.9813
81,2.9416424,63.2813
82,2.9563506,63.3587
83,2.9711323,63.4355
84,2.985988,63.512
85,3.0009179,63.5908
86,3.0159225,63.6825
87,3.0310021,63.9106
88,3.0461571,63.9821
89,3.0613879,64.05
90,3.0766949,64.1148
91,3.0920783,64.1769
92,3.1075387,64.2364
93,3.1230764,64.2936
94,3.1386918,64.3486
95,3.1543853,64.4016
96,3.1701572,64.4526
97,3.186008,64.5018
98,3.201938,64.5492
99,3.2179477,64.5949
100,3.2340374,64.639
101,3.2502076,64.6816
102,3.2664587,64.7227
103,3.282791,64.7624
104,3.2992049,64.8007
105,3.3157009,64.8378
106,3.3322794,64.8736
107,3.3489408,64.9081
108,3.3656856,64.9416
109,3.382514,64.9739
110,3.3994265,65.0051
111,3.4164237,65.0351
112,3.4335058,65.0641
113,3.4506733,65.092
114,3.4679267,65.1188
115,3.4852663,65.1447
116,3.5026927,65.1696
117,3.5202061,65.1936
118,3.5378072,65.2168
119,3.5554962,65.239
120,3.5732737,65.2605
121,3.59114,65.2811
122,3.6090957,65.301
123,3.6271412,65.3201
124,3.6452769,65.3386
125,3.6635033,65.3563
126,3.6818208,65.3734
127,3.7002299,65.3899
128,3.7187311,65.4057
129,3.7373247,65.421
130,3.7560114,65.4358
131,3.7747914,65.5572
132,3.7936654,65.5716
133,3.8126337,65.585
134,3.8316969,65.5975
135,3.8508554,65.6091
136,3.8701096,65.6199
137,3.8894602,65.6299
138,3.9089075,65.6392
139,3.928452,65.6478
140,3.9480943,65.6557
141,3.9678347,65.6629
142,3.9876739,65.6695
143,4.055024,66.1088
144,4.334821,66.1107
145,4.633924,66.0094
146,4.953664,65.8258
147,5.295467,65.587
148,5.660855,65.2974
149,6.051453,64.9529
150,6.469004,64.539
151,6.915365,64.0048
152,7.392525,63.2653
153,7.902609,62.104
154,8.44789,59.2839
155,8.47504,58.9756
156,8.60476,56.0429
157,8.639352,52.593
158,8.69124,56.0824
159,8.82096,59.0778
160,9.030794,60.3859
161,9.424561,60.7158
162,9.568814,59.5927
163,9.607282,57.9397
164,9.653919,59.4809
165,9.664983,59.791
166,9.809237,61.5257
167,9.913386,62.0369
168,10.06512,62.0671
169,10.10558,61.364
170,10.16628,62.4607
171,10.32004,63.7534
172,11.03212,66.1062
173,11.79334,67.2118
174,12.60708,67.9569
175,13.47697,68.4675
176,14.40688,68.8093
177,15.40095,69.035
178,16.46362,69.1791
179,17.59961,69.3315
180,18.81398,69.3678
181,20.11215,69.403
182,21.49988,69.4058
183,22.98338,69.3572
184,24.56923,69.2964
185,26.2645,69.233
186,28.07676,69.164
187,30.01405,69.0712
188,32.08502,68.9695
189,34.29889,68.8613
190,36.66551,68.7471
191,39.19543,68.6254
192,41.89992,68.4912
193,44.79101,68.3377
194,47.88159,68.1488
195,51.18542,67.8932
196,54.71721,67.4763
197,58.20181,66.421
198,58.4927,66.1954
199,59.09265,65.2863
200,59.33021,63.9276
201,59.68655,65.3004
202,60.57739,66.5405
203,62.5287,67.44
204,66.84318,68.2358
205,71.45536,68.6397
206,76.38578,68.8894
207,81.6564,69.0612
208,87.29069,69.1715
209,93.31374,69.2436
210,99.75239,69.2898
211,106.6353,69.318
212,113.9931,69.3333
213,121.8587,69.3682
214,130.2669,69.3651
215,139.2553,69.3557
216,148.864,69.3424
217,159.1356,69.3265
218,170.1159,69.309
219,181.8539,69.2906
220,194.4018,69.2719
221,207.8156,69.2532
222,222.1548,69.2348
223,237.4835,69.2169
224,253.8699,69.1994
225,271.3869,69.1828
226,290.1126,69.1677
227,310.1304,69.1538
228,331.5294,69.141
229,354.4049,69.1291
230,378.8588,69.1182
231,405.0001,69.1081
232,432.9451,69.0987
