,keV,f1
0,2.080733,6.15192
1,2.224304,6.13897
2,2.377781,6.12696
3,2.541848,6.11588
4,2.717235,6.10571
5,2.904724,6.09643
6,3.10515,6.0879
7,3.319406,6.07984
8,3.548445,6.07234
9,3.793288,6.06543
10,4.055024,6.05909
11,4.334821,6.05329
12,4.633924,6.04802
13,4.953664,6.04323
14,5.295467,6.0389
15,5.660855,6.03498
16,6.051453,6.0314
17,6.469004,6.02815
18,6.915365,6.0252
19,7.392525,6.02255
20,7.902609,6.02016
21,8.44789,6.01801
22,9.030794,6.0161
23,9.653919,6.01439
24,10.32004,6.01284
25,11.03212,6.01144
26,11.79334,6.01018
27,12.60708,6.00906
28,13.47697,6.00805
29,14.40688,6.00715
30,15.40095,6.00635
31,16.46362,6.00563
32,17.59961,6.00499
33,18.81398,6.00443
34,20.11215,6.00392
35,21.49988,6.00348
36,22.98338,6.00308
37,24.56923,6.00272
38,26.2645,6.00241
39,28.07676,6.00213
40,30.01405,6.00189
41,32.08502,6.00167
42,34.29889,6.00148
43,36.66551,6.0013
44,39.19543,6.00115
45,41.89992,6.00102
46,44.79101,6.0009
47,47.88159,6.00079
48,51.18542,6.0007
49,54.71721,6.00062
50,58.4927,6.00054
51,62.5287,6.00048
52,66.84318,6.00042
53,71.45536,6.00037
54,76.38578,6.00033
55,81.6564,6.00029
56,87.29069,6.00025
57,93.31374,6.00022
58,99.75239,6.0002
59,106.6353,6.00017
60,113.9931,6.00015
61,121.8587,6.00013
62,130.2669,6.00012
63,139.2553,6.0001
64,148.864,6.00009
65,159.1356,6.00008
66,170.1159,6.00007
67,181.8539,6.00006
68,194.4018,6.00005
69,207.8156,6.00005
70,222.1548,6.00004
71,237.4835,6.00004
72,253.8699,6.00003
73,271.3869,6.00003
74,290.1126,6.00003
75,310.1304,6.00002
76,331.5294,6.00002
77,354.4049,6.00002
78,378.8588,6.00001
79,405.0001,6.00001
80,432.9451,6.00001
