,keV,f1
0,2.0035635,50.6968
1,2.0135813,51.131
2,2.0236492,51.5135
3,2.0337675,51.853
4,2.0439363,52.1534
5,2.054156,52.4207
6,2.0644268,52.6687
7,2.0747489,52.897
8,2.0851227,53.1051
9,2.0955483,53.2923
10,2.106026,53.4572
11,2.1165562,53.5967
12,2.1271389,53.7051
13,2.1377746,53.7715
14,2.1484635,53.7716
15,2.1592058,53.6356
16,2.1700018,52.9164
17,2.170436,52.8293
18,2.1755642,52.9028
19,2.1808519,53.6916
20,2.1917561,54.4223
21,2.2027149,54.8883
22,2.2137285,55.2548
23,2.2247971,55.5658
24,2.2359211,55.8396
25,2.2471007,56.0852
26,2.2583362,56.3078
27,2.2696279,56.5101
28,2.280976,56.6927
29,2.2923809,56.8603
30,2.3038428,57.017
31,2.315362,57.1615
32,2.3269388,57.2923
33,2.3385735,57.4073
34,2.3502664,57.5023
35,2.3620177,57.569
36,2.3738278,57.5888
37,2.385697,57.5021
38,2.3931119,57.262
39,2.3976254,56.4412
40,2.4030879,57.3875
41,2.4096136,57.7872
42,2.4216616,58.2101
43,2.4337699,58.5158
44,2.4459388,58.7724
45,2.4581685,59.0011
46,2.4704593,59.2111
47,2.4828116,59.4075
48,2.4952257,59.5935
49,2.5077018,59.7708
50,2.5202403,59.9408
51,2.5328415,60.1056
52,2.5455057,60.2653
53,2.5582333,60.4194
54,2.5710244,60.5687
55,2.5838796,60.7135
56,2.596799,60.8544
57,2.6097829,60.9915
58,2.6228319,61.1252
59,2.635946,61.2558
60,2.6491257,61.3833
61,2.6623714,61.5081
62,2.6756832,61.6302
63,2.6890617,61.7499
64,2.702507,61.8672
65,2.7160195,61.9822
66,2.7295996,62.0951
67,2.7432476,62.2059
68,2.7569638,62.3149
69,2.7707486,62.4219
70,2.7846024,62.5273
71,2.7985254,62.6309
72,2.812518,62.7331
73,2.8265806,62.8338
74,2.8407135,62.9327
75,2.8549171,63.0297
76,2.8691917,63.1251
77,2.8835376,63.2191
78,2.8979553,63.3116
79,2.9124451,63.4028
80,2.9270073,63.493
81,2.9416424,63.5823
82,2.9563506,63.6712
83,2.9711323,63.7602
84,2.985988,63.8504
85,3.0009179,63.9454
86,3.0159225,64.0414
87,3.0310021,64.1313
88,3.0461571,64.2174
89,3.0613879,64.5182
90,3.0766949,64.5976
91,3.0920783,64.6741
92,3.1075387,64.7478
93,3.1230764,64.819
94,3.1386918,64.8878
95,3.1543853,65.0964
96,3.1701572,65.1611
97,3.186008,65.2232
98,3.201938,65.2829
99,3.2179477,65.3402
100,3.2340374,65.3954
101,3.2502076,65.4485
102,3.2664587,65.4997
103,3.282791,65.549
104,3.2992049,65.5966
105,3.3157009,65.6425
106,3.3322794,65.6868
107,3.3489408,65.7295
108,3.3656856,65.7708
109,3.382514,65.8106
110,3.3994265,65.8491
111,3.4164237,65.8863
112,3.4335058,65.9222
113,3.4506733,65.9569
114,3.4679267,65.9904
115,3.4852663,66.0228
116,3.5026927,66.0541
117,3.5202061,66.0843
118,3.5378072,66.1134
119,3.5554962,66.1415
120,3.5732737,66.1686
121,3.59114,66.1948
122,3.6090957,66.22
123,3.6271412,66.2443
124,3.6452769,66.2678
125,3.6635033,66.2904
126,3.6818208,66.3122
127,3.7002299,66.3332
128,3.7187311,66.3535
129,3.7373247,66.3731
130,3.7560114,66.392
131,3.7747914,66.4102
132,3.7936654,66.4276
133,3.8126337,66.4445
134,3.8316969,66.4608
135,3.8508554,66.4764
136,3.8701096,66.4915
137,3.8894602,66.5061
138,3.9089075,66.6298
139,3.928452,66.6439
140,3.9480943,66.6571
141,3.9678347,66.6694
142,3.9876739,66.6808
143,4.055024,67.1293
144,4.334821,67.1246
145,4.633924,67.0963
146,4.953664,66.9694
147,5.295467,66.7626
148,5.660855,66.5036
149,6.051453,66.1931
150,6.469004,65.8226
151,6.915365,65.3663
152,7.392525,64.7554
153,7.902609,63.8684
154,8.44789,62.2694
155,8.764728,60.1186
156,8.898882,57.1931
157,8.934656,53.7535
158,8.988318,57.217
159,9.030794,58.6884
160,9.122472,60.243
161,9.653919,62.2929
162,9.778636,62.0963
163,9.928309,60.9185
164,9.968222,59.2549
165,10.02809,61.0691
166,10.17776,62.7204
167,10.27667,63.1439
168,10.32004,63.2436
169,10.43397,63.1156
170,10.47591,62.4005
171,10.53883,63.4667
172,10.69613,64.6852
173,11.03212,65.9637
174,11.79334,67.5511
175,12.60708,68.5201
176,13.47697,69.1784
177,14.40688,69.6219
178,15.40095,69.9154
179,16.46362,70.1045
180,17.59961,70.22
181,18.81398,70.3448
182,20.11215,70.3981
183,21.49988,70.4166
184,22.98338,70.3806
185,24.56923,70.3291
186,26.2645,70.2721
187,28.07676,70.2074
188,30.01405,70.1192
189,32.08502,70.0208
190,34.29889,69.9157
191,36.66551,69.8048
192,39.19543,69.6878
193,41.89992,69.5608
194,44.79101,69.4188
195,47.88159,69.2508
196,51.18542,69.0346
197,54.71721,68.7183
198,58.4927,68.089
199,60.10565,67.437
200,61.02564,66.3087
201,61.27097,64.9576
202,61.63896,66.3231
203,62.5287,67.5338
204,62.55894,67.5565
205,66.84318,68.9414
206,71.45536,69.4756
207,76.38578,69.7851
208,81.6564,69.9894
209,87.29069,70.1221
210,93.31374,70.2094
211,99.75239,70.2663
212,106.6353,70.3022
213,113.9931,70.323
214,121.8587,70.3335
215,130.2669,70.3634
216,139.2553,70.357
217,148.864,70.3456
218,159.1356,70.331
219,170.1159,70.3144
220,181.8539,70.2967
221,194.4018,70.2783
222,207.8156,70.2598
223,222.1548,70.2414
224,237.4835,70.2234
225,253.8699,70.2059
226,271.3869,70.1888
227,290.1126,70.1732
228,310.1304,70.1589
229,331.5294,70.1457
230,354.4049,70.1335
231,378.8588,70.1223
232,405.0001,70.1119
233,432.9451,70.1023
